Dealer Name: Adams Honda
Address:     4008 Lee Road
             Louderdale, FL
Dealer ID:   32
Owner:       Adams, Jon
Date:        Fri, Dec 24, 2011 thru Fri, Dec 31, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S121352195B2  Civic        2011  16012  16455  Freeman, Arthur         Wed, Dec 29, 2011       D32-28-05 
 JB127S1333525X924  Civic        2011  15951  16655  Bryant, Raul            Fri, Dec 24, 2011       D32-28-04 
 JA1X1S12035272B46  Accord       2011  23463  24089  Freeman, Arthur         Sun, Dec 26, 2011       D32-28-05 
 JB127S1333523B7X8  Civic        2011  15614  16655  Freeman, Arthur         Mon, Dec 27, 2011       D32-28-05 
 JA116FU3035283X9X  Accord       2011  34708  35930  Bryant, Raul            Thu, Dec 30, 2011       D32-28-04 
 JG148F11735283X92  Insight      2011  23876  24390  Hicks, Andre            Wed, Dec 29, 2011       D32-28-01 
 JH152SU1035219624  Odyssey      2011  29376  30375  Spencer, Sean           Sun, Dec 26, 2011       D32-28-02 
 JH152SU163523B846  Odyssey      2011  28764  30375  Bryant, Raul            Tue, Dec 28, 2011       D32-28-04 
 JG148F11435261B78  Insight      2011  22153  24390  Freeman, Arthur         Tue, Dec 28, 2011       D32-28-05 
 JA111S13435283XAX  Accord       2011  20207  22480  Freeman, Arthur         Mon, Dec 27, 2011       D32-28-05 
 JB121S1233525XA72  Civic        2011  15595  16455  Anderson, Brad          Tue, Dec 28, 2011       D32-28-03 
 JA111S1383524C964  Accord       2011  21796  22480  Spencer, Sean           Thu, Dec 30, 2011       D32-28-02 
 JA1X1S12835272C96  Accord       2011  21882  24089  Hicks, Andre            Tue, Dec 28, 2011       D32-28-01 
 JD136F1183523B858  CR-Z         2011  23434  24705  Hicks, Andre            Wed, Dec 29, 2011       D32-28-01 
 JA112F13235261B9X  Accord       2011  31165  32930  Freeman, Arthur         Wed, Dec 29, 2011       D32-28-05 
 JA111S130352X8532  Accord       2011  20207  22480  Anderson, Brad          Sun, Dec 26, 2011       D32-28-03 
 JK168F3153523B864  Ridgeline    2011  44376  47750  Bryant, Raul            Sun, Dec 26, 2011       D32-28-04 
 JD138FU163524C976  CR-Z         2011  26254  27705  Hicks, Andre            Wed, Dec 29, 2011       D32-28-01 
 JB121S1233523B868  Civic        2011  14845  16455  Freeman, Arthur         Tue, Dec 28, 2011       D32-28-05 
 JK169F4173521965X  Ridgeline    2011  56910  58750  Bryant, Raul            Sun, Dec 26, 2011       D32-28-04 
 JB121S12535272CB2  Civic        2011  15262  16455  Hicks, Andre            Wed, Dec 29, 2011       D32-28-01 
 JH151F11035219654  Odyssey      2011  41671  44825  Spencer, Sean           Thu, Dec 30, 2011       D32-28-02 
 JA113SU3335272CB6  Accord       2011  22519  23480  Anderson, Brad          Tue, Dec 28, 2011       D32-28-03 
 JA111S134352X8548  Accord       2011  21115  22480  Hicks, Andre            Sun, Dec 26, 2011       D32-28-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH154SU15Y415C4A7  Odyssey     2008  21154  32375  Hicks, Andre            Mon, Dec 27, 2011       D32-28-01 
 JB128SU39W32X7C59  Civic       2006  8390   17455  Bryant, Raul            Fri, Dec 24, 2011       D32-28-04 
 JB127S13AYX45C4B1  Civic       2008  10810  16655  Hicks, Andre            Sun, Dec 26, 2011       D32-28-01 
 JB121S12934629183  Civic        2011  15299  16455  Spencer, Sean           Mon, Dec 27, 2011       D32-28-02 
 JE142FU132356X5C5  Crosstour   2010  31092  38640  Bryant, Raul            Tue, Dec 28, 2011       D32-28-04 
 JJ162FU143276X5C7  Pilot        2011  41105  44970  Spencer, Sean           Wed, Dec 29, 2011       D32-28-02 
 JB127S133Y15X7C69  Civic       2008  10810  16655  Freeman, Arthur         Wed, Dec 29, 2011       D32-28-05 
 JH159F418YX9X7C71  Odyssey     2008  37242  56825  Anderson, Brad          Sun, Dec 26, 2011       D32-28-03 
 JB121S120X494B3B3  Civic       2007  9923   16455  Bryant, Raul            Sat, Dec 25, 2011       D32-28-04 
 JK168F317Y1682725  Ridgeline   2008  30416  47750  Hicks, Andre            Tue, Dec 28, 2011       D32-28-01 
 JH151F114Y463A2A7  Odyssey     2008  28544  44825  Anderson, Brad          Wed, Dec 29, 2011       D32-28-03 
 JB129S14221829199  Civic       2010  18856  23055  Hicks, Andre            Sat, Dec 25, 2011       D32-28-01 
 JJ16AF11AXX54B3C1  Pilot       2007  25742  41970  Freeman, Arthur         Fri, Dec 24, 2011       D32-28-05 
 JK168F3162495C4X3  Ridgeline   2010  38380  47750  Anderson, Brad          Wed, Dec 29, 2011       D32-28-03 
 JH158S415W2P4B3C5  Odyssey     2006  21367  41375  Anderson, Brad          Sun, Dec 26, 2011       D32-28-03 
 JC133FU16X43291A7  CR-V        2007  20127  33995  Freeman, Arthur         Sun, Dec 26, 2011       D32-28-05 
 JB121S128V383A2B9  Civic       2005  6688   16455  Spencer, Sean           Mon, Dec 27, 2011       D32-28-02 
 JH151F112X225C411  Odyssey     2007  40159  44825  Freeman, Arthur         Fri, Dec 24, 2011       D32-28-05 
 JD136F110Y1P3A2C3  CR-Z        2008  16107  24705  Spencer, Sean           Sat, Dec 25, 2011       D32-28-02 
 JB121S1212116X525  Civic       2010  13510  16455  Bryant, Raul            Thu, Dec 30, 2011       D32-28-04 
