Dealer Name: Shelly Walker Honda
Address:     8797 Dixon Drive
             New Whales, SC
Dealer ID:   20
Owner:       Walker, Sally
Date:        Sat, Jan 15, 2012 thru Fri, Jan 21, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S1374X33AXC8  Civic        2012  15480  16655  Clark, Veronica         Mon, Jan 17, 2012       D20-01-02 
 JJ161FU154X3X7AAX  Pilot        2012  38860  42970  Simpson, Suzanne        Wed, Jan 19, 2012       D20-01-03 
 JC133FU1A4X36X332  CR-V         2012  33411  33995  Kelley, Edna            Sat, Jan 15, 2012       D20-01-06 
 JA1X3SU274X35C224  Accord       2012  23240  25089  Kelley, Edna            Tue, Jan 18, 2012       D20-01-06 
 JC131F1194X371446  CR-V         2012  28772  30995  Hoffman, Marilyn        Tue, Jan 18, 2012       D20-01-01 
 JB121S1274X33AXX8  Civic        2012  16144  16455  Clark, Veronica         Sat, Jan 15, 2012       D20-01-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JG148F11A33429A45  Insight     2011  19872  24390  Clark, Veronica         Sat, Jan 15, 2012       D20-01-02 
 JH153FU1912P4BC67  Odyssey     2009  29328  45825  Kelley, Edna            Tue, Jan 18, 2012       D20-01-06 
 JH157F31012418939  Odyssey     2009  30152  45825  Smith, Teresa           Fri, Jan 21, 2012       D20-01-04 
 JD136F1154X218941  CR-Z         2012  22842  24705  Clark, Veronica         Wed, Jan 19, 2012       D20-01-02 
 JH151F11332418943  Odyssey     2011  36672  44825  Kelley, Edna            Sat, Jan 15, 2012       D20-01-06 
 JH157F313Y5P3AB65  Odyssey     2008  27360  45825  James, Alma             Sun, Jan 16, 2012       D20-01-07 
 JJ161FU182X56X197  Pilot       2010  30495  42970  James, Alma             Sat, Jan 15, 2012       D20-01-07 
 JH155FU19152X7839  Odyssey     2009  30608  47825  Foster, Leah            Sat, Jan 15, 2012       D20-01-05 
 JC133FU191173AB71  CR-V        2009  22368  33995  Smith, Teresa           Thu, Jan 20, 2012       D20-01-04 
 JB127S133Y483AB73  Civic       2008  10186  16655  Smith, Teresa           Wed, Jan 19, 2012       D20-01-04 
 JC133FU18Y17823C5  CR-V        2008  20937  33995  Lawson, Tyler           Sat, Jan 15, 2012       D20-01-08 
 JB123H155W1218957  Civic       2006  11577  27600  Hoffman, Marilyn        Mon, Jan 17, 2012       D20-01-01 
