Dealer Name: Freeman Honda
Address:     2332 Bob Jones St
             Brookland, GA
Dealer ID:   26
Owner:       Freeman, Greg
Date:        Sat, Jan 22, 2012 thru Fri, Jan 28, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA1X6FU264X46X536  Accord       2012  33379  36030  Perkins, Tanya          Sun, Jan 23, 2012       D26-23-01 
 JC131F1144X4291C8  CR-V         2012  29715  30995  Perkins, Tanya          Tue, Jan 25, 2012       D26-23-01 
 JH152SU104X472A8X  Odyssey      2012  27896  30375  Perkins, Tanya          Sun, Jan 23, 2012       D26-23-01 
 JJ161FU124X419422  Pilot        2012  38860  42970  Perkins, Tanya          Sat, Jan 22, 2012       D26-23-01 
 JH155FU134X483B94  Odyssey      2012  44171  47825  Perkins, Tanya          Wed, Jan 26, 2012       D26-23-01 
 JH152SU194X472A86  Odyssey      2012  27434  30375  Perkins, Tanya          Sat, Jan 22, 2012       D26-23-01 
 JA117S33A4X4X8318  Accord       2012  21656  23480  Perkins, Tanya          Tue, Jan 25, 2012       D26-23-01 
 JH155FU104X43B65X  Odyssey      2012  43447  47825  Perkins, Tanya          Mon, Jan 24, 2012       D26-23-01 
 JE141F1124X472A92  Crosstour    2012  36947  37640  Perkins, Tanya          Sun, Jan 23, 2012       D26-23-01 
 JH15AS1104X45X874  Odyssey      2012  28333  29375  Perkins, Tanya          Sat, Jan 22, 2012       D26-23-01 
 JA1X5SU214X4X8326  Accord       2012  25473  27089  Perkins, Tanya          Fri, Jan 28, 2012       D26-23-01 
 JB121S1294X4X8328  Civic        2012  16313  16455  Perkins, Tanya          Sun, Jan 23, 2012       D26-23-01 
 JA1X7S3224X46199X  Accord       2012  23878  25089  Perkins, Tanya          Tue, Jan 25, 2012       D26-23-01 
 JA1X1S1274X43B662  Accord       2012  22330  24089  Perkins, Tanya          Tue, Jan 25, 2012       D26-23-01 
 JH152SU124X483BB4  Odyssey      2012  29283  30375  Perkins, Tanya          Sat, Jan 22, 2012       D26-23-01 
 JA1X4FU2A4X419446  Accord       2012  31549  34030  Perkins, Tanya          Tue, Jan 25, 2012       D26-23-01 
 JH156S3124X44C778  Odyssey      2012  29129  30375  Perkins, Tanya          Tue, Jan 25, 2012       D26-23-01 
 JA1X3SU284X45X89X  Accord       2012  22602  25089  Perkins, Tanya          Sat, Jan 22, 2012       D26-23-01 
 JB121S12A4X45X892  Civic        2012  16397  16455  Perkins, Tanya          Thu, Jan 27, 2012       D26-23-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH153FU11Y4718A91  Odyssey     2008  27360  45825  Perkins, Tanya          Tue, Jan 25, 2012       D26-23-01 
 JJ162FU151126X213  Pilot       2009  27971  44970  Perkins, Tanya          Fri, Jan 28, 2012       D26-23-01 
 JB127S139Y285C1X5  Civic       2008  10186  16655  Perkins, Tanya          Wed, Jan 26, 2012       D26-23-01 
 JJ162FU1013571327  Pilot       2009  29590  44970  Perkins, Tanya          Sat, Jan 22, 2012       D26-23-01 
 JH153FU17XX182439  Odyssey     2007  23821  45825  Perkins, Tanya          Sat, Jan 22, 2012       D26-23-01 
 JC132FU141456X221  CR-V        2009  21052  31995  Perkins, Tanya          Wed, Jan 26, 2012       D26-23-01 
 JD138FU14W43X7993  CR-Z        2006  10812  27705  Perkins, Tanya          Mon, Jan 24, 2012       D26-23-01 
 JH151F1113515C115  Odyssey     2011  36220  44825  Perkins, Tanya          Sun, Jan 23, 2012       D26-23-01 
 JH156S3101115C117  Odyssey     2009  19440  30375  Perkins, Tanya          Tue, Jan 25, 2012       D26-23-01 
 JB129S149XX718AA9  Civic       2007  11302  23055  Perkins, Tanya          Tue, Jan 25, 2012       D26-23-01 
 JH152SU16YX24BX11  Odyssey     2008  17487  30375  Perkins, Tanya          Thu, Jan 27, 2012       D26-23-01 
 JD14AF4191X85C123  CR-Z        2009  21571  33705  Perkins, Tanya          Wed, Jan 26, 2012       D26-23-01 
 JB123H15622171345  Civic       2010  20423  27600  Perkins, Tanya          Sat, Jan 22, 2012       D26-23-01 
 JG148F1141363ACX7  Insight     2009  16048  24390  Perkins, Tanya          Sat, Jan 22, 2012       D26-23-01 
 JJ164F415Y156X239  Pilot       2008  32247  53970  Perkins, Tanya          Thu, Jan 27, 2012       D26-23-01 
 JD136F112YX43AX41  CR-Z        2008  14688  24705  Perkins, Tanya          Thu, Jan 27, 2012       D26-23-01 
 JE141F11733482593  Crosstour   2011  30472  37640  Perkins, Tanya          Mon, Jan 24, 2012       D26-23-01 
 JJ161FU10Y194B155  Pilot       2008  25647  42970  Perkins, Tanya          Mon, Jan 24, 2012       D26-23-01 
 JE141F11524P4B157  Crosstour   2010  27792  37640  Perkins, Tanya          Fri, Jan 28, 2012       D26-23-01 
 JJ161FU1AX13X7A19  Pilot       2007  21260  42970  Perkins, Tanya          Mon, Jan 24, 2012       D26-23-01 
 JH153FU1223718B31  Odyssey     2010  33156  45825  Perkins, Tanya          Thu, Jan 27, 2012       D26-23-01 
 JE141F115241825A3  Crosstour   2010  27792  37640  Perkins, Tanya          Fri, Jan 28, 2012       D26-23-01 
 JH158S413237825A5  Odyssey     2010  29369  41375  Perkins, Tanya          Sun, Jan 23, 2012       D26-23-01 
 JG148F114XX371497  Insight     2007  12568  24390  Perkins, Tanya          Tue, Jan 25, 2012       D26-23-01 
