Dealer Name: Top Pick Honda
Address:     2795 Brooklin Ave
             Harrison, SC
Dealer ID:   5
Owner:       Houseman, Jonathan
Date:        Sat, Feb 12, 2012 thru Fri, Feb 18, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S1354X782C44  Civic        2012  16335  16655  Brooks, Herman          Fri, Feb 18, 2012       D05-05-01 
 JA113SU334X74B8X6  Accord       2012  22494  23480  Moreno, Tyrone          Sun, Feb 13, 2012       D05-05-03 
 JG148F1144X7X7498  Insight      2012  23598  24390  Snyder, Norma           Fri, Feb 18, 2012       D05-05-04 
 JE141F1184X74B81X  Crosstour    2012  34661  37640  Marshall, Donna         Fri, Feb 18, 2012       D05-05-05 
 JA1X3SU264X771B42  Accord       2012  23495  25089  Lynch, Christian        Mon, Feb 14, 2012       D05-05-02 
 JA1X5SU234X7X74A4  Accord       2012  26712  27089  Moreno, Tyrone          Sun, Feb 13, 2012       D05-05-03 
 JA117S3324X7185B6  Accord       2012  21417  23480  Lynch, Christian        Mon, Feb 14, 2012       D05-05-02 
 JH151F1114X771B48  Odyssey      2012  40521  44825  Marshall, Donna         Fri, Feb 18, 2012       D05-05-05 
 JB127S1394X782X9X  Civic        2012  15651  16655  Marshall, Donna         Thu, Feb 17, 2012       D05-05-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH155FU17Y1429697  Odyssey     2008  27607  47825  Ford, Roger             Mon, Feb 14, 2012       D05-05-08 
 JC132FU1311271B19  CR-V        2009  21052  31995  Marshall, Donna         Sat, Feb 12, 2012       D05-05-05 
 JB121S1291494B8C1  Civic       2009  10827  16455  Moreno, Tyrone          Sun, Feb 13, 2012       D05-05-03 
 JK165F11A121296A3  Ridgeline   2009  29920  46750  Ford, Roger             Sat, Feb 12, 2012       D05-05-08 
 JC131F11AYX16XA15  CR-V        2008  19077  30995  Neal, Douglas           Thu, Feb 17, 2012       D05-05-06 
 JB127S137249296A7  Civic       2010  12389  16655  Snyder, Norma           Mon, Feb 14, 2012       D05-05-04 
 JB129S1471384B8C9  Civic       2009  15170  23055  Foster, Leona           Thu, Feb 17, 2012       D05-05-07 
