Dealer Name: King Honda
Address:     9974 Brooklin Ave
             Port Kiln, SC
Dealer ID:   12
Owner:       King, Carl
Date:        Sat, Feb 19, 2012 thru Fri, Feb 25, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JE141F1194X882228  Crosstour    2012  35233  37640  Graves, Edwin           Mon, Feb 21, 2012       D12-11-01 
 JA1X5SU284X83AABX  Accord       2012  25198  27089  Graves, Edwin           Sat, Feb 19, 2012       D12-11-01 
 JB129S1404X85CCX2  Civic        2012  22799  23055  Carroll, Judith         Mon, Feb 21, 2012       D12-11-02 
 JA1X6FU284X85CCX4  Accord       2012  34656  36030  Graves, Edwin           Sat, Feb 19, 2012       D12-11-01 
 JA1X1S1234X8X7786  Accord       2012  22698  24089  Graves, Edwin           Mon, Feb 21, 2012       D12-11-01 
 JE144F3144X84BBC8  Crosstour    2012  36744  38640  Graves, Edwin           Mon, Feb 21, 2012       D12-11-01 
 JB121S1264X87113X  Civic        2012  15299  16455  Graves, Edwin           Sat, Feb 19, 2012       D12-11-01 
 JA113SU334X8X7792  Accord       2012  22972  23480  Carroll, Judith         Thu, Feb 24, 2012       D12-11-02 
 JG148F1114X84BBX4  Insight      2012  23473  24390  Carroll, Judith         Tue, Feb 22, 2012       D12-11-02 
 JA111S1324X85CC16  Accord       2012  21324  22480  Graves, Edwin           Fri, Feb 25, 2012       D12-11-01 
 JB121S1284X871138  Civic        2012  15721  16455  Carroll, Judith         Wed, Feb 23, 2012       D12-11-02 
 JA111S1364X8188BX  Accord       2012  21898  22480  Graves, Edwin           Thu, Feb 24, 2012       D12-11-01 
 JB123H15A4X8188B2  Civic        2012  26086  27600  Graves, Edwin           Fri, Feb 25, 2012       D12-11-01 
 JB124HU534X85CC24  Civic        2012  25532  28400  Carroll, Judith         Sun, Feb 20, 2012       D12-11-02 
