Dealer Name: Top Pick Honda
Address:     2795 Brooklin Ave
             Harrison, SC
Dealer ID:   5
Owner:       Houseman, Jonathan
Date:        Sat, Mar 11, 2012 thru Fri, Mar 17, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JE141F1174114B8X4  Crosstour    2012  36375  37640  Lynch, Christian        Wed, Mar 15, 2012       D05-05-02 
 JA1X3SU2A411X7496  Accord       2012  22729  25089  Ford, Roger             Tue, Mar 14, 2012       D05-05-08 
 JB127S1354114B8X8  Civic        2012  15137  16655  Lynch, Christian        Sat, Mar 11, 2012       D05-05-02 
 JH153FU11411296CX  Odyssey      2012  41878  45825  Snyder, Norma           Fri, Mar 17, 2012       D05-05-04 
 JB127S1314116XA32  Civic        2012  16164  16655  Ford, Roger             Tue, Mar 14, 2012       D05-05-08 
 JA1X2F124411185B4  Accord       2012  30466  33030  Marshall, Donna         Fri, Mar 17, 2012       D05-05-05 
 JA1X2F12A411X74A6  Accord       2012  32140  33030  Marshall, Donna         Sat, Mar 11, 2012       D05-05-05 
 JB128SU32411X74A8  Civic        2012  17099  17455  Foster, Leona           Thu, Mar 16, 2012       D05-05-07 
 JC131F1174113A84X  CR-V         2012  27828  30995  Brooks, Herman          Fri, Mar 17, 2012       D05-05-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S134Y155C9C7  Civic       2008  10186  16655  Marshall, Donna         Tue, Mar 14, 2012       D05-05-05 
 JC131F11314P29699  CR-V        2009  19836  30995  Neal, Douglas           Thu, Mar 16, 2012       D05-05-06 
 JH159F410129296A1  Odyssey     2009  37390  56825  Neal, Douglas           Mon, Mar 13, 2012       D05-05-06 
 JH154SU1934P3A7B3  Odyssey     2011  26260  32375  Neal, Douglas           Tue, Mar 14, 2012       D05-05-06 
 JH155FU1414682C35  Odyssey     2009  31468  47825  Foster, Leona           Sat, Mar 11, 2012       D05-05-07 
 JJ161FU16W19296A7  Pilot       2006  16918  42970  Moreno, Tyrone          Sun, Mar 12, 2012       D05-05-03 
 JD136F11535P3A7B9  CR-Z        2011  20375  24705  Snyder, Norma           Tue, Mar 14, 2012       D05-05-04 
