Dealer Name: Newton Honda
Address:     4893 Brooklin Ave
             Granger, AL
Dealer ID:   34
Owner:       Newton, Robert
Date:        Sat, Mar 11, 2012 thru Fri, Mar 17, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC131F11A411X8662  CR-V         2012  29872  30995  Rice, Georgia           Mon, Mar 13, 2012       D34-30-03 
 JG149FU174115XBB4  Insight      2012  23332  25190  Bennett, Michele        Mon, Mar 13, 2012       D34-30-05 
 JA112F137411X8666  Accord       2012  32378  32930  Rodriquez, Jorge        Sat, Mar 11, 2012       D34-30-04 
 JH153FU144113B998  Odyssey      2012  42573  45825  Bennett, Michele        Fri, Mar 17, 2012       D34-30-05 
 JC131F11141172X1X  CR-V         2012  30344  30995  Torres, Caroline        Thu, Mar 16, 2012       D34-30-01 
 JA1X3SU224112A892  Accord       2012  23751  25089  Rice, Georgia           Sun, Mar 12, 2012       D34-30-03 
 JA112F13441119784  Accord       2012  30208  32930  Rice, Georgia           Fri, Mar 17, 2012       D34-30-03 
 JH157F31741183126  Odyssey      2012  44886  45825  Bennett, Michele        Thu, Mar 16, 2012       D34-30-05 
 JA1X5SU2941161CX8  Accord       2012  25748  27089  Torres, Caroline        Sun, Mar 12, 2012       D34-30-01 
 JA112F1354118313X  Accord       2012  30876  32930  Rice, Georgia           Sun, Mar 12, 2012       D34-30-03 
 JD136F1194114CAC2  CR-Z         2012  22387  24705  Rodriquez, Jorge        Fri, Mar 17, 2012       D34-30-04 
 JH153FU1041119794  Odyssey      2012  41184  45825  Torres, Caroline        Tue, Mar 14, 2012       D34-30-01 
 JC131F112411X8686  CR-V         2012  29086  30995  Rodriquez, Jorge        Wed, Mar 15, 2012       D34-30-04 
 JC134F31041172X28  CR-V         2012  31147  31995  Rodriquez, Jorge        Thu, Mar 16, 2012       D34-30-04 
 JE141F11441172X3X  Crosstour    2012  34661  37640  Jensen, Bill            Sat, Mar 11, 2012       D34-30-06 
 JC131F1134113B9C2  CR-V         2012  28772  30995  Rodriquez, Jorge        Fri, Mar 17, 2012       D34-30-04 
 JE142FU134113B9C4  Crosstour    2012  36549  38640  Rice, Georgia           Mon, Mar 13, 2012       D34-30-03 
 JA1X1S129411X8696  Accord       2012  22207  24089  Rodriquez, Jorge        Sun, Mar 12, 2012       D34-30-04 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH158S4191386X521  Odyssey     2009  26480  41375  Jensen, Bill            Sun, Mar 12, 2012       D34-30-06 
 JB121S124Y2571633  Civic       2008  10062  16455  Torres, Caroline        Fri, Mar 17, 2012       D34-30-01 
 JJ164F410X39291B5  Pilot       2007  26760  53970  Torres, Caroline        Mon, Mar 13, 2012       D34-30-01 
 JB127S1353X371637  Civic       2011  13855  16655  Torres, Caroline        Wed, Mar 15, 2012       D34-30-01 
 JB127S1302X84B3X9  Civic       2010  12389  16655  Bennett, Michele        Tue, Mar 14, 2012       D34-30-05 
 JK165F11415118XB1  Ridgeline   2009  30761  46750  Rodriquez, Jorge        Wed, Mar 15, 2012       D34-30-04 
 JH153FU1211471643  Odyssey     2009  29328  45825  Rice, Georgia           Sat, Mar 11, 2012       D34-30-03 
 JC131F11011P4B315  CR-V        2009  19836  30995  Rodriquez, Jorge        Tue, Mar 14, 2012       D34-30-04 
 JH15AS1192426X537  Odyssey     2010  26788  29375  Rice, Georgia           Thu, Mar 16, 2012       D34-30-03 
 JB129S14A347291C9  Civic       2011  19039  23055  Jensen, Bill            Sat, Mar 11, 2012       D34-30-06 
 JC132FU19Y454C751  CR-V        2008  19697  31995  Jensen, Bill            Fri, Mar 17, 2012       D34-30-06 
 JH153FU102X3X8313  Odyssey     2010  33156  45825  Torres, Caroline        Mon, Mar 13, 2012       D34-30-01 
 JH151F119X373B645  Odyssey     2007  22187  44825  Webb, Ken               Tue, Mar 14, 2012       D34-30-02 
 JH159F412Y5272A87  Odyssey     2008  33960  56825  Jensen, Bill            Mon, Mar 13, 2012       D34-30-06 
 JE141F11613319429  Crosstour   2009  24767  37640  Rodriquez, Jorge        Thu, Mar 16, 2012       D34-30-04 
 JD136F113XX219431  CR-Z        2007  12733  24705  Jensen, Bill            Fri, Mar 17, 2012       D34-30-06 
 JB127S1342142A543  Civic       2010  12389  16655  Rodriquez, Jorge        Sun, Mar 12, 2012       D34-30-04 
 JB121S1212453B655  Civic       2010  12243  16455  Jensen, Bill            Sat, Mar 11, 2012       D34-30-06 
 JH15AS1141X683BA7  Odyssey     2009  19328  29375  Rodriquez, Jorge        Fri, Mar 17, 2012       D34-30-04 
 JH157F31914219439  Odyssey     2009  30152  45825  Bennett, Michele        Mon, Mar 13, 2012       D34-30-05 
 JC131F1122464C771  CR-V        2010  22915  30995  Bennett, Michele        Mon, Mar 13, 2012       D34-30-05 
 JC131F1111214C773  CR-V        2009  19836  30995  Bennett, Michele        Sat, Mar 11, 2012       D34-30-05 
 JK166FU1413419445  Ridgeline   2009  31419  47750  Rodriquez, Jorge        Sat, Mar 11, 2012       D34-30-04 
 JG148F112116X8337  Insight     2009  15609  24390  Jensen, Bill            Tue, Mar 14, 2012       D34-30-06 
 JB127S13AY15X8339  Civic       2008  10186  16655  Torres, Caroline        Sat, Mar 11, 2012       D34-30-01 
