Dealer Name: Bill Travers Honda
Address:     7043 George Parson Highway
             Grand Traverse, AL
Dealer ID:   21
Owner:       Travers, Bill
Date:        Sat, Mar 18, 2012 thru Fri, Mar 24, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA1X1S1244125C36X  Accord       2012  22453  24089  West, Ashley            Sat, Mar 18, 2012       D21-19-07 
 JA111S1304124B252  Accord       2012  21554  22480  West, Ashley            Wed, Mar 22, 2012       D21-19-07 
 JB121S12A41229X34  Civic        2012  16228  16455  Powell, Jerome          Tue, Mar 21, 2012       D21-19-03 
 JE141F1164125C366  Crosstour    2012  34852  37640  Oliver, Melanie         Mon, Mar 20, 2012       D21-19-02 
 JB129S14441229X38  Civic        2012  21977  23055  Washington, Franklin    Sat, Mar 18, 2012       D21-19-06 
 JB121S1284123A15X  Civic        2012  15214  16455  Carroll, Glenn          Wed, Mar 22, 2012       D21-19-01 
 JC133FU1141271592  CR-V         2012  31689  33995  Washington, Franklin    Thu, Mar 23, 2012       D21-19-06 
 JB129S1424125C374  Civic        2012  22212  23055  Powell, Jerome          Sun, Mar 19, 2012       D21-19-03 
 JK169F4104123A156  Ridgeline    2012  56536  58750  Carroll, Glenn          Tue, Mar 21, 2012       D21-19-01 
 JH151F1164126X488  Odyssey      2012  40747  44825  Powell, Jerome          Sat, Mar 18, 2012       D21-19-03 
 JA1X5SU26412826BX  Accord       2012  26024  27089  Simpson, Georgia        Thu, Mar 23, 2012       D21-19-08 
 JH15AS11741218C42  Odyssey      2012  26842  29375  Evans, Dennis           Sun, Mar 19, 2012       D21-19-05 
 JE143FU184123A164  Crosstour    2012  38830  40640  Carroll, Glenn          Wed, Mar 22, 2012       D21-19-01 
 JA116FU34412715A6  Accord       2012  34924  35930  Simpson, Georgia        Sat, Mar 18, 2012       D21-19-08 
 JB127S136412715A8  Civic        2012  15907  16655  Washington, Franklin    Thu, Mar 23, 2012       D21-19-06 
 JB123H1504124B28X  Civic        2012  26928  27600  Simpson, Georgia        Mon, Mar 20, 2012       D21-19-08 
 JA115SU304126X4A2  Accord       2012  23855  25480  Carroll, Glenn          Sun, Mar 19, 2012       D21-19-01 
 JB127S133412X7B44  Civic        2012  16420  16655  West, Ashley            Sat, Mar 18, 2012       D21-19-07 
 JB127S131412826C6  Civic        2012  15480  16655  Carroll, Glenn          Sun, Mar 19, 2012       D21-19-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH157F31021318959  Odyssey     2010  33156  45825  Oliver, Melanie         Sat, Mar 18, 2012       D21-19-02 
 JE141F111X28823X1  Crosstour   2007  19524  37640  Evans, Dennis           Thu, Mar 23, 2012       D21-19-05 
 JH157F31922P29A73  Odyssey     2010  33156  45825  Carroll, Glenn          Tue, Mar 21, 2012       D21-19-01 
 JH154SU13WX129A75  Odyssey     2006  12680  32375  Washington, Franklin    Tue, Mar 21, 2012       D21-19-06 
 JB121S1223295CXA7  Civic       2011  13693  16455  West, Ashley            Wed, Mar 22, 2012       D21-19-07 
 JC133FU13WX7823X9  CR-V        2006  14327  33995  Carroll, Glenn          Tue, Mar 21, 2012       D21-19-01 
 JB127S138Y3129A81  Civic       2008  10186  16655  Powell, Jerome          Mon, Mar 20, 2012       D21-19-03 
 JB127S1334X282313  Civic        2012  15683  16655  Simpson, Georgia        Fri, Mar 24, 2012       D21-19-08 
 JD139F319YX45CXB5  CR-Z        2008  15797  25705  Oliver, Melanie         Mon, Mar 20, 2012       D21-19-02 
 JH158S4121154BCA7  Odyssey     2009  27224  41375  Powell, Jerome          Fri, Mar 24, 2012       D21-19-03 
 JG148F11312618979  Insight     2009  16048  24390  Evans, Dennis           Fri, Mar 24, 2012       D21-19-05 
 JB127S133XX86X1X1  Civic       2007  8507   16655  Evans, Dennis           Sat, Mar 18, 2012       D21-19-05 
 JD138FU19Y496X1X3  CR-Z        2008  16488  27705  Powell, Jerome          Thu, Mar 23, 2012       D21-19-03 
 JB127S132X3P5CXC5  Civic       2007  14665  16655  West, Ashley            Sun, Mar 19, 2012       D21-19-07 
