Dealer Name: Lakeside Honda
Address:     6205 Meridian Road
             East Valley, FL
Dealer ID:   39
Owner:       Isern, Mareen
Date:        Sat, Mar 18, 2012 thru Fri, Mar 24, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA1X1S1294121995X  Accord       2012  22330  24089  Evans, Violet           Thu, Mar 23, 2012       D39-20-06 
 JB121S1224123BB72  Civic        2012  15045  16455  Medina, Jamie           Sun, Mar 19, 2012       D39-20-02 
 JB121S120412833C4  Civic        2012  15214  16455  Adams, Danny            Sat, Mar 18, 2012       D39-20-05 
 JD139F31241219956  CR-Z         2012  23801  25705  Edwards, Julio          Sat, Mar 18, 2012       D39-20-01 
 JA1X1S1264124CC88  Accord       2012  22085  24089  Medina, Jamie           Sat, Mar 18, 2012       D39-20-02 
 JH154SU144121996X  Odyssey      2012  30199  32375  Lynch, Stacey           Wed, Mar 22, 2012       D39-20-04 
 JA1X1S12A412722C2  Accord       2012  23066  24089  Adams, Danny            Thu, Mar 23, 2012       D39-20-05 
 JA1X1S1294122AA74  Accord       2012  21717  24089  Adams, Danny            Mon, Mar 20, 2012       D39-20-05 
 JE141F115412833X6  Crosstour    2012  36375  37640  Rivera, Jesus           Wed, Mar 22, 2012       D39-20-03 
 JE141F118412611B8  Crosstour    2012  33900  37640  Adams, Danny            Sat, Mar 18, 2012       D39-20-05 
 JD136F1144123BB9X  CR-Z         2012  24274  24705  Medina, Jamie           Fri, Mar 24, 2012       D39-20-02 
 JB121S12141283312  Civic        2012  15468  16455  Adams, Danny            Mon, Mar 20, 2012       D39-20-05 
 JE142FU1441283314  Crosstour    2012  35181  38640  Evans, Violet           Mon, Mar 20, 2012       D39-20-06 
 JA1X7S3294124CCA6  Accord       2012  23751  25089  Lynch, Stacey           Fri, Mar 24, 2012       D39-20-04 
 JC134F312412722X8  CR-V         2012  28713  31995  Medina, Jamie           Mon, Mar 20, 2012       D39-20-02 
 JA1X1S12A4128332X  Accord       2012  23066  24089  Lynch, Stacey           Sun, Mar 19, 2012       D39-20-04 
 JH153FU104122AA92  Odyssey      2012  43498  45825  Adams, Danny            Sun, Mar 19, 2012       D39-20-05 
 JH15AS11A4125XXC4  Odyssey      2012  27737  29375  Lynch, Stacey           Wed, Mar 22, 2012       D39-20-04 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JG148F112XX54C817  Insight     2007  11970  24390  Rivera, Jesus           Mon, Mar 20, 2012       D39-20-03 
 JD138FU17Y1P61A39  CR-Z        2008  16488  27705  Rivera, Jesus           Sat, Mar 18, 2012       D39-20-03 
 JB127S136W212A731  Civic       2006  6871   16655  Evans, Violet           Thu, Mar 23, 2012       D39-20-06 
 JH151F1122214C953  Odyssey     2010  31805  44825  Medina, Jamie           Sat, Mar 18, 2012       D39-20-02 
 JH155FU103464C955  Odyssey     2011  39102  47825  Medina, Jamie           Thu, Mar 23, 2012       D39-20-02 
 JC131F1114X14C957  CR-V         2012  28503  30995  Lynch, Stacey           Sun, Mar 19, 2012       D39-20-04 
 JB127S13714672C89  Civic       2009  10659  16655  Medina, Jamie           Sat, Mar 18, 2012       D39-20-02 
 JB121S1231342A741  Civic       2009  10827  16455  Rivera, Jesus           Thu, Mar 23, 2012       D39-20-03 
 JH151F115141X8523  Odyssey     2009  28688  44825  Medina, Jamie           Fri, Mar 24, 2012       D39-20-02 
 JK168F319229X8525  Ridgeline   2010  34542  47750  Rivera, Jesus           Wed, Mar 22, 2012       D39-20-03 
 JB121S12312961B87  Civic       2009  10827  16455  Lynch, Stacey           Sun, Mar 19, 2012       D39-20-04 
 JH155FU12Y3761B89  Odyssey     2008  28560  47825  Adams, Danny            Thu, Mar 23, 2012       D39-20-05 
 JC131F115YX372CA1  CR-V        2008  19077  30995  Adams, Danny            Sat, Mar 18, 2012       D39-20-05 
 JH153FU1712972CA3  Odyssey     2009  30152  45825  Rivera, Jesus           Thu, Mar 23, 2012       D39-20-03 
 JH15AS11232172CA5  Odyssey     2011  23860  29375  Edwards, Julio          Wed, Mar 22, 2012       D39-20-01 
 JB127S13AXX23B867  Civic       2007  8507   16655  Evans, Violet           Sat, Mar 18, 2012       D39-20-06 
 JH152SU14W2319649  Odyssey     2006  12771  30375  Edwards, Julio          Wed, Mar 22, 2012       D39-20-01 
 JD137FU10Y165XA91  CR-Z        2008  15797  25705  Adams, Danny            Tue, Mar 21, 2012       D39-20-05 
 JJ164F4141X661BA3  Pilot       2009  33569  53970  Edwards, Julio          Tue, Mar 21, 2012       D39-20-01 
 JH158S41524372CB5  Odyssey     2010  29952  41375  Lynch, Stacey           Fri, Mar 24, 2012       D39-20-04 
 JB129S14811983XC7  Civic       2009  14755  23055  Edwards, Julio          Wed, Mar 22, 2012       D39-20-01 
 JG148F112W465XA99  Insight     2006  9486   24390  Edwards, Julio          Sat, Mar 18, 2012       D39-20-01 
 JC131F1174X6X8551  CR-V         2012  28661  30995  Medina, Jamie           Sun, Mar 19, 2012       D39-20-02 
 JJ161FU14XX74C993  Pilot       2007  21260  42970  Lynch, Stacey           Fri, Mar 24, 2012       D39-20-04 
 JD136F1154X73B885  CR-Z         2012  22968  24705  Evans, Violet           Tue, Mar 21, 2012       D39-20-06 
