Dealer Name: Olson Honda
Address:     3074 Davison Highway
             Norbert, FL
Dealer ID:   15
Owner:       Olson, Howard
Date:        Sat, Mar 25, 2012 thru Fri, Mar 31, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S1394133ABX4  Civic        2012  15993  16655  Ramos, Maxine           Fri, Mar 31, 2012       D15-14-05 
 JB125G16241329AC6  Civic        2012  27072  28505  Gonzales, Natalie       Mon, Mar 27, 2012       D15-14-04 
 JC133FU1A4136X138  CR-V         2012  33239  33995  Elliott, Jacqueline     Sat, Mar 25, 2012       D15-14-01 
 JA1X7S323413X791X  Accord       2012  23240  25089  Elliott, Jacqueline     Fri, Mar 31, 2012       D15-14-01 
 JB121S12241371382  Civic        2012  15045  16455  Bowman, Joan            Fri, Mar 31, 2012       D15-14-03 
 JH15AS1134134BX54  Odyssey      2012  28632  29375  Gonzales, Natalie       Sun, Mar 26, 2012       D15-14-04 
 JH151F1184134BX56  Odyssey      2012  40747  44825  Ramos, Maxine           Tue, Mar 28, 2012       D15-14-05 
 JD137FU154135C168  CR-Z         2012  24978  25705  Bowman, Joan            Thu, Mar 30, 2012       D15-14-03 
 JB121S126413824AX  Civic        2012  15214  16455  Gonzales, Natalie       Mon, Mar 27, 2012       D15-14-04 
 JA115SU3941318A32  Accord       2012  23207  25480  Murphy, Kelly           Sat, Mar 25, 2012       D15-14-07 
 JE141F11441318A34  Crosstour    2012  36756  37640  Elliott, Jacqueline     Fri, Mar 31, 2012       D15-14-01 
 JH157F31141371396  Odyssey      2012  41878  45825  Gonzales, Natalie       Thu, Mar 30, 2012       D15-14-04 
 JG148F11641329B48  Insight      2012  23349  24390  Gonzales, Natalie       Mon, Mar 27, 2012       D15-14-04 
 JA1X1S1204133AC6X  Accord       2012  23189  24089  Bowman, Joan            Tue, Mar 28, 2012       D15-14-03 
 JH15AS110413X7932  Odyssey      2012  26544  29375  Woods, Tommy            Thu, Mar 30, 2012       D15-14-02 
 JH159F41541318A44  Odyssey      2012  51547  56825  Gardner, Joan           Sat, Mar 25, 2012       D15-14-09 
 JA1X1S123413824B6  Accord       2012  21962  24089  Woods, Tommy            Wed, Mar 29, 2012       D15-14-02 
 JA1X5SU204135C188  Accord       2012  24372  27089  Hall, Willie            Thu, Mar 30, 2012       D15-14-08 
 JG148F11341318A5X  Insight      2012  22231  24390  Ramos, Maxine           Fri, Mar 31, 2012       D15-14-05 
 JA115SU3041329B62  Accord       2012  23855  25480  Elliott, Jacqueline     Wed, Mar 29, 2012       D15-14-01 
 JH157F31941318A54  Odyssey      2012  42804  45825  Bowman, Joan            Tue, Mar 28, 2012       D15-14-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB129S14A1X229865  Civic       2009  15170  23055  Hall, Willie            Sun, Mar 26, 2012       D15-14-08 
 JC133FU1512229867  CR-V        2009  22368  33995  Gonzales, Natalie       Sat, Mar 25, 2012       D15-14-04 
 JH15AS113XX44BA89  Odyssey     2007  15185  29375  Hall, Willie            Thu, Mar 30, 2012       D15-14-08 
 JE143FU141135CBA1  Crosstour   2009  26009  40640  Hall, Willie            Sat, Mar 25, 2012       D15-14-08 
 JH155FU101186XCB3  Odyssey     2009  29747  47825  Ramos, Maxine           Mon, Mar 27, 2012       D15-14-05 
 JH155FU18252X7655  Odyssey     2010  35268  47825  Ramos, Maxine           Sat, Mar 25, 2012       D15-14-05 
 JH153FU1A33P3A987  Odyssey     2011  37482  45825  Woods, Tommy            Sun, Mar 26, 2012       D15-14-02 
 JH154SU1A31629879  Odyssey     2011  26588  32375  Bowman, Joan            Sun, Mar 26, 2012       D15-14-03 
 JG148F11212182111  Insight     2009  16048  24390  Gonzales, Natalie       Sat, Mar 25, 2012       D15-14-04 
 JD136F11112771XX3  CR-Z        2009  15811  24705  Woods, Tommy            Mon, Mar 27, 2012       D15-14-02 
 JH155FU171444BAA5  Odyssey     2009  31468  47825  Gonzales, Natalie       Mon, Mar 27, 2012       D15-14-04 
 JK167FU19Y21X7667  Ridgeline   2008  29715  49750  Elliott, Jacqueline     Tue, Mar 28, 2012       D15-14-01 
 JH151F11814371XX9  Odyssey     2009  28688  44825  Ramos, Maxine           Fri, Mar 31, 2012       D15-14-05 
 JB121S1282525CBC1  Civic       2010  12243  16455  Murphy, Kelly           Tue, Mar 28, 2012       D15-14-07 
 JH152SU1812629893  Odyssey     2009  19440  30375  Elliott, Jacqueline     Sat, Mar 25, 2012       D15-14-01 
 JH15AS11512782125  Odyssey     2009  18800  29375  Murphy, Kelly           Fri, Mar 31, 2012       D15-14-07 
 JK165F113Y2218787  Ridgeline   2008  28845  46750  Ramos, Maxine           Wed, Mar 29, 2012       D15-14-05 
 JD137FU1811PX7679  CR-Z        2009  16451  25705  Bowman, Joan            Fri, Mar 31, 2012       D15-14-03 
 JD136F110X1371X21  CR-Z        2007  12733  24705  Murphy, Kelly           Fri, Mar 31, 2012       D15-14-07 
