Dealer Name: Carter Honda
Address:     2499 Bob Jones St
             Louderdale, FL
Dealer ID:   29
Owner:       Carter, Jimmy
Date:        Sat, Apr 15, 2012 thru Fri, Apr 21, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH156S3104165X994  Odyssey      2012  27742  30375  Coleman, Arnold         Thu, Apr 20, 2012       D29-25-05 
 JB121S12A4165X996  Civic        2012  16059  16455  Coleman, Arnold         Thu, Apr 20, 2012       D29-25-05 
 JB127S13641619558  Civic        2012  15223  16655  Graham, Sheila          Wed, Apr 19, 2012       D29-25-03 
 JB127S1354164C89X  Civic        2012  16420  16655  Coleman, Arnold         Thu, Apr 20, 2012       D29-25-05 
 JE144F31741661AB2  Crosstour    2012  36940  38640  Graham, Sheila          Fri, Apr 21, 2012       D29-25-03 
 JB129S14A41672BC4  Civic        2012  22564  23055  Coleman, Arnold         Sun, Apr 16, 2012       D29-25-05 
 JB127S1374163B786  Civic        2012  16249  16655  Coleman, Arnold         Fri, Apr 21, 2012       D29-25-05 
 JB123H15941619568  Civic        2012  26787  27600  Lucas, Jose             Sat, Apr 15, 2012       D29-25-06 
 JG149FU164161957X  Insight      2012  24742  25190  Rodriguez, Leonard      Sun, Apr 16, 2012       D29-25-01 
 JC131F11841661AC2  CR-V         2012  29558  30995  Walker, Roland          Fri, Apr 21, 2012       D29-25-04 
 JA1X7S3274163B794  Accord       2012  22985  25089  Walker, Roland          Thu, Apr 20, 2012       D29-25-04 
 JH154SU1A4165X9B6  Odyssey      2012  29870  32375  Coleman, Arnold         Fri, Apr 21, 2012       D29-25-05 
 JG148F1124165X9B8  Insight      2012  22356  24390  Walker, Roland          Mon, Apr 17, 2012       D29-25-04 
 JA1X9S42341672B1X  Accord       2012  32197  33089  Graham, Sheila          Tue, Apr 18, 2012       D29-25-03 
 JC131F11941661AX2  CR-V         2012  30029  30995  Graham, Sheila          Mon, Apr 17, 2012       D29-25-03 
 JE142FU194164C8B4  Crosstour    2012  34399  38640  Rodriguez, Leonard      Mon, Apr 17, 2012       D29-25-01 
 JH153FU1A41661AX6  Odyssey      2012  44424  45825  Rodriguez, Leonard      Sun, Apr 16, 2012       D29-25-01 
 JH152SU194164C8B8  Odyssey      2012  28359  30375  Lawson, Carolyn         Fri, Apr 21, 2012       D29-25-02 
 JB129S1424162A6AX  Civic        2012  22447  23055  Coleman, Arnold         Sun, Apr 16, 2012       D29-25-05 
 JH153FU134165X9X2  Odyssey      2012  43729  45825  Walker, Roland          Mon, Apr 17, 2012       D29-25-04 
 JC132FU184163B7B4  CR-V         2012  28551  31995  Rodriguez, Leonard      Fri, Apr 21, 2012       D29-25-01 
 JG148F1144164C8C6  Insight      2012  22107  24390  Rodriguez, Leonard      Wed, Apr 19, 2012       D29-25-01 
 JB127S13741619598  Civic        2012  15736  16655  Walker, Roland          Fri, Apr 21, 2012       D29-25-04 
 JA1X3SU28416X849X  Accord       2012  23878  25089  Rodriguez, Leonard      Mon, Apr 17, 2012       D29-25-01 
 JC133FU154164C8X2  CR-V         2012  32550  33995  Coleman, Arnold         Wed, Apr 19, 2012       D29-25-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JE141F1154X16X477  Crosstour    2012  34675  37640  Graham, Sheila          Thu, Apr 20, 2012       D29-25-03 
 JC134F31213118C29  CR-V        2009  20476  31995  Lawson, Carolyn         Fri, Apr 21, 2012       D29-25-02 
 JJ161FU1814718C31  Pilot       2009  27500  42970  Lawson, Carolyn         Thu, Apr 20, 2012       D29-25-02 
 JB127S13311571593  Civic       2009  10659  16655  Lucas, Jose             Tue, Apr 18, 2012       D29-25-06 
 JE144F314Y4818C35  Crosstour   2008  23817  38640  Lawson, Carolyn         Fri, Apr 21, 2012       D29-25-02 
 JE142FU12X444B267  Crosstour   2007  20049  38640  Walker, Roland          Tue, Apr 18, 2012       D29-25-04 
 JD136F11135P3A159  CR-Z        2011  20375  24705  Lucas, Jose             Mon, Apr 17, 2012       D29-25-06 
 JB125G169XX16X491  Civic       2007  14728  28505  Graham, Sheila          Wed, Apr 19, 2012       D29-25-03 
 JD136F1121373A163  CR-Z        2009  16255  24705  Graham, Sheila          Sat, Apr 15, 2012       D29-25-03 
 JH154SU14Y5118C45  Odyssey     2008  19290  32375  Lawson, Carolyn         Mon, Apr 17, 2012       D29-25-02 
 JH15AS1131425C387  Odyssey     2009  19328  29375  Lawson, Carolyn         Tue, Apr 18, 2012       D29-25-02 
 JH156S31A1X55C389  Odyssey     2009  19986  30375  Rodriguez, Leonard      Fri, Apr 21, 2012       D29-25-01 
 JH155FU1215P29X61  Odyssey     2009  30608  47825  Lucas, Jose             Wed, Apr 19, 2012       D29-25-06 
 JB127S1352X818C53  Civic       2010  12389  16655  Coleman, Arnold         Fri, Apr 21, 2012       D29-25-05 
 JB121S12711P3A175  Civic       2009  10827  16455  Rodriguez, Leonard      Sat, Apr 15, 2012       D29-25-01 
 JC132FU171355C397  CR-V        2009  20476  31995  Rodriguez, Leonard      Sun, Apr 16, 2012       D29-25-01 
 JH152SU1A219715B9  Odyssey     2010  22032  30375  Graham, Sheila          Fri, Apr 21, 2012       D29-25-03 
