Dealer Name: Walker Honda
Address:     1240 Harrison Ave
             Port Kiln, SC
Dealer ID:   10
Owner:       Walker, Shelly
Date:        Sat, Apr 22, 2012 thru Fri, Apr 28, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S12A41718828  Civic        2012  15214  16455  Fields, Roland          Sun, Apr 23, 2012       D10-07-02 
 JC135F4134171883X  CR-V         2012  35793  39995  Alvarez, David          Fri, Apr 28, 2012       D10-07-06 
 JJ16AF11741771192  Pilot        2012  37541  41970  Marshall, Allan         Fri, Apr 28, 2012       D10-07-01 
 JG148F1194174BB64  Insight      2012  22107  24390  Fields, Roland          Fri, Apr 28, 2012       D10-07-02 
 JB127S13A41718836  Civic        2012  16591  16655  Ross, Darren            Tue, Apr 25, 2012       D10-07-05 
 JB128SU314173AA58  Civic        2012  15845  17455  Fields, Roland          Wed, Apr 26, 2012       D10-07-02 
 JA1X2F1244171884X  Accord       2012  32140  33030  Fields, Roland          Sat, Apr 22, 2012       D10-07-02 
 JB127S1384176XX92  Civic        2012  16420  16655  Alvarez, David          Thu, Apr 27, 2012       D10-07-06 
 JD136F119417822B4  CR-Z         2012  24274  24705  Wright, Emma            Wed, Apr 26, 2012       D10-07-04 
 JB121S1204173AA66  Civic        2012  15637  16455  Alvarez, David          Thu, Apr 27, 2012       D10-07-06 
 JA113SU314174BB78  Accord       2012  21895  23480  Marshall, Allan         Wed, Apr 26, 2012       D10-07-01 
 JG148F1144171885X  Insight      2012  22604  24390  Alvarez, David          Tue, Apr 25, 2012       D10-07-06 
 JC132FU144174BB82  CR-V         2012  28551  31995  Ross, Darren            Thu, Apr 27, 2012       D10-07-05 
 JC134F315417711B4  CR-V         2012  29687  31995  Ross, Darren            Tue, Apr 25, 2012       D10-07-05 
 JD136F1134175CC96  CR-Z         2012  23016  24705  Gardner, Salvador       Fri, Apr 28, 2012       D10-07-03 
 JA115SU38417X7748  Accord       2012  23337  25480  Wright, Emma            Wed, Apr 26, 2012       D10-07-04 
 JC132FU12417X775X  CR-V         2012  30660  31995  Marshall, Allan         Sat, Apr 22, 2012       D10-07-01 
 JC132FU1841729972  CR-V         2012  28876  31995  Gardner, Salvador       Thu, Apr 27, 2012       D10-07-03 
 JH152SU144173AA84  Odyssey      2012  29129  30375  Gardner, Salvador       Sun, Apr 23, 2012       D10-07-03 
 JB121S12741718866  Civic        2012  15975  16455  Ross, Darren            Sat, Apr 22, 2012       D10-07-05 
 JA113SU374174BB98  Accord       2012  23092  23480  Marshall, Allan         Thu, Apr 27, 2012       D10-07-01 
 JB121S1244178221X  Civic        2012  15468  16455  Wright, Emma            Wed, Apr 26, 2012       D10-07-04 
 JB127S1324173AA92  Civic        2012  15137  16655  Gardner, Salvador       Tue, Apr 25, 2012       D10-07-03 
 JA116FU364175CCB4  Accord       2012  34197  35930  Alvarez, David          Wed, Apr 26, 2012       D10-07-06 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JD138FU13X365C913  CR-Z        2007  14308  27705  Alvarez, David          Mon, Apr 24, 2012       D10-07-06 
 JB128SU3A12P4B8X5  Civic       2009  11171  17455  Wright, Emma            Sat, Apr 22, 2012       D10-07-04 
 JB125G16132182C47  Civic       2011  23453  28505  Gardner, Salvador       Fri, Apr 28, 2012       D10-07-03 
 JB125G16A1X14B8X9  Civic       2009  18756  28505  Gardner, Salvador       Thu, Apr 27, 2012       D10-07-03 
 JD137FU1823171B41  CR-Z        2010  18669  25705  Alvarez, David          Sat, Apr 22, 2012       D10-07-06 
 JH157F3153154B813  Odyssey     2011  37020  45825  Marshall, Allan         Wed, Apr 26, 2012       D10-07-01 
 JE142FU1023P185B5  Crosstour   2010  28526  38640  Gardner, Salvador       Fri, Apr 28, 2012       D10-07-03 
 JB129S14AY224B817  Civic       2008  14154  23055  Ross, Darren            Wed, Apr 26, 2012       D10-07-05 
 JB127S1373X94B819  Civic       2011  13855  16655  Ross, Darren            Sat, Apr 22, 2012       D10-07-05 
 JE141F114221X7511  Crosstour   2010  27262  37640  Fields, Roland          Tue, Apr 25, 2012       D10-07-02 
 JB127S13131182X93  Civic       2011  13855  16655  Fields, Roland          Sat, Apr 22, 2012       D10-07-02 
 JC131F11141282X95  CR-V         2012  28661  30995  Marshall, Allan         Sun, Apr 23, 2012       D10-07-01 
 JE143FU18XX771C87  Crosstour   2007  21099  40640  Wright, Emma            Tue, Apr 25, 2012       D10-07-04 
 JG149FU131X34B959  Insight     2009  16575  25190  Wright, Emma            Sat, Apr 22, 2012       D10-07-04 
 JC133FU13Y146XB81  CR-V        2008  20937  33995  Marshall, Allan         Tue, Apr 25, 2012       D10-07-01 
 JH155FU10W196XB83  Odyssey     2006  20274  47825  Gardner, Salvador       Fri, Apr 28, 2012       D10-07-03 
 JD136F113Y476XB85  CR-Z        2008  15177  24705  Gardner, Salvador       Fri, Apr 28, 2012       D10-07-03 
 JE142FU133156XB87  Crosstour   2011  31272  38640  Gardner, Salvador       Sat, Apr 22, 2012       D10-07-03 
