Dealer Name: Riverside Honda
Address:     9663 Mason Road
             Granger, AL
Dealer ID:   35
Owner:       Riverside, Francis
Date:        Sat, May 13, 2012 thru Fri, May 19, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH152SU1742P83144  Odyssey      2012  27588  30375  Jimenez, Alfred         Thu, May 18, 2012       D35-31-02 
 JC134F31542P72X36  CR-V         2012  29038  31995  Morris, Tracey          Mon, May 15, 2012       D35-31-05 
 JH155FU1842P61C28  Odyssey      2012  43206  47825  Jimenez, Alfred         Wed, May 17, 2012       D35-31-02 
 JB121S12042P5XB2X  Civic        2012  15468  16455  Fox, Alvin              Thu, May 18, 2012       D35-31-06 
 JA117S33242PX86A2  Accord       2012  22613  23480  Fox, Alvin              Sun, May 14, 2012       D35-31-06 
 JA1X1S12642P61C34  Accord       2012  22330  24089  Morris, Tracey          Mon, May 15, 2012       D35-31-05 
 JB121S12142P83156  Civic        2012  15975  16455  Jones, Kyle             Wed, May 17, 2012       D35-31-01 
 JE142FU1142P5XB28  Crosstour    2012  36353  38640  Jones, Kyle             Tue, May 16, 2012       D35-31-01 
 JH155FU1542P7218X  Odyssey      2012  44654  47825  Jones, Kyle             Tue, May 16, 2012       D35-31-01 
 JE141F11642P5XC62  Crosstour    2012  34281  37640  Lambert, Patsy          Wed, May 17, 2012       D35-31-03 
 JB127S13042P5XC64  Civic        2012  15993  16655  Anderson, Sean          Thu, May 18, 2012       D35-31-04 
 JH154SU1642P3BA46  Odyssey      2012  30691  32375  Jones, Kyle             Fri, May 19, 2012       D35-31-01 
 JH151F11442P3BA48  Odyssey      2012  43011  44825  Anderson, Sean          Sun, May 14, 2012       D35-31-04 
 JK167FU1942P3BA5X  Ridgeline    2012  48694  49750  Lambert, Patsy          Tue, May 16, 2012       D35-31-03 
 JA1X3SU2342P61X82  Accord       2012  23368  25089  Anderson, Sean          Tue, May 16, 2012       D35-31-04 
 JH153FU1942P4CB64  Odyssey      2012  41647  45825  Morris, Tracey          Sat, May 13, 2012       D35-31-05 
 JD137FU1242P4CB66  CR-Z         2012  23277  25705  Jones, Kyle             Thu, May 18, 2012       D35-31-01 
 JC134F31042P3BA58  CR-V         2012  30498  31995  Morris, Tracey          Thu, May 18, 2012       D35-31-05 
 JC134F31842P2A95X  CR-V         2012  29524  31995  Anderson, Sean          Sat, May 13, 2012       D35-31-04 
 JA1X7S32342P2A952  Accord       2012  22474  25089  Fox, Alvin              Wed, May 17, 2012       D35-31-06 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH157F316Y325X887  Odyssey     2008  28272  45825  Jimenez, Alfred         Mon, May 15, 2012       D35-31-02 
 JB121S12912572AA9  Civic       2009  10827  16455  Fox, Alvin              Thu, May 18, 2012       D35-31-06 
 JB127S130X355X891  Civic       2007  14665  16655  Fox, Alvin              Sun, May 14, 2012       D35-31-06 
 JB127S130139619A3  Civic       2009  10659  16655  Anderson, Sean          Fri, May 19, 2012       D35-31-04 
 JJ161FU1813283BC5  Pilot       2009  28274  42970  Morris, Tracey          Fri, May 19, 2012       D35-31-05 
 JJ162FU122354C787  Pilot       2010  33173  44970  Jimenez, Alfred         Fri, May 19, 2012       D35-31-02 
 JB127S13814719459  Civic       2009  10958  16655  Anderson, Sean          Tue, May 16, 2012       D35-31-04 
 JB125G16923183BX1  Civic       2010  21087  28505  Jimenez, Alfred         Thu, May 18, 2012       D35-31-02 
 JJ161FU15X474C793  Pilot       2007  22323  42970  Jones, Kyle             Wed, May 17, 2012       D35-31-01 
 JD136F112X2P4C795  CR-Z        2007  12733  24705  Morris, Tracey          Fri, May 19, 2012       D35-31-05 
 JC132FU1A22P4C797  CR-V        2010  23649  31995  Fox, Alvin              Thu, May 18, 2012       D35-31-06 
