Dealer Name: Wallace Honda
Address:     2132 Tupelo Road
             Clarksville, NC
Dealer ID:   4
Owner:       Wallace, Patrick
Date:        Sat, Jun 17, 2012 thru Fri, Jun 23, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH155FU134251855X  Odyssey      2012  45619  47825  Pena, Elaine            Mon, Jun 19, 2012       D04-04-05 
 JB129S1464254B882  Civic        2012  21272  23055  Miller, Julian          Fri, Jun 23, 2012       D04-04-04 
 JC131F11942571BB4  CR-V         2012  30501  30995  Dixon, Patsy            Tue, Jun 20, 2012       D04-04-07 
 JD136F11142529666  CR-Z         2012  22891  24705  Miller, Julian          Sun, Jun 18, 2012       D04-04-04 
 JE142FU184256XAA8  Crosstour    2012  35767  38640  Wilson, Chad            Sat, Jun 17, 2012       D04-04-08 
 JA1X7S32042582CXX  Accord       2012  22729  25089  Russell, Jerry          Thu, Jun 22, 2012       D04-04-03 
 JE143FU1642518562  Crosstour    2012  36570  40640  Dixon, Patsy            Sun, Jun 18, 2012       D04-04-07 
 JH15AS11642582CX4  Odyssey      2012  28333  29375  Miller, Julian          Fri, Jun 23, 2012       D04-04-04 
 JB121S12242571BC6  Civic        2012  14876  16455  Pena, Elaine            Thu, Jun 22, 2012       D04-04-05 
 JH153FU1742582CX8  Odyssey      2012  41647  45825  Lucas, Carl             Thu, Jun 22, 2012       D04-04-01 
 JB129S14242571BXX  Civic        2012  22094  23055  Lucas, Carl             Thu, Jun 22, 2012       D04-04-01 
 JC135F41642582C12  CR-V         2012  37007  39995  Wilson, Chad            Tue, Jun 20, 2012       D04-04-08 
 JA1X1S12642571BX4  Accord       2012  22207  24089  Dixon, Patsy            Tue, Jun 20, 2012       D04-04-07 
 JH153FU1A42571BX6  Odyssey      2012  41416  45825  Pena, Elaine            Fri, Jun 23, 2012       D04-04-05 
 JC131F111425X7468  CR-V         2012  27986  30995  Lucas, Carl             Wed, Jun 21, 2012       D04-04-01 
 JJ164F4154253A7AX  Pilot        2012  48433  53970  Russell, Jerry          Wed, Jun 21, 2012       D04-04-03 
 JH15AS11242571B12  Odyssey      2012  28333  29375  Dixon, Patsy            Tue, Jun 20, 2012       D04-04-07 
 JC132FU1042529694  CR-V         2012  31147  31995  Richards, Angela        Thu, Jun 22, 2012       D04-04-06 
 JB127S1344253A7A6  Civic        2012  16506  16655  Wilson, Chad            Sat, Jun 17, 2012       D04-04-08 
 JB127S13842582C28  Civic        2012  16335  16655  Miller, Julian          Mon, Jun 19, 2012       D04-04-04 
 JH156S317425X748X  Odyssey      2012  27742  30375  Wilson, Chad            Wed, Jun 21, 2012       D04-04-08 
 JH152SU1042582C32  Odyssey      2012  28359  30375  Lucas, Carl             Sun, Jun 18, 2012       D04-04-01 
 JA1X1S1254254B8C4  Accord       2012  22085  24089  Russell, Jerry          Fri, Jun 23, 2012       D04-04-03 
 JH15AS1194253A7B6  Odyssey      2012  28035  29375  Russell, Jerry          Thu, Jun 22, 2012       D04-04-03 
 JH151F1124256XA18  Odyssey      2012  43916  44825  Wilson, Chad            Tue, Jun 20, 2012       D04-04-08 
 JH155FU1842571B3X  Odyssey      2012  44654  47825  Wilson, Chad            Sat, Jun 17, 2012       D04-04-08 
 JB127S1314256XA22  Civic        2012  15907  16655  Russell, Jerry          Sun, Jun 18, 2012       D04-04-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JG148F1141163A763  Insight     2009  16048  24390  Campbell, Jeanne        Sun, Jun 18, 2012       D04-04-02 
 JH154SU141X429655  Odyssey     2009  20720  32375  Dixon, Patsy            Tue, Jun 20, 2012       D04-04-07 
 JD138FU162243A767  CR-Z        2010  20109  27705  Dixon, Patsy            Tue, Jun 20, 2012       D04-04-07 
 JJ164F41312882CB9  Pilot       2009  34540  53970  Lucas, Carl             Fri, Jun 23, 2012       D04-04-01 
 JB127S133Y2871BB1  Civic       2008  10186  16655  Campbell, Jeanne        Fri, Jun 23, 2012       D04-04-02 
 JB121S1213395C993  Civic       2011  13693  16455  Pena, Elaine            Sat, Jun 17, 2012       D04-04-05 
 JH158S414322X7445  Odyssey     2011  33460  41375  Russell, Jerry          Sat, Jun 17, 2012       D04-04-03 
 JB129S143Y1P82CC7  Civic       2008  14154  23055  Campbell, Jeanne        Sun, Jun 18, 2012       D04-04-02 
 JB125G160142X7449  Civic       2009  18756  28505  Dixon, Patsy            Mon, Jun 19, 2012       D04-04-07 
 JB127S135X143A781  Civic       2007  8507   16655  Pena, Elaine            Tue, Jun 20, 2012       D04-04-05 
 JC133FU17W396XAB3  CR-V        2006  14327  33995  Pena, Elaine            Thu, Jun 22, 2012       D04-04-05 
 JH155FU161346XAB5  Odyssey     2009  30608  47825  Russell, Jerry          Tue, Jun 20, 2012       D04-04-03 
 JC131F11823571BC7  CR-V        2010  22915  30995  Richards, Angela        Fri, Jun 23, 2012       D04-04-06 
 JH153FU10X4782CX9  Odyssey     2007  40837  45825  Pena, Elaine            Fri, Jun 23, 2012       D04-04-05 
 JJ161FU121X582C11  Pilot       2009  28274  42970  Wilson, Chad            Thu, Jun 22, 2012       D04-04-08 
 JG149FU19X11X7463  Insight     2007  12370  25190  Dixon, Patsy            Tue, Jun 20, 2012       D04-04-07 
 JD136F11412782C15  CR-Z        2009  16255  24705  Dixon, Patsy            Tue, Jun 20, 2012       D04-04-07 
 JG148F11523218577  Insight     2010  18067  24390  Lucas, Carl             Sun, Jun 18, 2012       D04-04-01 
 JH154SU1632P4B8A9  Odyssey     2011  25931  32375  Campbell, Jeanne        Sun, Jun 18, 2012       D04-04-02 
 JB127S1331523A7A1  Civic       2009  10958  16655  Campbell, Jeanne        Sat, Jun 17, 2012       D04-04-02 
 JJ16AF11925P29693  Pilot       2010  30380  41970  Lucas, Carl             Tue, Jun 20, 2012       D04-04-01 
 JD136F112WX76XAX5  CR-Z        2006  9612   24705  Campbell, Jeanne        Mon, Jun 19, 2012       D04-04-02 
