Dealer Name: Isern Honda
Address:     9833 Florida Highway
             Brookland, GA
Dealer ID:   28
Owner:       Isern, Mareen
Date:        Sat, Jun 17, 2012 thru Fri, Jun 23, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB13ASU42425X83AX  Civic        2012  21631  23855  Simpson, Charlene       Sun, Jun 18, 2012       D28-20-01 
 JH152SU124254C712  Odyssey      2012  27434  30375  Stephens, Christy       Tue, Jun 20, 2012       D28-20-06 
 JB127S13A42583B54  Civic        2012  16164  16655  Sullivan, Jorge         Wed, Jun 21, 2012       D28-20-02 
 JH151F11A42572A46  Odyssey      2012  43464  44825  Sullivan, Jorge         Sat, Jun 17, 2012       D28-20-02 
 JB129S1414253B6X8  Civic        2012  20801  23055  Young, Bryan            Sat, Jun 17, 2012       D28-20-04 
 JB127S1394253B74X  Civic        2012  15223  16655  Simpson, Charlene       Tue, Jun 20, 2012       D28-20-01 
 JB122SU2942583C92  Civic        2012  16908  17255  Young, Bryan            Sun, Jun 18, 2012       D28-20-04 
 JE143FU154253B744  Crosstour    2012  38419  40640  Sullivan, Jorge         Wed, Jun 21, 2012       D28-20-02 
 JH151F1134252A636  Odyssey      2012  43237  44825  Sullivan, Jorge         Sat, Jun 17, 2012       D28-20-02 
 JE141F11842561A78  Crosstour    2012  33900  37640  Gregory, Brad           Sun, Jun 18, 2012       D28-20-05 
 JB129S1414252A64X  Civic        2012  22094  23055  Stephens, Christy       Thu, Jun 22, 2012       D28-20-06 
 JB127S13942583CA2  Civic        2012  15394  16655  Gregory, Brad           Thu, Jun 22, 2012       D28-20-05 
 JD136F11042561A84  CR-Z         2012  23645  24705  Sullivan, Jorge         Fri, Jun 23, 2012       D28-20-02 
 JA113SU3842519536  Accord       2012  21537  23480  Sullivan, Jorge         Mon, Jun 19, 2012       D28-20-02 
 JA1X9S4234253B758  Accord       2012  32197  33089  Young, Bryan            Sun, Jun 18, 2012       D28-20-04 
 JE142FU194254C87X  Crosstour    2012  34985  38640  Young, Bryan            Sat, Jun 17, 2012       D28-20-04 
 JB129S14842583CB2  Civic        2012  22564  23055  Stephens, Christy       Wed, Jun 21, 2012       D28-20-06 
 JG148F11442561A94  Insight      2012  22604  24390  Simpson, Charlene       Sat, Jun 17, 2012       D28-20-01 
