Dealer Name: Walker Honda
Address:     1240 Harrison Ave
             Port Kiln, SC
Dealer ID:   10
Owner:       Walker, Shelly
Date:        Sat, Jun 24, 2012 thru Fri, Jun 30, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JD139F3104265CC66  CR-Z         2012  23670  25705  Fields, Roland          Wed, Jun 28, 2012       D10-07-02 
 JA1X2F123426X7718  Accord       2012  30801  33030  Alvarez, David          Wed, Jun 28, 2012       D10-07-06 
 JB127S134426X772X  Civic        2012  16249  16655  Gardner, Salvador       Wed, Jun 28, 2012       D10-07-03 
 JB121S1214263AA52  Civic        2012  15129  16455  Gardner, Salvador       Thu, Jun 29, 2012       D10-07-03 
 JD136F1194264BB64  CR-Z         2012  23519  24705  Marshall, Allan         Sun, Jun 25, 2012       D10-07-01 
 JH155FU164266XX86  Odyssey      2012  45137  47825  Gardner, Salvador       Mon, Jun 26, 2012       D10-07-03 
 JB121S12342618838  Civic        2012  15045  16455  Alvarez, David          Fri, Jun 30, 2012       D10-07-06 
 JA1X3SU294264BB7X  Accord       2012  23495  25089  Ross, Darren            Sun, Jun 25, 2012       D10-07-05 
 JB129S1444265CC82  Civic        2012  22094  23055  Ross, Darren            Thu, Jun 29, 2012       D10-07-05 
 JB127S1324266XX94  Civic        2012  15651  16655  Marshall, Allan         Mon, Jun 26, 2012       D10-07-01 
 JB129S147426711A6  Civic        2012  22094  23055  Ross, Darren            Mon, Jun 26, 2012       D10-07-05 
 JB127S139426X7738  Civic        2012  15651  16655  Marshall, Allan         Mon, Jun 26, 2012       D10-07-01 
 JA115SU37426X774X  Accord       2012  23596  25480  Ross, Darren            Wed, Jun 28, 2012       D10-07-05 
 JH156S3144265CC92  Odyssey      2012  28821  30375  Fields, Roland          Tue, Jun 27, 2012       D10-07-02 
 JA112F138426822C4  Accord       2012  30876  32930  Marshall, Allan         Thu, Jun 29, 2012       D10-07-01 
 JC131F11442629966  CR-V         2012  29401  30995  Gardner, Salvador       Sun, Jun 25, 2012       D10-07-03 
 JB128SU374266XXA8  Civic        2012  16741  17455  Marshall, Allan         Wed, Jun 28, 2012       D10-07-01 
 JE141F1194263AA8X  Crosstour    2012  35423  37640  Ross, Darren            Fri, Jun 30, 2012       D10-07-05 
 JA1X1S12742618862  Accord       2012  23066  24089  Ross, Darren            Thu, Jun 29, 2012       D10-07-05 
 JB129S149426711C4  Civic        2012  21742  23055  Fields, Roland          Tue, Jun 27, 2012       D10-07-02 
 JH152SU1642629976  Odyssey      2012  28050  30375  Ross, Darren            Tue, Jun 27, 2012       D10-07-05 
 JB127S1304266XXB8  Civic        2012  15993  16655  Ross, Darren            Sat, Jun 24, 2012       D10-07-05 
 JB125G1644265CCBX  Civic        2012  26638  28505  Gardner, Salvador       Mon, Jun 26, 2012       D10-07-03 
 JA1X9S4214265CCB2  Accord       2012  31023  33089  Marshall, Allan         Wed, Jun 28, 2012       D10-07-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JD138FU1524P4B8X1  CR-Z        2010  20500  27705  Gardner, Salvador       Mon, Jun 26, 2012       D10-07-03 
 JC135F41111471B33  CR-V        2009  26316  39995  Wright, Emma            Fri, Jun 30, 2012       D10-07-04 
 JC133FU13X263A7C5  CR-V        2007  16772  33995  Ross, Darren            Fri, Jun 30, 2012       D10-07-05 
 JC135F4101X93A7C7  CR-V        2009  26316  39995  Ross, Darren            Sat, Jun 24, 2012       D10-07-05 
 JB127S13112P185A9  Civic       2009  10958  16655  Alvarez, David          Sun, Jun 25, 2012       D10-07-06 
 JB128SU3514P82C51  Civic       2009  11485  17455  Wright, Emma            Fri, Jun 30, 2012       D10-07-04 
 JH154SU12112185B3  Odyssey     2009  20137  32375  Ross, Darren            Fri, Jun 30, 2012       D10-07-05 
 JH152SU151133A7X5  Odyssey     2009  19986  30375  Wright, Emma            Sun, Jun 25, 2012       D10-07-04 
 JH156S316X293A7X7  Odyssey     2007  15710  30375  Marshall, Allan         Thu, Jun 29, 2012       D10-07-01 
 JG148F11A22P3A7X9  Insight     2010  17722  24390  Marshall, Allan         Tue, Jun 27, 2012       D10-07-01 
 JH155FU16Y486XB71  Odyssey     2008  28560  47825  Fields, Roland          Sun, Jun 25, 2012       D10-07-02 
 JG148F116YX74B953  Insight     2008  14499  24390  Alvarez, David          Fri, Jun 30, 2012       D10-07-06 
 JH157F31821218625  Odyssey     2010  33156  45825  Alvarez, David          Sat, Jun 24, 2012       D10-07-06 
 JE142FU19Y2971C87  Crosstour   2008  23049  38640  Gardner, Salvador       Sat, Jun 24, 2012       D10-07-03 
 JH155FU1521618629  Odyssey     2010  34596  47825  Gardner, Salvador       Wed, Jun 28, 2012       D10-07-03 
 JE141F115Y366XB81  Crosstour   2008  33860  37640  Marshall, Allan         Thu, Jun 29, 2012       D10-07-01 
 JH155FU12X424B963  Odyssey     2007  23687  47825  Fields, Roland          Sun, Jun 25, 2012       D10-07-02 
 JH153FU171X982XA5  Odyssey     2009  30152  45825  Marshall, Allan         Sun, Jun 25, 2012       D10-07-01 
