Dealer Name: Olson Honda
Address:     3074 Davison Highway
             Norbert, FL
Dealer ID:   15
Owner:       Olson, Howard
Date:        Sat, Jul 22, 2012 thru Fri, Jul 28, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB129S14943P71244  Civic        2012  21742  23055  Gardner, Joan           Tue, Jul 25, 2012       D15-14-09 
 JC131F11043P29AC6  CR-V         2012  29086  30995  Murphy, Kelly           Wed, Jul 26, 2012       D15-14-07 
 JJ162FU1443P29AC8  Pilot        2012  41105  44970  Hall, Willie            Tue, Jul 25, 2012       D15-14-08 
 JA111S13A43PX791X  Accord       2012  22127  22480  Ramos, Maxine           Mon, Jul 24, 2012       D15-14-05 
 JC131F11743P29B32  CR-V         2012  29243  30995  Gonzales, Natalie       Sat, Jul 22, 2012       D15-14-04 
 JA113SU3143P4BX54  Accord       2012  22613  23480  Murphy, Kelly           Mon, Jul 24, 2012       D15-14-07 
 JB121S12643P82496  Civic        2012  16228  16455  Gonzales, Natalie       Thu, Jul 27, 2012       D15-14-04 
 JB127S13643P29B38  Civic        2012  15052  16655  Shelton, Monica         Sat, Jul 22, 2012       D15-14-06 
 JA115SU3843P6X28X  Accord       2012  22818  25480  Hall, Willie            Tue, Jul 25, 2012       D15-14-08 
 JC133FU1643P5C172  CR-V         2012  30311  33995  Woods, Tommy            Sun, Jul 23, 2012       D15-14-02 
 JA117S33443P824A4  Accord       2012  22135  23480  Gardner, Joan           Thu, Jul 27, 2012       D15-14-09 
 JG148F11243P824A6  Insight      2012  21983  24390  Elliott, Jacqueline     Wed, Jul 26, 2012       D15-14-01 
 JD137FU1243P71398  CR-Z         2012  24193  25705  Hall, Willie            Mon, Jul 24, 2012       D15-14-08 
 JA113SU3243P4BX7X  Accord       2012  23212  23480  Shelton, Monica         Mon, Jul 24, 2012       D15-14-06 
 JE141F11543P3AC62  Crosstour    2012  34852  37640  Hall, Willie            Mon, Jul 24, 2012       D15-14-08 
 JB121S12943P3AC64  Civic        2012  15468  16455  Murphy, Kelly           Tue, Jul 25, 2012       D15-14-07 
 JH153FU1743P5C186  Odyssey      2012  44886  45825  Bowman, Joan            Wed, Jul 26, 2012       D15-14-03 
 JB121S12043P824B8  Civic        2012  15890  16455  Murphy, Kelly           Sat, Jul 22, 2012       D15-14-07 
 JB121S12543P18A5X  Civic        2012  15129  16455  Hall, Willie            Thu, Jul 27, 2012       D15-14-08 
 JH153FU1243P18A52  Odyssey      2012  41647  45825  Elliott, Jacqueline     Thu, Jul 27, 2012       D15-14-01 
 JA1X1S12243P29B64  Accord       2012  21962  24089  Murphy, Kelly           Sat, Jul 22, 2012       D15-14-07 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH154SU1712729865  Odyssey     2009  21302  32375  Gonzales, Natalie       Sat, Jul 22, 2012       D15-14-04 
 JC131F115132X7647  CR-V        2009  20394  30995  Hall, Willie            Wed, Jul 26, 2012       D15-14-08 
 JH154SU131513A979  Odyssey     2009  20720  32375  Ramos, Maxine           Tue, Jul 25, 2012       D15-14-05 
 JB129S14615P18761  Civic       2009  15170  23055  Gardner, Joan           Tue, Jul 25, 2012       D15-14-09 
 JH159F410Y4629873  Odyssey     2008  35092  56825  Gonzales, Natalie       Sat, Jul 22, 2012       D15-14-04 
 JB129S14831P5CBA5  Civic       2011  19039  23055  Elliott, Jacqueline     Sun, Jul 23, 2012       D15-14-01 
 JC132FU16Y216XCB7  CR-V        2008  19697  31995  Woods, Tommy            Tue, Jul 25, 2012       D15-14-02 
 JC133FU16218X7659  CR-V        2010  25117  33995  Ramos, Maxine           Tue, Jul 25, 2012       D15-14-05 
 JG148F113Y2129881  Insight     2008  14982  24390  Woods, Tommy            Tue, Jul 25, 2012       D15-14-02 
 JH15AS1111X5X7663  Odyssey     2009  18800  29375  Murphy, Kelly           Wed, Jul 26, 2012       D15-14-07 
 JH15AS111245X7665  Odyssey     2010  21312  29375  Shelton, Monica         Sun, Jul 23, 2012       D15-14-06 
 JH152SU1912682117  Odyssey     2009  19440  30375  Elliott, Jacqueline     Fri, Jul 28, 2012       D15-14-01 
 JH151F11115P3A999  Odyssey     2009  28688  44825  Elliott, Jacqueline     Sun, Jul 23, 2012       D15-14-01 
 JH158S41AY1482121  Odyssey     2008  24690  41375  Ramos, Maxine           Mon, Jul 24, 2012       D15-14-05 
 JJ161FU10232X7673  Pilot       2010  31705  42970  Ramos, Maxine           Fri, Jul 28, 2012       D15-14-05 
 JB13ASU4823182125  Civic       2010  17674  23855  Gardner, Joan           Mon, Jul 24, 2012       D15-14-09 
 JB121S1293464BAB7  Civic       2011  13693  16455  Ramos, Maxine           Thu, Jul 27, 2012       D15-14-05 
 JE141F11411971X19  Crosstour   2009  24767  37640  Murphy, Kelly           Wed, Jul 26, 2012       D15-14-07 
 JB127S132123298A1  Civic       2009  10958  16655  Gardner, Joan           Tue, Jul 25, 2012       D15-14-09 
