Dealer Name: Value Honda
Address:     6846 Harrison Ave
             West Junction, AL
Dealer ID:   7
Owner:       Walker, Shelly
Date:        Sat, Aug 12, 2012 thru Fri, Aug 18, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA1X9S42043382X16  Accord       2012  32197  33089  Caldwell, Wade          Mon, Aug 14, 2012       D07-07-04 
 JG148F1174334B9A8  Insight      2012  22107  24390  Soto, Victor            Mon, Aug 14, 2012       D07-07-07 
 JB129S14443371C1X  Civic        2012  21154  23055  Patterson, Hilda        Sun, Aug 13, 2012       D07-07-08 
 JB121S1244335CAC2  Civic        2012  16313  16455  Patterson, Hilda        Tue, Aug 15, 2012       D07-07-08 
 JA114FU3243329794  Accord       2012  31973  33930  Soto, Victor            Sun, Aug 13, 2012       D07-07-07 
 JD137FU1043318686  CR-Z         2012  24847  25705  Caldwell, Wade          Fri, Aug 18, 2012       D07-07-04 
 JH153FU114333A8A8  Odyssey      2012  41647  45825  Schmidt, Phillip        Tue, Aug 15, 2012       D07-07-01 
 JA111S1324335CAXX  Accord       2012  20407  22480  Meyer, Vincent          Fri, Aug 18, 2012       D07-07-03 
 JE141F11843382X32  Crosstour    2012  34281  37640  Patterson, Hilda        Sat, Aug 12, 2012       D07-07-08 
 JE141F11343318694  Crosstour    2012  36375  37640  Mills, Naomi            Wed, Aug 16, 2012       D07-07-06 
 JH158S4184333A8B6  Odyssey      2012  39942  41375  Soto, Victor            Mon, Aug 14, 2012       D07-07-07 
 JA1X2F12143318698  Accord       2012  30801  33030  Meyer, Vincent          Sun, Aug 13, 2012       D07-07-03 
 JA111S1374333A8CX  Accord       2012  20980  22480  Mills, Naomi            Tue, Aug 15, 2012       D07-07-06 
 JK165F11843371C32  Ridgeline    2012  41772  46750  Caldwell, Wade          Wed, Aug 16, 2012       D07-07-04 
 JB121S12443382X44  Civic        2012  15721  16455  Soto, Victor            Wed, Aug 16, 2012       D07-07-07 
 JD136F119433297B6  CR-Z         2012  23897  24705  Mills, Naomi            Thu, Aug 17, 2012       D07-07-06 
 JD136F1124334B9X8  CR-Z         2012  23771  24705  Schmidt, Phillip        Sat, Aug 12, 2012       D07-07-01 
 JH151F115433X75AX  Odyssey      2012  40068  44825  Schmidt, Phillip        Thu, Aug 17, 2012       D07-07-01 
 JG148F11143382X52  Insight      2012  22977  24390  Green, Francis          Mon, Aug 14, 2012       D07-07-02 
 JB127S137433X75A4  Civic        2012  15480  16655  Mills, Naomi            Sat, Aug 12, 2012       D07-07-06 
 JB121S124433297C6  Civic        2012  15129  16455  Patterson, Hilda        Fri, Aug 18, 2012       D07-07-08 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
