Dealer Name: Harrison Honda
Address:     692 Sanders Ave
             Port Kiln, SC
Dealer ID:   11
Owner:       Harrision, Owen
Date:        Sat, Aug 12, 2012 thru Fri, Aug 18, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA113SU3243318872  Accord       2012  22254  23480  Bishop, Joann           Tue, Aug 15, 2012       D11-10-05 
 JB125G1684336XXC4  Civic        2012  26493  28505  Fields, Joan            Fri, Aug 18, 2012       D11-10-03 
 JB127S1384336XXC6  Civic        2012  15394  16655  Day, Jennifer           Thu, Aug 17, 2012       D11-10-06 
 JG148F11743329988  Insight      2012  22728  24390  Mason, Felicia          Sat, Aug 12, 2012       D11-10-02 
 JB127S1394333AAAX  Civic        2012  16506  16655  Burke, Derrick          Sat, Aug 12, 2012       D11-10-01 
 JA113SU324335CCC2  Accord       2012  22853  23480  Lambert, Donna          Wed, Aug 16, 2012       D11-10-04 
 JC131F1154333AAA4  CR-V         2012  29086  30995  Burke, Derrick          Wed, Aug 16, 2012       D11-10-01 
 JB123H1574333AAA6  Civic        2012  25104  27600  Fields, Joan            Thu, Aug 17, 2012       D11-10-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB129S149X346XB85  Civic       2007  11867  23055  Burke, Derrick          Tue, Aug 15, 2012       D11-10-01 
 JH155FU1511918637  Odyssey     2009  30608  47825  Fields, Joan            Mon, Aug 14, 2012       D11-10-03 
 JF146S11214229749  Fit         2009  10256  16025  Bishop, Joann           Thu, Aug 17, 2012       D11-10-05 
 JD138FU1412P29751  CR-Z        2009  18229  27705  Mason, Felicia          Wed, Aug 16, 2012       D11-10-02 
 JJ163F312147X7533  Pilot       2009  26727  42970  Lambert, Donna          Wed, Aug 16, 2012       D11-10-04 
 JE141F1161X95CA85  Crosstour   2009  24767  37640  Burke, Derrick          Wed, Aug 16, 2012       D11-10-01 
 JE145F412X176XB97  Crosstour   2007  24249  46640  Fields, Joan            Fri, Aug 18, 2012       D11-10-03 
 JB127S13423882XB9  Civic       2010  12389  16655  Mason, Felicia          Mon, Aug 14, 2012       D11-10-02 
 JE145F412X474B981  Crosstour   2007  24249  46640  Mason, Felicia          Sun, Aug 13, 2012       D11-10-02 
 JE143FU1213P4B983  Crosstour   2009  26741  40640  Bishop, Joann           Mon, Aug 14, 2012       D11-10-05 
 JH155FU10W274B985  Odyssey     2006  18860  47825  Mason, Felicia          Sat, Aug 12, 2012       D11-10-02 
 JH158S4193434B987  Odyssey     2011  33460  41375  Day, Jennifer           Tue, Aug 15, 2012       D11-10-06 
 JH159F416X416XBA9  Odyssey     2007  26778  56825  Fields, Joan            Mon, Aug 14, 2012       D11-10-03 
 JH156S31A12P3A881  Odyssey     2009  18893  30375  Bishop, Joann           Mon, Aug 14, 2012       D11-10-05 
