Dealer Name: Shelly Walker Honda
Address:     8797 Dixon Drive
             New Whales, SC
Dealer ID:   20
Owner:       Walker, Sally
Date:        Sat, Sep 23, 2012 thru Fri, Sep 29, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JJ161FU134393AXXX  Pilot        2012  38643  42970  Hoffman, Marilyn        Wed, Sep 27, 2012       D20-01-01 
 JC131F1164395C222  CR-V         2012  30029  30995  Kelley, Edna            Sat, Sep 23, 2012       D20-01-06 
 JH153FU1843971444  Odyssey      2012  44192  45825  Clark, Veronica         Thu, Sep 28, 2012       D20-01-02 
 JB122SU2A4395C226  Civic        2012  16554  17255  Simpson, Suzanne        Sun, Sep 24, 2012       D20-01-03 
 JA1X1S1224393AXX8  Accord       2012  23680  24089  Clark, Veronica         Mon, Sep 25, 2012       D20-01-02 
 JC131F11A4395C36X  CR-V         2012  29872  30995  James, Alma             Wed, Sep 27, 2012       D20-01-07 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S1271495CX77  Civic       2009  10827  16455  Hoffman, Marilyn        Sun, Sep 24, 2012       D20-01-01 
 JH153FU132294BC69  Odyssey     2010  33156  45825  James, Alma             Fri, Sep 29, 2012       D20-01-07 
 JF146S1163343AB61  Fit         2011  13180  16025  Hoffman, Marilyn        Sun, Sep 24, 2012       D20-01-01 
 JH151F113Y363AB63  Odyssey     2008  27652  44825  Clark, Veronica         Sat, Sep 23, 2012       D20-01-02 
 JB129S14732629A55  Civic       2011  19039  23055  Clark, Veronica         Fri, Sep 29, 2012       D20-01-02 
 JC132FU17Y12712A7  CR-V        2008  19062  31995  Foster, Leah            Mon, Sep 25, 2012       D20-01-05 
 JE143FU104354BC79  Crosstour    2012  37390  40640  Kelley, Edna            Mon, Sep 25, 2012       D20-01-06 
 JH154SU11Y125CX91  Odyssey     2008  19290  32375  Clark, Veronica         Mon, Sep 25, 2012       D20-01-02 
 JB127S136XX429A63  Civic       2007  8507   16655  Hoffman, Marilyn        Fri, Sep 29, 2012       D20-01-01 
 JC131F110X3918955  CR-V        2007  15272  30995  Simpson, Suzanne        Fri, Sep 29, 2012       D20-01-03 
 JB13ASU47XX5823C7  Civic       2007  12287  23855  Kelley, Edna            Tue, Sep 26, 2012       D20-01-06 
 JG148F1122X46X1A9  Insight     2010  17722  24390  Kelley, Edna            Thu, Sep 28, 2012       D20-01-06 
