Dealer Name: Superior Honda
Address:     8799 Dixie Highway
             Louderdale, FL
Dealer ID:   31
Owner:       Griner, Thomas
Date:        Sat, Sep 23, 2012 thru Fri, Sep 29, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JD136F1174393B86X  CR-Z         2012  22765  24705  Knight, Sean            Sat, Sep 23, 2012       D31-27-04 
 JB121S12943961B92  Civic        2012  15721  16455  Burns, Laura            Sat, Sep 23, 2012       D31-27-05 
 JA1X3SU23439X8534  Accord       2012  24006  25089  Knight, Sean            Mon, Sep 25, 2012       D31-27-04 
 JA112F13943961B96  Accord       2012  30375  32930  Harvey, Joseph          Mon, Sep 25, 2012       D31-27-01 
 JH155FU15439X8538  Odyssey      2012  44895  47825  Burns, Laura            Mon, Sep 25, 2012       D31-27-05 
 JH153FU124395XA9X  Odyssey      2012  44192  45825  Wells, Bobby            Sat, Sep 23, 2012       D31-27-03 
 JG149FU1843983XC2  Insight      2012  24742  25190  Berry, Gerald           Mon, Sep 25, 2012       D31-27-02 
 JD137FU134393B874  CR-Z         2012  25108  25705  Burns, Laura            Sat, Sep 23, 2012       D31-27-05 
 JA114FU3A4395XA96  Accord       2012  30770  33930  Knight, Sean            Mon, Sep 25, 2012       D31-27-04 
 JB121S12443972CB8  Civic        2012  16059  16455  Berry, Gerald           Fri, Sep 29, 2012       D31-27-02 
 JB121S1244395XAAX  Civic        2012  14960  16455  Berry, Gerald           Wed, Sep 27, 2012       D31-27-02 
 JJ163F31943919662  Pilot        2012  39946  42970  Harvey, Joseph          Mon, Sep 25, 2012       D31-27-01 
 JJ163F31243919664  Pilot        2012  40597  42970  Wells, Bobby            Sun, Sep 24, 2012       D31-27-03 
 JH153FU1543983XX6  Odyssey      2012  42573  45825  Wells, Bobby            Sat, Sep 23, 2012       D31-27-03 
 JH152SU1443983XX8  Odyssey      2012  29437  30375  Burns, Laura            Tue, Sep 26, 2012       D31-27-05 
 JF146S11A4391967X  Fit          2012  15816  16025  Harvey, Joseph          Thu, Sep 28, 2012       D31-27-01 
 JB127S1334392A782  Civic        2012  15308  16655  Harvey, Joseph          Tue, Sep 26, 2012       D31-27-01 
 JA111S13A4395XAB4  Accord       2012  20522  22480  Burns, Laura            Fri, Sep 29, 2012       D31-27-05 
 JG149FU1743961BC6  Insight      2012  23717  25190  Burns, Laura            Fri, Sep 29, 2012       D31-27-05 
 JB129S1494394C9A8  Civic        2012  22447  23055  Berry, Gerald           Tue, Sep 26, 2012       D31-27-02 
 JA117S334439X857X  Accord       2012  21178  23480  Berry, Gerald           Sat, Sep 23, 2012       D31-27-02 
 JB127S13943983X22  Civic        2012  15480  16655  Knight, Sean            Thu, Sep 28, 2012       D31-27-04 
 JE142FU1243919684  Crosstour    2012  37917  38640  Berry, Gerald           Tue, Sep 26, 2012       D31-27-02 
 JH153FU1443972C16  Odyssey      2012  41878  45825  Knight, Sean            Mon, Sep 25, 2012       D31-27-04 
 JB121S1244394C9B8  Civic        2012  14960  16455  Knight, Sean            Tue, Sep 26, 2012       D31-27-04 
 JD136F11743983X3X  CR-Z         2012  23519  24705  Wells, Bobby            Fri, Sep 29, 2012       D31-27-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB129S14423329XA3  Civic       2010  16761  23055  Harvey, Joseph          Mon, Sep 25, 2012       D31-27-01 
 JC132FU131186X415  CR-V        2009  21052  31995  Burns, Laura            Sun, Sep 24, 2012       D31-27-05 
 JJ161FU193313A1B7  Pilot       2011  35170  42970  Berry, Gerald           Wed, Sep 27, 2012       D31-27-02 
 JA1X5SU242213A1B9  Accord      2010  20048  27089  Harvey, Joseph          Mon, Sep 25, 2012       D31-27-01 
 JG148F11914518CA1  Insight     2009  15609  24390  Berry, Gerald           Tue, Sep 26, 2012       D31-27-02 
 JG149FU1242218CA3  Insight      2012  23278  25190  Berry, Gerald           Sun, Sep 24, 2012       D31-27-02 
 JB127S13114P18CA5  Civic       2009  10958  16655  Burns, Laura            Wed, Sep 27, 2012       D31-27-05 
 JD14AF41813182647  CR-Z        2009  22177  33705  Berry, Gerald           Mon, Sep 25, 2012       D31-27-02 
 JH153FU19Y176X429  Odyssey     2008  28272  45825  Berry, Gerald           Tue, Sep 26, 2012       D31-27-02 
 JH155FU191343A1X1  Odyssey     2009  31468  47825  Burns, Laura            Tue, Sep 26, 2012       D31-27-05 
 JC133FU13YX129XC3  CR-V        2008  20937  33995  Burns, Laura            Fri, Sep 29, 2012       D31-27-05 
 JG148F11142P82655  Insight      2012  22683  24390  Burns, Laura            Sun, Sep 24, 2012       D31-27-05 
 JA111S13821971547  Accord      2010  16665  22480  Knight, Sean            Sat, Sep 23, 2012       D31-27-04 
 JB127S133Y37X7BA9  Civic       2008  10186  16655  Harvey, Joseph          Wed, Sep 27, 2012       D31-27-01 
 JG148F1121186X571  Insight     2009  16048  24390  Berry, Gerald           Sat, Sep 23, 2012       D31-27-02 
 JH159F417YX86X573  Odyssey     2008  33960  56825  Wells, Bobby            Thu, Sep 28, 2012       D31-27-03 
