Dealer Name: Quality Honda
Address:     1624 Tupelo Road
             Norbert, FL
Dealer ID:   16
Owner:       Simpson, Homer
Date:        Sat, Oct 14, 2012 thru Fri, Oct 20, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S1374423AC82  Civic        2012  15137  16655  Horton, Jon             Tue, Oct 17, 2012       D16-15-09 
 JB125G1684425C1A4  Civic        2012  27652  28505  Horton, Jon             Wed, Oct 18, 2012       D16-15-09 
 JB121S121442713C6  Civic        2012  15045  16455  Gonzales, Harold        Tue, Oct 17, 2012       D16-15-03 
 JB121S1204425C1A8  Civic        2012  16228  16455  Cooper, Joanne          Wed, Oct 18, 2012       D16-15-01 
 JH156S3124423AC9X  Odyssey      2012  27126  30375  Murray, Gladys          Mon, Oct 16, 2012       D16-15-07 
 JH155FU154424BXA2  Odyssey      2012  43447  47825  Murray, Gladys          Tue, Oct 17, 2012       D16-15-07 
 JC131F1154423AC94  CR-V         2012  27986  30995  Murray, Gladys          Tue, Oct 17, 2012       D16-15-07 
 JE141F119442X7966  Crosstour    2012  33900  37640  Gonzales, Harold        Sun, Oct 15, 2012       D16-15-03 
 JB129S14A4424BXA8  Civic        2012  22564  23055  Cooper, Joanne          Tue, Oct 17, 2012       D16-15-01 
 JH157F3174427131X  Odyssey      2012  43498  45825  Hunter, Yolanda         Tue, Oct 17, 2012       D16-15-02 
 JH153FU1644218A82  Odyssey      2012  43729  45825  Freeman, Vickie         Tue, Oct 17, 2012       D16-15-05 
 JH155FU1244282424  Odyssey      2012  43206  47825  Freeman, Vickie         Sat, Oct 14, 2012       D16-15-05 
 JB127S13844218A86  Civic        2012  15907  16655  Daniels, Rhonda         Sun, Oct 15, 2012       D16-15-06 
 JC131F1104423ACA8  CR-V         2012  28300  30995  Hunter, Yolanda         Tue, Oct 17, 2012       D16-15-02 
 JA1X1S1234428243X  Accord       2012  23557  24089  Hunter, Yolanda         Sat, Oct 14, 2012       D16-15-02 
 JB121S12844282432  Civic        2012  16144  16455  Cooper, Joanne          Wed, Oct 18, 2012       D16-15-01 
 JJ161FU124423ACB4  Pilot        2012  39295  42970  Murray, Gladys          Sat, Oct 14, 2012       D16-15-07 
 JG148F1124426X216  Insight      2012  23846  24390  Rose, Ida               Wed, Oct 18, 2012       D16-15-08 
 JB121S128442X7988  Civic        2012  14960  16455  Crawford, Glen          Wed, Oct 18, 2012       D16-15-04 
 JB121S1234427133X  Civic        2012  14960  16455  Daniels, Rhonda         Wed, Oct 18, 2012       D16-15-06 
 JB127S1394424BXX2  Civic        2012  16078  16655  Rose, Ida               Fri, Oct 20, 2012       D16-15-08 
 JC131F1144424BXX4  CR-V         2012  28614  30995  Horton, Jon             Sat, Oct 14, 2012       D16-15-09 
 JE141F11844282446  Crosstour    2012  34090  37640  Freeman, Vickie         Sun, Oct 15, 2012       D16-15-05 
 JA111S139442X7998  Accord       2012  20407  22480  Hunter, Yolanda         Sat, Oct 14, 2012       D16-15-02 
 JE144F3174428245X  Crosstour    2012  37135  38640  Cooper, Joanne          Fri, Oct 20, 2012       D16-15-01 
 JA1X2F1234426X232  Accord       2012  30801  33030  Crawford, Glen          Fri, Oct 20, 2012       D16-15-04 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH157F312Y3571X29  Odyssey     2008  26447  45825  Gonzales, Harold        Tue, Oct 17, 2012       D16-15-03 
 JB127S13AXX7187A1  Civic       2007  8507   16655  Horton, Jon             Tue, Oct 17, 2012       D16-15-09 
 JB129S1412346XC23  Civic       2010  16761  23055  Gonzales, Harold        Mon, Oct 16, 2012       D16-15-03 
 JA115SU352495CB15  Accord      2010  18867  25480  Gonzales, Harold        Thu, Oct 19, 2012       D16-15-03 
 JJ161FU16141298B7  Pilot       2009  27500  42970  Murray, Gladys          Wed, Oct 18, 2012       D16-15-07 
 JD136F11A2353A9C9  CR-Z        2010  17949  24705  Rose, Ida               Fri, Oct 20, 2012       D16-15-08 
 JB121S124238298C1  Civic       2010  12243  16455  Murray, Gladys          Sat, Oct 14, 2012       D16-15-07 
 JD137FU1214382153  CR-Z        2009  16913  25705  Daniels, Rhonda         Fri, Oct 20, 2012       D16-15-06 
 JB127S13A1236XC35  Civic       2009  10958  16655  Murray, Gladys          Sun, Oct 15, 2012       D16-15-07 
 JJ161FU12322X76A7  Pilot       2011  34301  42970  Rose, Ida               Tue, Oct 17, 2012       D16-15-08 
 JB121S122W18X76A9  Civic       2006  6785   16455  Daniels, Rhonda         Mon, Oct 16, 2012       D16-15-06 
 JH153FU10X26X7711  Odyssey     2007  23821  45825  Cooper, Joanne          Thu, Oct 19, 2012       D16-15-01 
 JD136F1101X24BB53  CR-Z        2009  15811  24705  Freeman, Vickie         Fri, Oct 20, 2012       D16-15-05 
 JB129S141343X7715  Civic       2011  19039  23055  Hunter, Yolanda         Wed, Oct 18, 2012       D16-15-02 
