Dealer Name: Isern Honda
Address:     9833 Florida Highway
             Brookland, GA
Dealer ID:   28
Owner:       Isern, Mareen
Date:        Sat, Oct 14, 2012 thru Fri, Oct 20, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JE141F1194423B6X2  Crosstour    2012  36947  37640  Sullivan, Jorge         Sat, Oct 14, 2012       D28-20-02 
 JH153FU144422A5C4  Odyssey      2012  42573  45825  White, Ana              Mon, Oct 16, 2012       D28-20-03 
 JB129S14544261936  Civic        2012  22094  23055  Simpson, Charlene       Sat, Oct 14, 2012       D28-20-01 
 JC131F1184422A5C8  CR-V         2012  28772  30995  Young, Bryan            Sun, Oct 15, 2012       D28-20-04 
 JA119S436442X841X  Accord       2012  29854  31480  Sullivan, Jorge         Wed, Oct 18, 2012       D28-20-02 
 JH15AS1104422A632  Odyssey      2012  26395  29375  Sullivan, Jorge         Thu, Oct 19, 2012       D28-20-02 
 JB121S1214422A634  Civic        2012  15045  16455  Sullivan, Jorge         Sun, Oct 15, 2012       D28-20-02 
 JA1X6FU224423B746  Accord       2012  32284  36030  Stephens, Christy       Wed, Oct 18, 2012       D28-20-06 
 JH154SU1244261A78  Odyssey      2012  30527  32375  Young, Bryan            Tue, Oct 17, 2012       D28-20-04 
 JC131F11744261A8X  CR-V         2012  30344  30995  Sullivan, Jorge         Wed, Oct 18, 2012       D28-20-02 
 JC132FU1344272B92  CR-V         2012  31309  31995  White, Ana              Tue, Oct 17, 2012       D28-20-03 
 JH154SU164424C864  Odyssey      2012  31840  32375  Gregory, Brad           Wed, Oct 18, 2012       D28-20-05 
 JB127S135442X8426  Civic        2012  16506  16655  Sullivan, Jorge         Thu, Oct 19, 2012       D28-20-02 
 JH155FU184424C868  Odyssey      2012  45137  47825  Stephens, Christy       Fri, Oct 20, 2012       D28-20-06 
 JH151F1124423B76X  Odyssey      2012  41426  44825  Simpson, Charlene       Wed, Oct 18, 2012       D28-20-01 
 JC132FU11442X8432  CR-V         2012  30984  31995  Simpson, Charlene       Mon, Oct 16, 2012       D28-20-01 
 JA1X1S12A44272BA4  Accord       2012  23680  24089  Stephens, Christy       Sat, Oct 14, 2012       D28-20-06 
 JB127S1314422A656  Civic        2012  15736  16655  Stephens, Christy       Fri, Oct 20, 2012       D28-20-06 
 JB127S1354422A658  Civic        2012  15651  16655  White, Ana              Sat, Oct 14, 2012       D28-20-03 
 JB123H1524423B77X  Civic        2012  26086  27600  Gregory, Brad           Wed, Oct 18, 2012       D28-20-05 
 JA111S13744283CC2  Accord       2012  22127  22480  White, Ana              Sun, Oct 15, 2012       D28-20-03 
 JH15AS11544283CC4  Odyssey      2012  26693  29375  Simpson, Charlene       Sat, Oct 14, 2012       D28-20-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH155FU1A1393AXA3  Odyssey     2009  31468  47825  Sullivan, Jorge         Thu, Oct 19, 2012       D28-20-02 
 JB121S12011729C95  Civic       2009  10827  16455  Young, Bryan            Tue, Oct 17, 2012       D28-20-04 
 JK166FU1A11129C97  Ridgeline   2009  30560  47750  Sullivan, Jorge         Wed, Oct 18, 2012       D28-20-02 
 JC132FU1A22418B89  CR-V        2010  23198  31995  White, Ana              Wed, Oct 18, 2012       D28-20-03 
 JH15AS11712271421  Odyssey     2009  18800  29375  White, Ana              Sun, Oct 15, 2012       D28-20-03 
 JH153FU19115X7A83  Odyssey     2009  29328  45825  Simpson, Charlene       Fri, Oct 20, 2012       D28-20-01 
 JH151F110148X7A85  Odyssey     2009  29494  44825  Sullivan, Jorge         Thu, Oct 19, 2012       D28-20-02 
 JB121S123Y1782537  Civic       2008  10062  16455  Young, Bryan            Tue, Oct 17, 2012       D28-20-04 
 JG148F1114344B1C9  Insight      2012  22683  24390  White, Ana              Sat, Oct 14, 2012       D28-20-03 
 JB127S130W2682541  Civic       2006  6871   16655  Sullivan, Jorge         Fri, Oct 20, 2012       D28-20-02 
 JH15AS113W1282543  Odyssey     2006  12341  29375  Young, Bryan            Thu, Oct 19, 2012       D28-20-04 
 JC131F1113X618BA5  CR-V        2011  25470  30995  Sullivan, Jorge         Mon, Oct 16, 2012       D28-20-02 
 JA115SU341X682547  Accord      2009  16765  25480  Simpson, Charlene       Fri, Oct 20, 2012       D28-20-01 
 JK167FU18W253AXC9  Ridgeline   2006  19630  49750  Sullivan, Jorge         Sun, Oct 15, 2012       D28-20-02 
 JB129S1493114B111  Civic       2011  19039  23055  Young, Bryan            Mon, Oct 16, 2012       D28-20-04 
