Dealer Name: Harrison Honda
Address:     692 Sanders Ave
             Port Kiln, SC
Dealer ID:   11
Owner:       Harrision, Owen
Date:        Sat, Oct 21, 2012 thru Fri, Oct 27, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH155FU13443X776X  Odyssey      2012  45861  47825  Burke, Derrick          Wed, Oct 25, 2012       D11-10-01 
 JB127S1304434BBA2  Civic        2012  15394  16655  Bishop, Joann           Sat, Oct 21, 2012       D11-10-05 
 JB121S128443711X4  Civic        2012  14960  16455  Burke, Derrick          Sun, Oct 22, 2012       D11-10-01 
 JB127S139443X7766  Civic        2012  16591  16655  Day, Jennifer           Thu, Oct 26, 2012       D11-10-06 
 JC132FU124434BBA8  CR-V         2012  31471  31995  Burke, Derrick          Sat, Oct 21, 2012       D11-10-01 
 JG148F1194431888X  Insight      2012  22852  24390  Bishop, Joann           Tue, Oct 24, 2012       D11-10-05 
 JC135F4154434BBB2  CR-V         2012  36400  39995  Burke, Derrick          Sat, Oct 21, 2012       D11-10-01 
 JH152SU1744318884  Odyssey      2012  27742  30375  Lambert, Donna          Mon, Oct 23, 2012       D11-10-04 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH153FU132463A853  Odyssey     2010  33800  45825  Bishop, Joann           Sat, Oct 21, 2012       D11-10-05 
 JB129S141Y1P6XB85  Civic       2008  14154  23055  Lambert, Donna          Sun, Oct 22, 2012       D11-10-04 
 JC134F3131X13A857  CR-V        2009  21052  31995  Fields, Joan            Sun, Oct 22, 2012       D11-10-03 
 JG148F11124371C99  Insight     2010  18067  24390  Fields, Joan            Tue, Oct 24, 2012       D11-10-03 
 JH154SU1732618641  Odyssey     2011  26260  32375  Bishop, Joann           Sat, Oct 21, 2012       D11-10-05 
 JG148F11011218643  Insight     2009  22072  24390  Burke, Derrick          Sat, Oct 21, 2012       D11-10-01 
 JH156S312Y254B975  Odyssey     2008  17487  30375  Burke, Derrick          Thu, Oct 26, 2012       D11-10-01 
 JJ162FU1713129757  Pilot       2009  29590  44970  Fields, Joan            Sat, Oct 21, 2012       D11-10-03 
 JD136F1151X56XB99  CR-Z        2009  16255  24705  Mason, Felicia          Sat, Oct 21, 2012       D11-10-02 
 JD136F112Y3482XC1  CR-Z        2008  14688  24705  Fields, Joan            Fri, Oct 27, 2012       D11-10-03 
 JH153FU141X282XC3  Odyssey     2009  29328  45825  Day, Jennifer           Tue, Oct 24, 2012       D11-10-06 
 JB127S1321215CA95  Civic       2009  10659  16655  Mason, Felicia          Wed, Oct 25, 2012       D11-10-02 
 JH157F3151256XBA7  Odyssey     2009  30152  45825  Lambert, Donna          Sun, Oct 22, 2012       D11-10-04 
 JC131F1151276XBA9  CR-V        2009  20394  30995  Lambert, Donna          Sun, Oct 22, 2012       D11-10-04 
