Dealer Name: Kronnen Honda
Address:     4641 Johnstown Drive
             Norbert, FL
Dealer ID:   18
Owner:       Kronnen, Winston
Date:        Sat, Oct 21, 2012 thru Fri, Oct 27, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S1354433AX72  Civic        2012  16078  16655  Rice, Derrick           Thu, Oct 26, 2012       D18-17-09 
 JA1X1S1214435C294  Accord       2012  21839  24089  Scott, Jack             Thu, Oct 26, 2012       D18-17-08 
 JB121S12944318B56  Civic        2012  16397  16455  Peterson, Judy          Sat, Oct 21, 2012       D18-17-01 
 JB121S1264434B188  Civic        2012  14876  16455  Watkins, Tiffany        Sat, Oct 21, 2012       D18-17-04 
 JE144F3114434B19X  Crosstour    2012  37721  38640  Carroll, Danny          Fri, Oct 27, 2012       D18-17-05 
 JA112F13344329C72  Accord       2012  30709  32930  Larson, Pauline         Tue, Oct 24, 2012       D18-17-03 
 JC132FU124433AX84  CR-V         2012  29038  31995  Carroll, Danny          Tue, Oct 24, 2012       D18-17-05 
 JF146S1194434B196  Fit          2012  15157  16025  Richards, Jessica       Sun, Oct 22, 2012       D18-17-02 
 JA113SU30443825X8  Accord       2012  22972  23480  Watkins, Tiffany        Sun, Oct 22, 2012       D18-17-04 
 JB122SU2144329C8X  Civic        2012  16819  17255  Richards, Jessica       Sun, Oct 22, 2012       D18-17-02 
 JA111S1304435C2B2  Accord       2012  20637  22480  Scott, Jack             Sun, Oct 22, 2012       D18-17-08 
 JE142FU1644329C84  Crosstour    2012  37135  38640  Watkins, Tiffany        Tue, Oct 24, 2012       D18-17-04 
 JA111S13944329C86  Accord       2012  20293  22480  Rice, Derrick           Sat, Oct 21, 2012       D18-17-09 
 JC131F11A4434B1A8  CR-V         2012  30187  30995  Watkins, Tiffany        Tue, Oct 24, 2012       D18-17-04 
 JH153FU17443X7A7X  Odyssey      2012  41416  45825  Rice, Derrick           Thu, Oct 26, 2012       D18-17-09 
 JA112F1304433AXA2  Accord       2012  32211  32930  Scott, Jack             Fri, Oct 27, 2012       D18-17-08 
 JB121S12A44329C94  Civic        2012  15129  16455  Rice, Derrick           Sat, Oct 21, 2012       D18-17-09 
 JC131F11544382526  CR-V         2012  27986  30995  Richards, Jessica       Wed, Oct 25, 2012       D18-17-02 
 JH154SU1544382528  Odyssey      2012  30199  32375  Watkins, Tiffany        Tue, Oct 24, 2012       D18-17-04 
 JB128SU374438253X  Civic        2012  17009  17455  Watkins, Tiffany        Thu, Oct 26, 2012       D18-17-04 
 JA115SU3044318B92  Accord       2012  24114  25480  Carroll, Danny          Wed, Oct 25, 2012       D18-17-05 
 JH157F31A4436X314  Odyssey      2012  43267  45825  Peterson, Judy          Mon, Oct 23, 2012       D18-17-01 
 JE141F11144329CA6  Crosstour    2012  33709  37640  Curtis, Jimmie          Sun, Oct 22, 2012       D18-17-06 
 JA1X5SU2544382538  Accord       2012  25060  27089  Richards, Jessica       Mon, Oct 23, 2012       D18-17-02 
 JH153FU154435C21X  Odyssey      2012  44886  45825  Carroll, Danny          Fri, Oct 27, 2012       D18-17-05 
 JB129S1474435C212  Civic        2012  21389  23055  Carroll, Danny          Tue, Oct 24, 2012       D18-17-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JG148F1141X5711X3  Insight     2009  15609  24390  Larson, Pauline         Sun, Oct 22, 2012       D18-17-03 
 JC131F11AX21711X5  CR-V        2007  16036  30995  Larson, Pauline         Sat, Oct 21, 2012       D18-17-03 
 JK167FU14Y2P711X7  Ridgeline   2008  29715  49750  Bennett, Tiffany        Sat, Oct 21, 2012       D18-17-07 
 JC131F1191X93AA99  CR-V        2009  20394  30995  Scott, Jack             Tue, Oct 24, 2012       D18-17-08 
 JB127S13023129991  Civic       2010  12389  16655  Scott, Jack             Sun, Oct 22, 2012       D18-17-08 
 JF146S112231X7773  Fit         2010  11700  16025  Bennett, Tiffany        Thu, Oct 26, 2012       D18-17-07 
 JB127S138121X7775  Civic       2009  15072  16655  Curtis, Jimmie          Wed, Oct 25, 2012       D18-17-06 
 JK166FU18Y34X7777  Ridgeline   2008  28515  47750  Larson, Pauline         Fri, Oct 27, 2012       D18-17-03 
 JH152SU152393AAA9  Odyssey     2010  22032  30375  Watkins, Tiffany        Sat, Oct 21, 2012       D18-17-04 
 JG149FU1931482231  Insight     2011  20768  25190  Carroll, Danny          Sun, Oct 22, 2012       D18-17-05 
 JH159F41821818893  Odyssey     2010  41874  56825  Carroll, Danny          Tue, Oct 24, 2012       D18-17-05 
 JB121S1221X718895  Civic       2009  10827  16455  Curtis, Jimmie          Tue, Oct 24, 2012       D18-17-06 
 JH154SU14X3882237  Odyssey     2007  15962  32375  Richards, Jessica       Thu, Oct 26, 2012       D18-17-02 
 JC132FU141265CCX9  CR-V        2009  21052  31995  Carroll, Danny          Thu, Oct 26, 2012       D18-17-05 
 JC131F117Y51299B1  CR-V        2008  19077  30995  Carroll, Danny          Sat, Oct 21, 2012       D18-17-05 
 JB127S1301393AAC3  Civic       2009  10958  16655  Scott, Jack             Thu, Oct 26, 2012       D18-17-08 
 JJ161FU11X496XX25  Pilot       2007  20197  42970  Watkins, Tiffany        Sat, Oct 21, 2012       D18-17-04 
 JB127S13523P5CC17  Civic       2010  12153  16655  Carroll, Danny          Mon, Oct 23, 2012       D18-17-05 
 JJ161FU152X7188A9  Pilot       2010  30495  42970  Curtis, Jimmie          Fri, Oct 27, 2012       D18-17-06 
 JB127S1361X25CC21  Civic       2009  10958  16655  Watkins, Tiffany        Thu, Oct 26, 2012       D18-17-04 
 JH151F1182193AAX3  Odyssey     2010  33066  44825  Richards, Jessica       Thu, Oct 26, 2012       D18-17-02 
 JH153FU10X28X77A5  Odyssey     2007  22687  45825  Peterson, Judy          Thu, Oct 26, 2012       D18-17-01 
 JC135F41AYX9188B7  CR-V        2008  24657  39995  Scott, Jack             Sat, Oct 21, 2012       D18-17-08 
 JD136F1171X25CC29  CR-Z        2009  15811  24705  Curtis, Jimmie          Mon, Oct 23, 2012       D18-17-06 
 JG148F1111176X171  Insight     2009  16048  24390  Scott, Jack             Tue, Oct 24, 2012       D18-17-08 
