Dealer Name: Value Honda
Address:     6846 Harrison Ave
             West Junction, AL
Dealer ID:   7
Owner:       Walker, Shelly
Date:        Sat, Nov 18, 2012 thru Fri, Nov 24, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA119S4374474B9A4  Accord       2012  29375  31480  Caldwell, Wade          Mon, Nov 20, 2012       D07-07-04 
 JB127S13544771CX6  Civic        2012  15480  16655  Green, Francis          Sat, Nov 18, 2012       D07-07-02 
 JH151F11144718678  Odyssey      2012  43690  44825  Soto, Victor            Tue, Nov 21, 2012       D07-07-07 
 JB121S1224474B9BX  Civic        2012  15299  16455  Chavez, Joy             Mon, Nov 20, 2012       D07-07-05 
 JH153FU134475CAC2  Odyssey      2012  43729  45825  Green, Francis          Fri, Nov 24, 2012       D07-07-02 
 JB121S1204475CAC4  Civic        2012  16228  16455  Schmidt, Phillip        Sun, Nov 19, 2012       D07-07-01 
 JA1X9S4254475CAC6  Accord       2012  32197  33089  Soto, Victor            Mon, Nov 20, 2012       D07-07-07 
 JB121S122447X7578  Civic        2012  16059  16455  Meyer, Vincent          Tue, Nov 21, 2012       D07-07-03 
 JA118F33A4471869X  Accord       2012  33348  33930  Mills, Naomi            Sun, Nov 19, 2012       D07-07-06 
 JE141F11044782X32  Crosstour    2012  33519  37640  Meyer, Vincent          Mon, Nov 20, 2012       D07-07-03 
 JC131F11744782X34  CR-V         2012  28143  30995  Caldwell, Wade          Mon, Nov 20, 2012       D07-07-04 
 JE144F31544771C26  Crosstour    2012  36158  38640  Mills, Naomi            Sat, Nov 18, 2012       D07-07-06 
 JC133FU1744782X38  CR-V         2012  30483  33995  Patterson, Hilda        Mon, Nov 20, 2012       D07-07-08 
 JH156S3154476XB2X  Odyssey      2012  29437  30375  Schmidt, Phillip        Mon, Nov 20, 2012       D07-07-01 
 JE141F110447186A2  Crosstour    2012  35804  37640  Chavez, Joy             Sat, Nov 18, 2012       D07-07-05 
 JB123H151447X7594  Civic        2012  24824  27600  Soto, Victor            Thu, Nov 23, 2012       D07-07-07 
 JG148F112447X7596  Insight      2012  22977  24390  Caldwell, Wade          Sun, Nov 19, 2012       D07-07-04 
 JA1X1S1244474B9X8  Accord       2012  23557  24089  Green, Francis          Fri, Nov 24, 2012       D07-07-02 
 JB121S12844771C4X  Civic        2012  15468  16455  Schmidt, Phillip        Thu, Nov 23, 2012       D07-07-01 
 JA1X1S12544771C42  Accord       2012  23680  24089  Meyer, Vincent          Wed, Nov 22, 2012       D07-07-03 
 JH156S31444782X54  Odyssey      2012  28821  30375  Green, Francis          Mon, Nov 20, 2012       D07-07-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
