Dealer Name: Harrison Honda
Address:     692 Sanders Ave
             Port Kiln, SC
Dealer ID:   11
Owner:       Harrision, Owen
Date:        Sat, Nov 18, 2012 thru Fri, Nov 24, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC131F1194478221X  CR-V         2012  27671  30995  Bishop, Joann           Wed, Nov 22, 2012       D11-10-05 
 JB129S143447X7762  Civic        2012  22447  23055  Day, Jennifer           Sat, Nov 18, 2012       D11-10-06 
 JB122SU244475CCB4  Civic        2012  17085  17255  Bishop, Joann           Wed, Nov 22, 2012       D11-10-05 
 JB121S1224474BBA6  Civic        2012  16144  16455  Fields, Joan            Tue, Nov 21, 2012       D11-10-03 
 JA111S135447X7768  Accord       2012  20866  22480  Bishop, Joann           Tue, Nov 21, 2012       D11-10-05 
 JH158S4164472999X  Odyssey      2012  38479  41375  Day, Jennifer           Fri, Nov 24, 2012       D11-10-06 
 JA111S1324475CCC2  Accord       2012  20522  22480  Burke, Derrick          Wed, Nov 22, 2012       D11-10-01 
 JJ162FU1A44771114  Pilot        2012  41559  44970  Bishop, Joann           Tue, Nov 21, 2012       D11-10-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH151F11A12429743  Odyssey     2009  29494  44825  Fields, Joan            Wed, Nov 22, 2012       D11-10-03 
 JH15AS1153194B965  Odyssey     2011  24158  29375  Burke, Derrick          Tue, Nov 21, 2012       D11-10-01 
 JE141F11033418637  Crosstour   2011  30472  37640  Lambert, Donna          Thu, Nov 23, 2012       D11-10-04 
 JB123H159YX96XB89  Civic       2008  16972  27600  Burke, Derrick          Fri, Nov 24, 2012       D11-10-01 
 JH155FU17YX64B971  Odyssey     2008  28560  47825  Bishop, Joann           Thu, Nov 23, 2012       D11-10-05 
 JD138FU171145CA83  CR-Z        2009  25073  27705  Lambert, Donna          Wed, Nov 22, 2012       D11-10-04 
 JB129S14621829755  Civic       2010  16761  23055  Lambert, Donna          Thu, Nov 23, 2012       D11-10-04 
 JG148F11814582XB7  Insight     2009  16048  24390  Burke, Derrick          Wed, Nov 22, 2012       D11-10-01 
 JE143FU1525271CA9  Crosstour   2010  29422  40640  Burke, Derrick          Sat, Nov 18, 2012       D11-10-01 
 JC135F417YX718651  CR-V        2008  23862  39995  Burke, Derrick          Sun, Nov 19, 2012       D11-10-01 
 JC132FU1AYX629763  CR-V        2008  19062  31995  Lambert, Donna          Mon, Nov 20, 2012       D11-10-04 
 JB127S130Y1P3A875  Civic       2008  10186  16655  Mason, Felicia          Wed, Nov 22, 2012       D11-10-02 
 JG148F116Y364B987  Insight     2008  14982  24390  Lambert, Donna          Thu, Nov 23, 2012       D11-10-04 
 JK166FU1A1424B989  Ridgeline   2009  30560  47750  Burke, Derrick          Wed, Nov 22, 2012       D11-10-01 
