Dealer Name: Royal Honda
Address:     8627 Davis Highway
             Port Kiln, SC
Dealer ID:   13
Owner:       Olson, Julie
Date:        Sat, Dec  9, 2012 thru Fri, Dec 15, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JE142FU1545P3AB62  Crosstour    2012  36940  38640  Oliver, Walter          Sat, Dec  9, 2012       D13-12-03 
 JJ161FU1745P6X194  Pilot        2012  39078  42970  Watkins, Terrence       Thu, Dec 14, 2012       D13-12-01 
 JG148F11445PX7836  Insight      2012  22728  24390  Romero, Ruby            Tue, Dec 12, 2012       D13-12-04 
 JK167FU1545P18948  Ridgeline    2012  48443  49750  Oliver, Walter          Sun, Dec 10, 2012       D13-12-03 
 JB127S13945P3AB7X  Civic        2012  16078  16655  Watkins, Terrence       Wed, Dec 13, 2012       D13-12-01 
 JH151F11345P18952  Odyssey      2012  40521  44825  Watkins, Terrence       Fri, Dec 15, 2012       D13-12-01 
 JA1X1S12A45P18954  Accord       2012  22943  24089  Romero, Ruby            Sun, Dec 10, 2012       D13-12-04 
 JA1X7S32045PX7846  Accord       2012  22474  25089  Watkins, Terrence       Sun, Dec 10, 2012       D13-12-01 
 JD137FU1945PX7848  CR-Z         2012  24193  25705  Romero, Ruby            Wed, Dec 13, 2012       D13-12-04 
 JA115SU3145P823XX  Accord       2012  22948  25480  Watkins, Terrence       Tue, Dec 12, 2012       D13-12-01 
 JA117S33845PX7852  Accord       2012  22135  23480  Oliver, Walter          Sun, Dec 10, 2012       D13-12-03 
 JB123H15645P3AB84  Civic        2012  27068  27600  Austin, Marcus          Fri, Dec 15, 2012       D13-12-02 
 JB129S14545P5CXA6  Civic        2012  21507  23055  Watkins, Terrence       Sat, Dec  9, 2012       D13-12-01 
 JH158S41545P5CXA8  Odyssey      2012  37224  41375  Watkins, Terrence       Sun, Dec 10, 2012       D13-12-01 
 JC131F11745P1897X  CR-V         2012  29558  30995  Watkins, Terrence       Sun, Dec 10, 2012       D13-12-01 
 JA1X4FU2A45P4BCA2  Accord       2012  32928  34030  Oliver, Walter          Wed, Dec 13, 2012       D13-12-03 
 JA113SU3145PX7864  Accord       2012  22613  23480  Watkins, Terrence       Tue, Dec 12, 2012       D13-12-01 
 JB121S12345P4BCA6  Civic        2012  15299  16455  Austin, Marcus          Tue, Dec 12, 2012       D13-12-02 
 JC134F31945P712X8  CR-V         2012  30660  31995  Austin, Marcus          Sun, Dec 10, 2012       D13-12-02 
 JA1X1S12345P1898X  Accord       2012  22453  24089  Oliver, Walter          Wed, Dec 13, 2012       D13-12-03 
 JB121S12245P3ABA2  Civic        2012  15383  16455  Watkins, Terrence       Sun, Dec 10, 2012       D13-12-01 
 JG149FU1045PX7874  Insight      2012  22819  25190  Romero, Ruby            Mon, Dec 11, 2012       D13-12-04 
 JH151F11745P5CXC6  Odyssey      2012  42332  44825  Watkins, Terrence       Thu, Dec 14, 2012       D13-12-01 
 JA116FU3145P18988  Accord       2012  32742  35930  Oliver, Walter          Tue, Dec 12, 2012       D13-12-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JG148F117W2PX75A3  Insight     2006  9486   24390  Austin, Marcus          Fri, Dec 15, 2012       D13-12-02 
 JC131F11725182X55  CR-V        2010  22915  30995  Watkins, Terrence       Tue, Dec 12, 2012       D13-12-01 
 JH152SU1221P297C7  Odyssey     2010  21603  30375  Oliver, Walter          Fri, Dec 15, 2012       D13-12-03 
 JH15AS112Y355CA29  Odyssey     2008  18073  29375  Romero, Ruby            Mon, Dec 11, 2012       D13-12-04 
 JB125G16142282191  Civic        2012  26407  28505  Watkins, Terrence       Tue, Dec 12, 2012       D13-12-01 
 JH156S31521718723  Odyssey     2010  22460  30375  Austin, Marcus          Wed, Dec 13, 2012       D13-12-02 
 JH154SU1615PX7615  Odyssey     2009  20720  32375  Oliver, Walter          Tue, Dec 12, 2012       D13-12-03 
 JB127S131W1P18727  Civic       2006  6871   16655  Austin, Marcus          Tue, Dec 12, 2012       D13-12-02 
 JH151F118Y1871X89  Odyssey     2008  27652  44825  Watkins, Terrence       Thu, Dec 14, 2012       D13-12-01 
 JH154SU17Y164BA61  Odyssey     2008  19290  32375  Watkins, Terrence       Sat, Dec  9, 2012       D13-12-01 
 JH154SU17Y424BA63  Odyssey     2008  19933  32375  Romero, Ruby            Fri, Dec 15, 2012       D13-12-04 
 JG148F11521P18735  Insight     2010  17722  24390  Austin, Marcus          Mon, Dec 11, 2012       D13-12-02 
 JB129S14311871X97  Civic       2009  15170  23055  Oliver, Walter          Tue, Dec 12, 2012       D13-12-03 
 JH151F110Y4P6XC89  Odyssey     2008  26760  44825  Romero, Ruby            Wed, Dec 13, 2012       D13-12-04 
 JH152SU1911771XA1  Odyssey     2009  19440  30375  Austin, Marcus          Wed, Dec 13, 2012       D13-12-02 
