Dealer Name: City Honda
Address:     9489 Ford Parkwark
             Brookland, GA
Dealer ID:   25
Owner:       Porter, Barbara
Date:        Sat, Dec 23, 2012 thru Sat, Dec 31, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB122SU244526X5A2  Civic        2012  16642  17255  Sullivan, Hazel         Sun, Dec 24, 2012       D25-22-06 
 JA1X7S3294524B384  Accord       2012  24134  25089  Mcdonald, Eduardo       Mon, Dec 25, 2012       D25-22-05 
 JH15AS1154526X5A6  Odyssey      2012  28482  29375  Mcdonald, Eduardo       Sat, Dec 23, 2012       D25-22-05 
 JH153FU13452827C8  Odyssey      2012  41184  45825  Hall, Josephine         Tue, Dec 26, 2012       D25-22-03 
 JJ16AF115452716CX  Pilot        2012  40935  41970  Hall, Josephine         Fri, Dec 29, 2012       D25-22-03 
 JA111S135452827X2  Accord       2012  20866  22480  Wallace, Harry          Thu, Dec 28, 2012       D25-22-04 
 JJ161FU104525C4A4  Pilot        2012  41466  42970  Mcdonald, Eduardo       Mon, Dec 25, 2012       D25-22-05 
 JH155FU18452827X6  Odyssey      2012  44895  47825  Fuller, Jacob           Mon, Dec 25, 2012       D25-22-02 
 JD138FU194526X5B8  CR-Z         2012  26324  27705  Wallace, Harry          Fri, Dec 29, 2012       D25-22-04 
 JH155FU1945218X7X  Odyssey      2012  42723  47825  Sullivan, Hazel         Fri, Dec 29, 2012       D25-22-06 
 JH157F316452X7C62  Odyssey      2012  43729  45825  Hall, Josephine         Sat, Dec 23, 2012       D25-22-03 
 JA114FU3A45282714  Accord       2012  31113  33930  Shelton, Alicia         Wed, Dec 27, 2012       D25-22-01 
 JB127S135452X7C66  Civic        2012  16420  16655  Mcdonald, Eduardo       Tue, Dec 26, 2012       D25-22-05 
 JH153FU1445229188  Odyssey      2012  41878  45825  Fuller, Jacob           Sun, Dec 24, 2012       D25-22-02 
 JB122SU214528272X  Civic        2012  16465  17255  Mcdonald, Eduardo       Wed, Dec 27, 2012       D25-22-05 
 JJ161FU1945229192  Pilot        2012  39078  42970  Wallace, Harry          Sat, Dec 23, 2012       D25-22-04 
 JB127S1354523A2A4  Civic        2012  16335  16655  Wallace, Harry          Mon, Dec 25, 2012       D25-22-04 
 JH151F1184524B3B6  Odyssey      2012  40747  44825  Shelton, Alicia         Thu, Dec 28, 2012       D25-22-01 
 JB129S148452X7C78  Civic        2012  22094  23055  Fuller, Jacob           Tue, Dec 26, 2012       D25-22-02 
 JD138FU134525C4XX  CR-Z         2012  27169  27705  Shelton, Alicia         Thu, Dec 28, 2012       D25-22-01 
 JA111S1314523A2B2  Accord       2012  22012  22480  Hall, Josephine         Fri, Dec 29, 2012       D25-22-03 
 JB121S1284525C4X4  Civic        2012  15890  16455  Sullivan, Hazel         Mon, Dec 25, 2012       D25-22-06 
 JA115SU3A4525C4X6  Accord       2012  24763  25480  Mcdonald, Eduardo       Tue, Dec 26, 2012       D25-22-05 
 JB122SU2A4524B3C8  Civic        2012  16377  17255  Fuller, Jacob           Sat, Dec 23, 2012       D25-22-02 
 JH152SU134527163X  Odyssey      2012  27896  30375  Hall, Josephine         Fri, Dec 29, 2012       D25-22-03 
 JA119S43145282742  Accord       2012  28417  31480  Hall, Josephine         Fri, Dec 29, 2012       D25-22-03 
 JK165F1164525C414  Ridgeline    2012  43896  46750  Hall, Josephine         Sun, Dec 24, 2012       D25-22-03 
 JH151F1174523A2C6  Odyssey      2012  40294  44825  Shelton, Alicia         Fri, Dec 29, 2012       D25-22-01 
 JH152SU134524B3X8  Odyssey      2012  29746  30375  Mcdonald, Eduardo       Fri, Dec 29, 2012       D25-22-05 
 JA114FU394524B31X  Accord       2012  30598  33930  Wallace, Harry          Tue, Dec 26, 2012       D25-22-04 
 JC133FU1A4524B312  CR-V         2012  32033  33995  Hall, Josephine         Fri, Dec 29, 2012       D25-22-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S127X273AC73  Civic       2007  8402   16455  Mcdonald, Eduardo       Wed, Dec 27, 2012       D25-22-05 
 JB123H1594X4824C5  Civic        2012  25588  27600  Mcdonald, Eduardo       Tue, Dec 26, 2012       D25-22-05 
 JE141F114Y346X2A7  Crosstour   2008  23197  37640  Sullivan, Hazel         Wed, Dec 27, 2012       D25-22-06 
 JB128SU3435P4BX89  Civic       2011  14503  17455  Shelton, Alicia         Tue, Dec 26, 2012       D25-22-01 
 JB129S147W345C1A1  Civic       2006  9623   23055  Fuller, Jacob           Sun, Dec 24, 2012       D25-22-02 
 JJ16AF116XX129B73  Pilot       2007  19722  41970  Hall, Josephine         Sun, Dec 24, 2012       D25-22-03 
 JA119S435X3529B75  Accord      2007  16290  31480  Shelton, Alicia         Tue, Dec 26, 2012       D25-22-01 
 JH155FU1333P713C7  Odyssey     2011  39102  47825  Mcdonald, Eduardo       Thu, Dec 28, 2012       D25-22-05 
 JB121S1272274BX99  Civic       2010  12243  16455  Hall, Josephine         Tue, Dec 26, 2012       D25-22-03 
 JB129S1421424BXA1  Civic       2009  14755  23055  Fuller, Jacob           Fri, Dec 29, 2012       D25-22-02 
 JJ161FU1011182413  Pilot       2009  27500  42970  Shelton, Alicia         Mon, Dec 25, 2012       D25-22-01 
 JB125G1671424BXA5  Civic       2009  18756  28505  Wallace, Harry          Thu, Dec 28, 2012       D25-22-04 
 JB127S137Y33713X7  Civic       2008  10186  16655  Fuller, Jacob           Mon, Dec 25, 2012       D25-22-02 
