Dealer Name: Superior Honda
Address:     8799 Dixie Highway
             Louderdale, FL
Dealer ID:   31
Owner:       Griner, Thomas
Date:        Sat, Dec 23, 2012 thru Sat, Dec 31, 2012  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S12A45272C96  Civic        2012  15214  16455  Berry, Gerald           Sat, Dec 23, 2012       D31-27-02 
 JA1X5SU2345261B88  Accord       2012  24372  27089  Knight, Sean            Sat, Dec 23, 2012       D31-27-04 
 JB121S12A452X853X  Civic        2012  15806  16455  Harvey, Joseph          Fri, Dec 29, 2012       D31-27-01 
 JA119S4334523B862  Accord       2012  29056  31480  Harvey, Joseph          Wed, Dec 27, 2012       D31-27-01 
 JA113SU314524C974  Accord       2012  22135  23480  Harvey, Joseph          Sun, Dec 24, 2012       D31-27-01 
 JK166FU184524C976  Ridgeline    2012  44103  47750  Knight, Sean            Wed, Dec 27, 2012       D31-27-04 
 JH152SU1A4524C978  Odyssey      2012  28359  30375  Berry, Gerald           Tue, Dec 26, 2012       D31-27-02 
 JA112F13545272CBX  Accord       2012  30042  32930  Wells, Bobby            Tue, Dec 26, 2012       D31-27-03 
 JH153FU1745283XC2  Odyssey      2012  41416  45825  Harvey, Joseph          Thu, Dec 28, 2012       D31-27-01 
 JB127S138452X8544  Civic        2012  16078  16655  Harvey, Joseph          Tue, Dec 26, 2012       D31-27-01 
 JC131F113452X8546  CR-V         2012  30029  30995  Berry, Gerald           Fri, Dec 29, 2012       D31-27-02 
 JC131F11445283XC8  CR-V         2012  28300  30995  Knight, Sean            Fri, Dec 29, 2012       D31-27-04 
 JB121S1244525XAAX  Civic        2012  15383  16455  Wells, Bobby            Sun, Dec 24, 2012       D31-27-03 
 JJ163F31A4525XAA2  Pilot        2012  39729  42970  Harvey, Joseph          Tue, Dec 26, 2012       D31-27-01 
 JD136F11245283XX4  CR-Z         2012  23771  24705  Knight, Sean            Fri, Dec 29, 2012       D31-27-04 
 JB121S12A4524C996  Civic        2012  15637  16455  Knight, Sean            Fri, Dec 29, 2012       D31-27-04 
 JB129S1484522A778  Civic        2012  22564  23055  Wells, Bobby            Sat, Dec 23, 2012       D31-27-03 
 JA111S13A4522A78X  Accord       2012  20980  22480  Knight, Sean            Sun, Dec 24, 2012       D31-27-04 
 JB121S1204524C9A2  Civic        2012  15890  16455  Knight, Sean            Wed, Dec 27, 2012       D31-27-04 
 JB127S1334523B894  Civic        2012  16249  16655  Wells, Bobby            Sat, Dec 23, 2012       D31-27-03 
 JA1X5SU264522A786  Accord       2012  25611  27089  Burns, Laura            Fri, Dec 29, 2012       D31-27-05 
 JH159F41645219678  Odyssey      2012  52120  56825  Berry, Gerald           Mon, Dec 25, 2012       D31-27-02 
 JA111S139452X857X  Accord       2012  22012  22480  Knight, Sean            Wed, Dec 27, 2012       D31-27-04 
 JH151F11345219682  Odyssey      2012  40294  44825  Wells, Bobby            Sat, Dec 23, 2012       D31-27-03 
 JA1X4FU244523B8A4  Accord       2012  31721  34030  Knight, Sean            Mon, Dec 25, 2012       D31-27-04 
 JA111S1364525XAC6  Accord       2012  21783  22480  Burns, Laura            Tue, Dec 26, 2012       D31-27-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S139Y2429X99  Civic       2008  9858   16655  Burns, Laura            Tue, Dec 26, 2012       D31-27-05 
 JH153FU1A12582631  Odyssey     2009  29328  45825  Burns, Laura            Wed, Dec 27, 2012       D31-27-05 
 JD136F112W46X7B83  CR-Z        2006  9612   24705  Wells, Bobby            Sun, Dec 24, 2012       D31-27-03 
 JB128SU35318X7B85  Civic       2011  14503  17455  Wells, Bobby            Wed, Dec 27, 2012       D31-27-03 
 JC132FU1A1456X417  CR-V        2009  21052  31995  Knight, Sean            Fri, Dec 29, 2012       D31-27-04 
 JB125G166XX23A1B9  Civic       2007  14728  28505  Wells, Bobby            Sun, Dec 24, 2012       D31-27-03 
 JD136F1101X218CA1  CR-Z        2009  22234  24705  Harvey, Joseph          Fri, Dec 29, 2012       D31-27-01 
 JH152SU16Y1118CA3  Odyssey     2008  18693  30375  Burns, Laura            Mon, Dec 25, 2012       D31-27-05 
 JC132FU18Y3229XB5  CR-V        2008  19062  31995  Berry, Gerald           Wed, Dec 27, 2012       D31-27-02 
 JH15AS11AYX36X427  Odyssey     2008  17490  29375  Knight, Sean            Fri, Dec 29, 2012       D31-27-04 
 JH152SU1523529XB9  Odyssey     2010  22032  30375  Berry, Gerald           Sat, Dec 23, 2012       D31-27-02 
 JC135F4151X318CB1  CR-V        2009  26316  39995  Berry, Gerald           Tue, Dec 26, 2012       D31-27-02 
 JA1X3SU271394B213  Accord      2009  16508  25089  Wells, Bobby            Mon, Dec 25, 2012       D31-27-03 
 JG148F11513629XC5  Insight     2009  16048  24390  Burns, Laura            Wed, Dec 27, 2012       D31-27-05 
