Dealer Name: Glenn Honda
Address:     2717 US Route 31
             West Junction, AL
Dealer ID:   9
Owner:       Glenn, Adam
Date:        Mon, Jan 15, 2013 thru Sun, Jan 21, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S1205X38221X  Civic        2013  16187  16455  Hernandez, Randy        Tue, Jan 16, 2013       D09-09-01 
 JB129S1425X329982  Civic        2013  22543  23055  Spencer, Javier         Sat, Jan 20, 2013       D09-09-05 
 JH152SU135X33AA94  Odyssey      2013  29808  30375  Hart, Kim               Sun, Jan 21, 2013       D09-09-02 
 JD138FU145X36XXC6  CR-Z         2013  25542  27705  Hernandez, Randy        Mon, Jan 15, 2013       D09-09-01 
 JH153FU175X34BBA8  Odyssey      2013  42780  45825  Hicks, Yvonne           Sun, Jan 21, 2013       D09-09-04 
 JC131F1145X34BBBX  CR-V         2013  28661  30995  Hart, Kim               Thu, Jan 18, 2013       D09-09-02 
 JB125G1665X318882  Civic        2013  26262  28505  Hernandez, Randy        Thu, Jan 18, 2013       D09-09-01 
 JD137FU165X33AAA4  CR-Z         2013  24401  25705  Harris, Dwight          Fri, Jan 19, 2013       D09-09-06 
 JB124HU505X3X7776  Civic        2013  27766  28400  Hernandez, Randy        Sat, Jan 20, 2013       D09-09-01 
 JA1X1S1205X3X7778  Accord       2013  22411  24089  Spencer, Javier         Sat, Jan 20, 2013       D09-09-05 
 JA1X1S1215X3299AX  Accord       2013  23897  24089  Hicks, Yvonne           Tue, Jan 16, 2013       D09-09-04 
 JA116FU345X36XX12  Accord       2013  34225  35930  Hicks, Yvonne           Sun, Jan 21, 2013       D09-09-04 
 JG149FU125X36XX14  Insight      2013  25089  25190  Armstrong, Daryl        Sun, Jan 21, 2013       D09-09-03 
 JC132FU155X3X7786  CR-V         2013  30219  31995  Hernandez, Randy        Fri, Jan 19, 2013       D09-09-01 
 JB123H1505X33AAB8  Civic        2013  25588  27600  Spencer, Javier         Sat, Jan 20, 2013       D09-09-05 
 JA119S4305X3299BX  Accord       2013  29100  31480  Hernandez, Randy        Wed, Jan 17, 2013       D09-09-01 
 JG148F1105X3188A2  Insight      2013  24062  24390  Spencer, Javier         Sat, Jan 20, 2013       D09-09-05 
 JC131F1185X33AAC4  CR-V         2013  30403  30995  Spencer, Javier         Mon, Jan 15, 2013       D09-09-05 
 JH158S4155X36XX26  Odyssey      2013  40368  41375  Hart, Kim               Sun, Jan 21, 2013       D09-09-02 
 JC131F1175X371138  CR-V         2013  30244  30995  Armstrong, Daryl        Sun, Jan 21, 2013       D09-09-03 
 JE142FU135X3188BX  Crosstour    2013  34990  38640  Spencer, Javier         Mon, Jan 15, 2013       D09-09-05 
 JB122SU295X34BB12  Civic        2013  17033  17255  Hart, Kim               Fri, Jan 19, 2013       D09-09-02 
 JA1X3SU2A5X3X77A4  Accord       2013  23316  25089  Hicks, Yvonne           Mon, Jan 15, 2013       D09-09-04 
 JB125G1695X3X77A6  Civic        2013  28304  28505  Armstrong, Daryl        Sun, Jan 21, 2013       D09-09-03 
 JA113SU345X33AAX8  Accord       2013  22464  23480  Harris, Dwight          Wed, Jan 17, 2013       D09-09-06 
 JB128SU355X36X17X  Civic        2013  16407  17455  Hernandez, Randy        Sat, Jan 20, 2013       D09-09-01 
 JC131F11A5X382392  CR-V         2013  28503  30995  Harris, Dwight          Thu, Jan 18, 2013       D09-09-06 
 JH155FU115X34BC54  Odyssey      2013  43407  47825  Hicks, Yvonne           Tue, Jan 16, 2013       D09-09-04 
 JA113SU3A5X35CX66  Accord       2013  23068  23480  Hernandez, Randy        Tue, Jan 16, 2013       D09-09-01 
 JA1X2F1245X329A38  Accord       2013  30840  33030  Spencer, Javier         Thu, Jan 18, 2013       D09-09-05 
 JB121S1225X37129X  Civic        2013  16102  16455  Harris, Dwight          Tue, Jan 16, 2013       D09-09-06 
 JB127S1365X3823A2  Civic        2013  16550  16655  Spencer, Javier         Sun, Jan 21, 2013       D09-09-05 
 JH153FU135X3X7824  Odyssey      2013  42780  45825  Armstrong, Daryl        Sun, Jan 21, 2013       D09-09-03 
 JB123H1535X329A46  Civic        2013  25871  27600  Harris, Dwight          Wed, Jan 17, 2013       D09-09-06 
 JE144F3175X318938  Crosstour    2013  37152  38640  Harris, Dwight          Thu, Jan 18, 2013       D09-09-06 
 JA1X3SU225X31894X  Accord       2013  23316  25089  Hart, Kim               Mon, Jan 15, 2013       D09-09-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
