Dealer Name: Lakeside Honda
Address:     6205 Meridian Road
             East Valley, FL
Dealer ID:   39
Owner:       Isern, Mareen
Date:        Mon, Jan 15, 2013 thru Sun, Jan 21, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB123H1555X35X272  Civic        2013  27285  27600  Edwards, Julio          Tue, Jan 16, 2013       D39-20-01 
 JG148F1155X33BX54  Insight      2013  24313  24390  Rivera, Jesus           Sun, Jan 21, 2013       D39-20-03 
 JE145F4115X35X276  Crosstour    2013  43529  46640  Rivera, Jesus           Thu, Jan 18, 2013       D39-20-03 
 JH154SU175X3835A8  Odyssey      2013  30571  32375  Lynch, Stacey           Sun, Jan 21, 2013       D39-20-04 
 JD138FU125X3724AX  CR-Z         2013  25683  27705  Evans, Violet           Sun, Jan 21, 2013       D39-20-06 
 JB127S1365X3X8A32  Civic        2013  16550  16655  Adams, Danny            Thu, Jan 18, 2013       D39-20-05 
 JB121S1205X35X284  Civic        2013  15074  16455  Adams, Danny            Wed, Jan 17, 2013       D39-20-05 
 JA115SU325X34C176  Accord       2013  24454  25480  Medina, Jamie           Fri, Jan 19, 2013       D39-20-02 
 JH152SU1A5X34C178  Odyssey      2013  29963  30375  Lynch, Stacey           Tue, Jan 16, 2013       D39-20-04 
 JA1X1S1255X35X29X  Accord       2013  23649  24089  Edwards, Julio          Thu, Jan 18, 2013       D39-20-01 
 JA1X1S1265X3613A2  Accord       2013  23525  24089  Edwards, Julio          Thu, Jan 18, 2013       D39-20-01 
 JB127S1335X33BX74  Civic        2013  15856  16655  Adams, Danny            Tue, Jan 16, 2013       D39-20-05 
 JC131F1115X32AC66  CR-V         2013  29928  30995  Evans, Violet           Sat, Jan 20, 2013       D39-20-06 
 JB121S1205X3613A8  Civic        2013  15673  16455  Lynch, Stacey           Sun, Jan 21, 2013       D39-20-04 
 JG148F11A5X3613BX  Insight      2013  22433  24390  Lynch, Stacey           Wed, Jan 17, 2013       D39-20-04 
 JC134F3115X32AC72  CR-V         2013  29893  31995  Rivera, Jesus           Sun, Jan 21, 2013       D39-20-03 
 JC131F1155X3724C4  CR-V         2013  29928  30995  Evans, Violet           Wed, Jan 17, 2013       D39-20-06 
 JC134F3175X3613B6  CR-V         2013  29403  31995  Medina, Jamie           Wed, Jan 17, 2013       D39-20-02 
 JG148F1135X32AC78  Insight      2013  23937  24390  Lynch, Stacey           Tue, Jan 16, 2013       D39-20-04 
 JB122SU2A5X319B7X  Civic        2013  17212  17255  Edwards, Julio          Wed, Jan 17, 2013       D39-20-01 
 JJ162FU185X3613C2  Pilot        2013  44047  44970  Medina, Jamie           Tue, Jan 16, 2013       D39-20-02 
 JA1X1S1235X3X8A64  Accord       2013  21916  24089  Rivera, Jesus           Wed, Jan 17, 2013       D39-20-03 
 JA117S3345X3X8A66  Accord       2013  21377  23480  Evans, Violet           Thu, Jan 18, 2013       D39-20-06 
 JA113SU325X35X2B8  Accord       2013  21618  23480  Adams, Danny            Fri, Jan 19, 2013       D39-20-05 
 JB129S14A5X34C1BX  Civic        2013  22662  23055  Lynch, Stacey           Fri, Jan 19, 2013       D39-20-04 
 JA117S3335X383522  Accord       2013  21860  23480  Lynch, Stacey           Thu, Jan 18, 2013       D39-20-04 
 JE141F11A5X3613X4  Crosstour    2013  36016  37640  Lynch, Stacey           Sun, Jan 21, 2013       D39-20-04 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JK166FU133X73B7A1  Ridgeline   2011  35378  47750  Medina, Jamie           Thu, Jan 18, 2013       D39-20-02 
 JB129S143323X8473  Civic       2011  17252  23055  Adams, Danny            Fri, Jan 19, 2013       D39-20-05 
 JG148F11A1373B7A5  Insight     2009  14634  24390  Edwards, Julio          Tue, Jan 16, 2013       D39-20-01 
 JH155FU17YX183C27  Odyssey     2008  22610  47825  Rivera, Jesus           Thu, Jan 18, 2013       D39-20-03 
 JE141F1195X283C29  Crosstour    2013  34878  37640  Adams, Danny            Tue, Jan 16, 2013       D39-20-05 
 JB121S12514572B21  Civic       2009  10202  16455  Lynch, Stacey           Mon, Jan 15, 2013       D39-20-04 
 JH152SU13244X8483  Odyssey     2010  20134  30375  Lynch, Stacey           Tue, Jan 16, 2013       D39-20-04 
 JH152SU1223283C35  Odyssey     2010  19584  30375  Adams, Danny            Fri, Jan 19, 2013       D39-20-05 
 JB127S1395X23B7B7  Civic        2013  15887  16655  Lynch, Stacey           Thu, Jan 18, 2013       D39-20-04 
