Dealer Name: Riverside Honda
Address:     9663 Mason Road
             Granger, AL
Dealer ID:   35
Owner:       Riverside, Francis
Date:        Mon, Jan 22, 2013 thru Sun, Jan 28, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH153FU115X45XX98  Odyssey      2013  44407  45825  Anderson, Sean          Thu, Jan 25, 2013       D35-31-04 
 JD136F1185X4611BX  CR-Z         2013  22715  24705  Fox, Alvin              Sat, Jan 27, 2013       D35-31-06 
 JG148F1145X44CC92  Insight      2013  22934  24390  Fox, Alvin              Thu, Jan 25, 2013       D35-31-06 
 JA113SU365X4611B4  Accord       2013  21618  23480  Jones, Kyle             Sat, Jan 27, 2013       D35-31-01 
 JB126GU635X4X8856  Civic        2013  28930  29305  Jones, Kyle             Sat, Jan 27, 2013       D35-31-01 
 JA115SU315X4833X8  Accord       2013  25239  25480  Jones, Kyle             Sat, Jan 27, 2013       D35-31-01 
 JB121S1235X4611CX  Civic        2013  15588  16455  Anderson, Sean          Mon, Jan 22, 2013       D35-31-04 
 JA117S33A5X42AA82  Accord       2013  21377  23480  Fox, Alvin              Tue, Jan 23, 2013       D35-31-06 
 JH15AS1105X4611C4  Odyssey      2013  28998  29375  Lambert, Patsy          Fri, Jan 26, 2013       D35-31-03 
 JA1X1S12A5X483316  Accord       2013  22163  24089  Lambert, Patsy          Tue, Jan 23, 2013       D35-31-03 
 JA117S3385X419978  Accord       2013  22464  23480  Jimenez, Alfred         Fri, Jan 26, 2013       D35-31-02 
 JH152SU1A5X42AA9X  Odyssey      2013  29031  30375  Fox, Alvin              Mon, Jan 22, 2013       D35-31-06 
 JH152SU185X419982  Odyssey      2013  29963  30375  Lambert, Patsy          Fri, Jan 26, 2013       D35-31-03 
 JB121S1265X472214  Civic        2013  15673  16455  Anderson, Sean          Mon, Jan 22, 2013       D35-31-04 
 JB121S1285X43BBA6  Civic        2013  15845  16455  Jimenez, Alfred         Thu, Jan 25, 2013       D35-31-02 
 JB121S1215X43BBA8  Civic        2013  15074  16455  Jones, Kyle             Wed, Jan 24, 2013       D35-31-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH155FU152X32A583  Odyssey     2010  31616  47825  Jones, Kyle             Wed, Jan 24, 2013       D35-31-01 
 JC133FU12215619C5  CR-V        2010  22516  33995  Fox, Alvin              Thu, Jan 25, 2013       D35-31-06 
 JC135F41812472AX7  CR-V        2009  23997  39995  Jimenez, Alfred         Wed, Jan 24, 2013       D35-31-02 
 JH153FU13229619C9  Odyssey     2010  29472  45825  Jones, Kyle             Thu, Jan 25, 2013       D35-31-01 
 JB127S135X25X8371  Civic       2007  6968   16655  Lambert, Patsy          Thu, Jan 25, 2013       D35-31-03 
 JG148F11231372A13  Insight     2011  18232  24390  Morris, Tracey          Sat, Jan 27, 2013       D35-31-05 
 JE142FU19419619X5  Crosstour   2012  31845  38640  Lambert, Patsy          Tue, Jan 23, 2013       D35-31-03 
 JE141F111XX62A597  Crosstour   2007  15991  37640  Jimenez, Alfred         Tue, Jan 23, 2013       D35-31-02 
 JH158S41031783B29  Odyssey     2011  30699  41375  Lambert, Patsy          Wed, Jan 24, 2013       D35-31-03 
 JB129S14324672A21  Civic       2010  14899  23055  Morris, Tracey          Wed, Jan 24, 2013       D35-31-05 
 JG148F11921P61913  Insight     2010  16196  24390  Jimenez, Alfred         Sun, Jan 28, 2013       D35-31-02 
 JH153FU1033583B35  Odyssey     2011  33318  45825  Jimenez, Alfred         Thu, Jan 25, 2013       D35-31-02 
 JH152SU1A21P3B6B7  Odyssey     2010  19584  30375  Anderson, Sean          Sun, Jan 28, 2013       D35-31-04 
 JC134F31643619499  CR-V        2012  26462  31995  Jimenez, Alfred         Tue, Jan 23, 2013       D35-31-02 
 JE144F313X372A5B1  Crosstour   2007  16421  38640  Fox, Alvin              Tue, Jan 23, 2013       D35-31-06 
 JJ164F41212761923  Pilot       2009  32382  53970  Morris, Tracey          Sat, Jan 27, 2013       D35-31-05 
