Dealer Name: Superior Honda
Address:     8799 Dixie Highway
             Louderdale, FL
Dealer ID:   31
Owner:       Griner, Thomas
Date:        Mon, Feb 12, 2013 thru Sun, Feb 18, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC135F4175X72A898  CR-V         2013  36603  39995  Berry, Gerald           Wed, Feb 14, 2013       D31-27-02 
 JC131F1145X772X2X  CR-V         2013  30403  30995  Berry, Gerald           Thu, Feb 15, 2013       D31-27-02 
 JB127S1315X719792  Civic        2013  15943  16655  Harvey, Joseph          Thu, Feb 15, 2013       D31-27-01 
 JA112F1395X772X24  Accord       2013  32596  32930  Harvey, Joseph          Sat, Feb 17, 2013       D31-27-01 
 JK165F11A5X73B9B6  Ridgeline    2013  45290  46750  Harvey, Joseph          Sun, Feb 18, 2013       D31-27-01 
 JD137FU1A5X772X28  CR-Z         2013  25324  25705  Berry, Gerald           Tue, Feb 13, 2013       D31-27-02 
 JB121S1225X75XB1X  Civic        2013  15417  16455  Harvey, Joseph          Mon, Feb 12, 2013       D31-27-01 
 JB127S1365X772X32  Civic        2013  15770  16655  Berry, Gerald           Sun, Feb 18, 2013       D31-27-02 
 JB127S13A5X7X8694  Civic        2013  15770  16655  Wells, Bobby            Sun, Feb 18, 2013       D31-27-03 
 JA111S1335X761C26  Accord       2013  21071  22480  Wells, Bobby            Sat, Feb 17, 2013       D31-27-03 
 JB127S13A5X761C28  Civic        2013  16636  16655  Berry, Gerald           Wed, Feb 14, 2013       D31-27-02 
 JH157F3145X75XB2X  Odyssey      2013  41152  45825  Berry, Gerald           Tue, Feb 13, 2013       D31-27-02 
 JA113SU345X7X86A2  Accord       2013  22464  23480  Harvey, Joseph          Thu, Feb 15, 2013       D31-27-01 
 JG149FU185X72A8C4  Insight      2013  23795  25190  Burns, Laura            Thu, Feb 15, 2013       D31-27-05 
 JE141F1145X72A8C6  Crosstour    2013  36590  37640  Knight, Sean            Wed, Feb 14, 2013       D31-27-04 
 JH154SU165X75XB28  Odyssey      2013  29910  32375  Wells, Bobby            Fri, Feb 16, 2013       D31-27-03 
 JB121S1225X78329X  Civic        2013  15845  16455  Knight, Sean            Tue, Feb 13, 2013       D31-27-04 
 JA111S1315X783292  Accord       2013  21071  22480  Burns, Laura            Fri, Feb 16, 2013       D31-27-05 
 JB127S1315X7X8714  Civic        2013  16376  16655  Burns, Laura            Wed, Feb 14, 2013       D31-27-05 
 JG148F1125X7X8716  Insight      2013  22934  24390  Harvey, Joseph          Wed, Feb 14, 2013       D31-27-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
