Dealer Name: Duncan Honda
Address:     2069 California Blvd
             Granger, AL
Dealer ID:   33
Owner:       Duncan, Phil
Date:        Mon, Feb 12, 2013 thru Sun, Feb 18, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH152SU135X75XCCX  Odyssey      2013  29342  30375  Shelton, Adam           Thu, Feb 15, 2013       D33-29-05 
 JJ162FU155X75XCC2  Pilot        2013  41080  44970  Mitchell, John          Fri, Feb 16, 2013       D33-29-02 
 JG148F1145X74CBB4  Insight      2013  22182  24390  Martinez, Katherine     Sun, Feb 18, 2013       D33-29-04 
 JA111S1315X73BAA6  Accord       2013  22228  22480  Martinez, Katherine     Sat, Feb 17, 2013       D33-29-04 
 JB121S1295X772118  Civic        2013  16187  16455  Shelton, Adam           Sat, Feb 17, 2013       D33-29-05 
 JA112F1395X78323X  Accord       2013  31084  32930  Shelton, Adam           Tue, Feb 13, 2013       D33-29-05 
 JE142FU125X75XCX2  Crosstour    2013  34793  38640  Mitchell, John          Fri, Feb 16, 2013       D33-29-02 
 JA1X1S1245X719894  Accord       2013  22782  24089  Wells, Clayton          Sat, Feb 17, 2013       D33-29-01 
 JB121S1215X719896  Civic        2013  16102  16455  Martinez, Katherine     Sun, Feb 18, 2013       D33-29-04 
 JA1X3SU295X73BAB8  Accord       2013  23058  25089  Mitchell, John          Sat, Feb 17, 2013       D33-29-02 
 JB121S1205X73BACX  Civic        2013  15845  16455  Martinez, Katherine     Mon, Feb 12, 2013       D33-29-04 
 JH152SU185X74CBX2  Odyssey      2013  28566  30375  Wells, Clayton          Sun, Feb 18, 2013       D33-29-01 
 JB121S1235X783244  Civic        2013  16102  16455  Shelton, Adam           Sun, Feb 18, 2013       D33-29-05 
 JH153FU105X75XC16  Odyssey      2013  41152  45825  Wells, Clayton          Thu, Feb 15, 2013       D33-29-01 
 JB121S1225X73BAC8  Civic        2013  15930  16455  Shelton, Adam           Mon, Feb 12, 2013       D33-29-05 
 JH159F41A5X78325X  Odyssey      2013  55487  56825  Mitchell, John          Sun, Feb 18, 2013       D33-29-02 
 JH157F31A5X72A9C2  Odyssey      2013  44640  45825  Wells, Clayton          Tue, Feb 13, 2013       D33-29-01 
 JH157F3125X74CB14  Odyssey      2013  44175  45825  Shelton, Adam           Fri, Feb 16, 2013       D33-29-05 
 JA1X1S1295X761X36  Accord       2013  23278  24089  Martinez, Katherine     Tue, Feb 13, 2013       D33-29-04 
 JB129S1435X761X38  Civic        2013  21712  23055  Martinez, Katherine     Sat, Feb 17, 2013       D33-29-04 
 JA1X1S1265X77228X  Accord       2013  23030  24089  Martinez, Katherine     Wed, Feb 14, 2013       D33-29-04 
 JB127S1395X73BB42  Civic        2013  16636  16655  Mitchell, John          Thu, Feb 15, 2013       D33-29-02 
 JB121S1295X75XX64  Civic        2013  15845  16455  Mitchell, John          Sun, Feb 18, 2013       D33-29-02 
 JB121S1245X783396  Civic        2013  16102  16455  Mitchell, John          Thu, Feb 15, 2013       D33-29-02 
 JB122SU295X719928  Civic        2013  16137  17255  Mitchell, John          Thu, Feb 15, 2013       D33-29-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JG148F11A5X65C429  Insight      2013  22761  24390  Mitchell, John          Tue, Feb 13, 2013       D33-29-02 
 JC134F31323261971  CR-V        2010  21200  31995  Shelton, Adam           Sun, Feb 18, 2013       D33-29-05 
 JG149FU1424283B93  Insight     2010  16265  25190  Martinez, Katherine     Thu, Feb 15, 2013       D33-29-04 
 JJ161FU1A21P61975  Pilot       2010  27644  42970  Morgan, Milton          Thu, Feb 15, 2013       D33-29-03 
 JH153FU112345X867  Odyssey     2010  30300  45825  Shelton, Adam           Thu, Feb 15, 2013       D33-29-05 
 JB128SU3A42372A89  Civic       2012  14504  17455  Shelton, Adam           Sun, Feb 18, 2013       D33-29-05 
 JB127S133YX25X871  Civic       2008  8215   16655  Shelton, Adam           Thu, Feb 15, 2013       D33-29-05 
 JD137FU1AY2561983  CR-Z        2008  13377  25705  Shelton, Adam           Sat, Feb 17, 2013       D33-29-05 
 JD136F110Y2772A95  CR-Z        2008  12852  24705  Shelton, Adam           Fri, Feb 16, 2013       D33-29-05 
 JB127S137Y383B657  Civic       2008  8625   16655  Shelton, Adam           Sun, Feb 18, 2013       D33-29-05 
 JC131F11221PX8329  CR-V        2010  19980  30995  Martinez, Katherine     Fri, Feb 16, 2013       D33-29-04 
 JD137FU142182A551  CR-Z        2010  17061  25705  Shelton, Adam           Mon, Feb 12, 2013       D33-29-05 
 JC133FU1A24919443  CR-V        2010  22516  33995  Wells, Clayton          Mon, Feb 12, 2013       D33-29-01 
 JC133FU1425283BB5  CR-V        2010  21900  33995  Mitchell, John          Wed, Feb 14, 2013       D33-29-02 
 JD136F11A14P72AA7  CR-Z        2009  15317  24705  Shelton, Adam           Sat, Feb 17, 2013       D33-29-05 
