Dealer Name: Honda Importers
Address:     8826 Escanaba Drive
             Grand Traverse, AL
Dealer ID:   22
Owner:       Isern, Mareen
Date:        Mon, Feb 19, 2013 thru Sun, Feb 25, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JF146S1145X85X882  Fit          2013  16115  16025  Tucker, Ann             Mon, Feb 19, 2013       D22-20-02 
 JC131F1175X883BB4  CR-V         2013  29769  30995  Morrison, Irene         Wed, Feb 21, 2013       D22-20-07 
 JB127S1395X85X886  Civic        2013  15856  16655  Morrison, Irene         Thu, Feb 22, 2013       D22-20-07 
 JB127S1365X83B668  Civic        2013  16550  16655  Tucker, Ann             Thu, Feb 22, 2013       D22-20-02 
 JC134F3135X83B67X  CR-V         2013  29893  31995  Nichols, Colleen        Wed, Feb 21, 2013       D22-20-04 
 JA111S1355X8X8342  Accord       2013  20723  22480  Nichols, Colleen        Tue, Feb 20, 2013       D22-20-04 
 JB127S1385X85X894  Civic        2013  16550  16655  Romero, Gladys          Tue, Feb 20, 2013       D22-20-08 
 JE141F1185X82A566  Crosstour    2013  36973  37640  Morrison, Irene         Mon, Feb 19, 2013       D22-20-07 
 JB128SU385X8X8348  Civic        2013  17495  17455  Tucker, Ann             Fri, Feb 23, 2013       D22-20-02 
 JB127S1315X85X8AX  Civic        2013  15510  16655  Morrison, Irene         Wed, Feb 21, 2013       D22-20-07 
 JK165F1195X883BX2  Ridgeline    2013  46002  46750  Thompson, Gail          Thu, Feb 22, 2013       D22-20-03 
 JG148F1115X83B684  Insight      2013  22182  24390  Thompson, Gail          Wed, Feb 21, 2013       D22-20-03 
 JB128SU395X85X8A6  Civic        2013  17314  17455  Tucker, Ann             Mon, Feb 19, 2013       D22-20-02 
 JA111S1325X82A578  Accord       2013  21186  22480  Nichols, Colleen        Tue, Feb 20, 2013       D22-20-04 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH155FU144444BCC5  Odyssey     2012  38315  47825  Morrison, Irene         Wed, Feb 21, 2013       D22-20-07 
 JC133FU1715P71227  CR-V        2009  21076  33995  Nichols, Colleen        Tue, Feb 20, 2013       D22-20-04 
 JJ161FU1834P4BCC9  Pilot       2011  31870  42970  Nichols, Colleen        Fri, Feb 23, 2013       D22-20-04 
 JE145F4142436X121  Crosstour   2010  30837  46640  Morrison, Irene         Tue, Feb 20, 2013       D22-20-07 
 JH151F113Y4P29AB3  Odyssey     2008  22300  44825  Watson, Lori            Sun, Feb 25, 2013       D22-20-01 
 JB127S136137189A5  Civic       2009  10326  16655  Young, Carlos           Mon, Feb 19, 2013       D22-20-05 
 JG148F1152325CX17  Insight     2010  15753  24390  Young, Carlos           Fri, Feb 23, 2013       D22-20-05 
 JB121S121246189A9  Civic       2010  10975  16455  Morrison, Irene         Wed, Feb 21, 2013       D22-20-07 
 JD14AF414Y1P5CX21  CR-Z        2008  17577  33705  Tucker, Ann             Thu, Feb 22, 2013       D22-20-02 
 JH154SU131X36X133  Odyssey     2009  20072  32375  Tucker, Ann             Mon, Feb 19, 2013       D22-20-02 
 JB127S1383293ABX5  Civic       2011  12555  16655  Morrison, Irene         Sun, Feb 25, 2013       D22-20-07 
 JD136F118334X78A7  CR-Z        2011  18111  24705  Young, Carlos           Tue, Feb 20, 2013       D22-20-05 
 JC134F31A2313ABX9  CR-V        2010  21200  31995  Romero, Gladys          Sat, Feb 24, 2013       D22-20-08 
 JC131F116147X7911  CR-V        2009  18597  30995  Young, Carlos           Sat, Feb 24, 2013       D22-20-05 
 JC134F3183416X273  CR-V        2011  23814  31995  Thompson, Gail          Tue, Feb 20, 2013       D22-20-03 
 JK165F11121318A25  Ridgeline   2010  30064  46750  Romero, Gladys          Sat, Feb 24, 2013       D22-20-08 
 JH151F11821129B37  Odyssey     2010  29642  44825  Nichols, Colleen        Tue, Feb 20, 2013       D22-20-04 
