Dealer Name: Duncan Honda
Address:     2069 California Blvd
             Granger, AL
Dealer ID:   33
Owner:       Duncan, Phil
Date:        Mon, Mar 12, 2013 thru Sun, Mar 18, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH159F4145112A984  Odyssey      2013  54912  56825  Martinez, Katherine     Tue, Mar 13, 2013       D33-29-04 
 JG149FU125114CBA6  Insight      2013  24571  25190  Wells, Clayton          Sun, Mar 18, 2013       D33-29-01 
 JH154SU12511721X8  Odyssey      2013  29084  32375  Shelton, Adam           Sat, Mar 17, 2013       D33-29-05 
 JB121S1215118322X  Civic        2013  16273  16455  Shelton, Adam           Tue, Mar 13, 2013       D33-29-05 
 JB128SU345113BAA2  Civic        2013  16951  17455  Mitchell, John          Fri, Mar 16, 2013       D33-29-02 
 JG148F1165113BAA4  Insight      2013  22057  24390  Shelton, Adam           Mon, Mar 12, 2013       D33-29-05 
 JC131F1145113BAA6  CR-V         2013  30086  30995  Martinez, Katherine     Sun, Mar 18, 2013       D33-29-04 
 JH159F41951119888  Odyssey      2013  50887  56825  Shelton, Adam           Sun, Mar 18, 2013       D33-29-05 
 JB121S1225114CBCX  Civic        2013  15930  16455  Martinez, Katherine     Sat, Mar 17, 2013       D33-29-04 
 JG149FU1551161X12  Insight      2013  23925  25190  Wells, Clayton          Thu, Mar 15, 2013       D33-29-01 
 JG148F1155114CBC4  Insight      2013  22683  24390  Shelton, Adam           Thu, Mar 15, 2013       D33-29-05 
 JH153FU105113BAB6  Odyssey      2013  42547  45825  Martinez, Katherine     Thu, Mar 15, 2013       D33-29-04 
 JD137FU1A51119898  CR-Z         2013  24797  25705  Shelton, Adam           Thu, Mar 15, 2013       D33-29-05 
 JG148F114511X879X  Insight      2013  23561  24390  Mitchell, John          Sat, Mar 17, 2013       D33-29-02 
 JG148F1125114CBX2  Insight      2013  23059  24390  Martinez, Katherine     Sat, Mar 17, 2013       D33-29-04 
 JC132FU12511X8794  CR-V         2013  29239  31995  Mitchell, John          Sat, Mar 17, 2013       D33-29-02 
 JH153FU195115XC16  Odyssey      2013  41617  45825  Mitchell, John          Tue, Mar 13, 2013       D33-29-02 
 JG148F1145115XC18  Insight      2013  23811  24390  Mitchell, John          Sat, Mar 17, 2013       D33-29-02 
 JB127S13351161X3X  Civic        2013  16290  16655  Wells, Clayton          Thu, Mar 15, 2013       D33-29-01 
 JB121S1295112A9C2  Civic        2013  15588  16455  Shelton, Adam           Tue, Mar 13, 2013       D33-29-05 
 JB121S12751161X34  Civic        2013  15845  16455  Shelton, Adam           Thu, Mar 15, 2013       D33-29-05 
 JB125G165511198B6  Civic        2013  26991  28505  Shelton, Adam           Mon, Mar 12, 2013       D33-29-05 
 JG148F11351172148  Insight      2013  22558  24390  Morgan, Milton          Sun, Mar 18, 2013       D33-29-03 
 JB121S1255113BB4X  Civic        2013  16273  16455  Mitchell, John          Tue, Mar 13, 2013       D33-29-02 
 JB127S1335114CC52  Civic        2013  16376  16655  Martinez, Katherine     Sun, Mar 18, 2013       D33-29-04 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB129S143X2371643  Civic       2007  9720   23055  Wells, Clayton          Sun, Mar 18, 2013       D33-29-01 
 JB128SU3524P82755  Civic       2010  11633  17455  Wells, Clayton          Thu, Mar 15, 2013       D33-29-01 
 JB129S1482X46X537  Civic       2010  15318  23055  Morgan, Milton          Sun, Mar 18, 2013       D33-29-03 
 JG148F11A2236X539  Insight     2010  15310  24390  Martinez, Katherine     Wed, Mar 14, 2013       D33-29-04 
 JG148F1112272A531  Insight     2010  15753  24390  Mitchell, John          Wed, Mar 14, 2013       D33-29-02 
 JH15AS11822483B93  Odyssey     2010  19476  29375  Mitchell, John          Sun, Mar 18, 2013       D33-29-02 
 JH15AS1144335X865  Odyssey     2012  24040  29375  Mitchell, John          Thu, Mar 15, 2013       D33-29-02 
 JH154SU173X84C757  Odyssey     2011  23634  32375  Wells, Clayton          Fri, Mar 16, 2013       D33-29-01 
 JC131F112244X8319  CR-V        2010  20542  30995  Morgan, Milton          Sun, Mar 18, 2013       D33-29-03 
 JH159F41614419431  Odyssey     2009  34095  56825  Morgan, Milton          Wed, Mar 14, 2013       D33-29-03 
 JB127S13531861983  Civic       2011  12555  16655  Morgan, Milton          Wed, Mar 14, 2013       D33-29-03 
 JH152SU192244C765  Odyssey     2010  20134  30375  Wells, Clayton          Fri, Mar 16, 2013       D33-29-01 
 JB129S144X2272A97  Civic       2007  9042   23055  Martinez, Katherine     Tue, Mar 13, 2013       D33-29-04 
 JB129S14A2332A549  Civic       2010  15318  23055  Mitchell, John          Tue, Mar 13, 2013       D33-29-02 
 JB123H15714819441  Civic       2009  17112  27600  Mitchell, John          Sat, Mar 17, 2013       D33-29-02 
