Dealer Name: Isern Honda
Address:     9833 Florida Highway
             Brookland, GA
Dealer ID:   28
Owner:       Isern, Mareen
Date:        Mon, Mar 19, 2013 thru Sun, Mar 25, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH157F31851261BB2  Odyssey      2013  41617  45825  Simpson, Charlene       Sat, Mar 24, 2013       D28-20-01 
 JB128SU355124C994  Civic        2013  16770  17455  Simpson, Charlene       Sat, Mar 24, 2013       D28-20-01 
 JB127S1325125XAA6  Civic        2013  16203  16655  Gregory, Brad           Mon, Mar 19, 2013       D28-20-05 
 JC132FU1651219668  CR-V         2013  28912  31995  Young, Bryan            Wed, Mar 21, 2013       D28-20-04 
 JE141F1155121967X  Crosstour    2013  34866  37640  Sullivan, Jorge         Sat, Mar 24, 2013       D28-20-02 
 JJ16AF1155122A782  Pilot        2013  39873  41970  Simpson, Charlene       Thu, Mar 22, 2013       D28-20-01 
 JB125G1655125XAB4  Civic        2013  25678  28505  White, Ana              Wed, Mar 21, 2013       D28-20-03 
 JC133FU1751283X16  CR-V         2013  31376  33995  White, Ana              Fri, Mar 23, 2013       D28-20-03 
 JB121S12751272CX8  Civic        2013  15331  16455  Gregory, Brad           Sat, Mar 24, 2013       D28-20-05 
 JB123H15A5125XACX  Civic        2013  26437  27600  Stephens, Christy       Thu, Mar 22, 2013       D28-20-06 
 JA1X3SU2951272C12  Accord       2013  24089  25089  Sullivan, Jorge         Sat, Mar 24, 2013       D28-20-02 
 JD139F3185124C9B4  CR-Z         2013  24137  25705  White, Ana              Thu, Mar 22, 2013       D28-20-03 
 JC131F1125124C9B6  CR-V         2013  28819  30995  Sullivan, Jorge         Tue, Mar 20, 2013       D28-20-02 
 JC135F4165124C9B8  CR-V         2013  38839  39995  White, Ana              Thu, Mar 22, 2013       D28-20-03 
 JC131F11851261B1X  CR-V         2013  29453  30995  Young, Bryan            Wed, Mar 21, 2013       D28-20-04 
 JA1X1S1275125XAX2  Accord       2013  22411  24089  Stephens, Christy       Thu, Mar 22, 2013       D28-20-06 
 JB127S1375122A7A4  Civic        2013  16116  16655  Simpson, Charlene       Sat, Mar 24, 2013       D28-20-01 
 JB128SU385125XAX6  Civic        2013  16226  17455  Gregory, Brad           Tue, Mar 20, 2013       D28-20-05 
 JG148F11551261B18  Insight      2013  24062  24390  Simpson, Charlene       Thu, Mar 22, 2013       D28-20-01 
 JB129S14151272C3X  Civic        2013  21119  23055  Young, Bryan            Thu, Mar 22, 2013       D28-20-04 
 JB127S1355125XA12  Civic        2013  16376  16655  Simpson, Charlene       Wed, Mar 21, 2013       D28-20-01 
 JB122SU275125XA14  Civic        2013  16674  17255  White, Ana              Wed, Mar 21, 2013       D28-20-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JG148F114249X7A65  Insight     2010  15753  24390  White, Ana              Sun, Mar 25, 2013       D28-20-03 
 JH154SU1921P29C87  Odyssey     2010  20277  32375  Simpson, Charlene       Fri, Mar 23, 2013       D28-20-01 
 JE141F1171223AX99  Crosstour   2009  22584  37640  White, Ana              Sun, Mar 25, 2013       D28-20-03 
 JD137FU1942282521  CR-Z        2012  21104  25705  Young, Bryan            Mon, Mar 19, 2013       D28-20-04 
 JH153FU1533182523  Odyssey     2011  33965  45825  Young, Bryan            Fri, Mar 23, 2013       D28-20-04 
 JJ162FU122X1X7A75  Pilot       2010  29738  44970  Young, Bryan            Thu, Mar 22, 2013       D28-20-04 
 JG148F11A216X7A77  Insight     2010  16196  24390  Gregory, Brad           Mon, Mar 19, 2013       D28-20-05 
 JG148F117X1P3AXA9  Insight     2007  8857   24390  Sullivan, Jorge         Thu, Mar 22, 2013       D28-20-02 
 JB121S1211X218B91  Civic       2009  10202  16455  White, Ana              Sat, Mar 24, 2013       D28-20-03 
 JH153FU122X171423  Odyssey     2010  30300  45825  Gregory, Brad           Mon, Mar 19, 2013       D28-20-05 
 JB121S1242X629CA5  Civic       2010  10975  16455  Sullivan, Jorge         Sat, Mar 24, 2013       D28-20-02 
 JH151F11514771427  Odyssey     2009  26895  44825  Sullivan, Jorge         Sun, Mar 25, 2013       D28-20-02 
 JD138FU1722182539  CR-Z        2010  18377  27705  White, Ana              Sat, Mar 24, 2013       D28-20-03 
 JC133FU11X433AXC1  CR-V        2007  14424  33995  Sullivan, Jorge         Thu, Mar 22, 2013       D28-20-02 
 JH152SU192X43AXC3  Odyssey     2010  19584  30375  Gregory, Brad           Mon, Mar 19, 2013       D28-20-05 
 JH159F4122235C215  Odyssey     2010  37538  56825  Stephens, Christy       Fri, Mar 23, 2013       D28-20-06 
 JK166FU1322171437  Ridgeline   2010  31567  47750  White, Ana              Thu, Mar 22, 2013       D28-20-03 
 JJ161FU1024P6X329  Pilot       2010  28422  42970  Young, Bryan            Mon, Mar 19, 2013       D28-20-04 
 JH155FU164X36X331  Odyssey     2012  38800  47825  Gregory, Brad           Mon, Mar 19, 2013       D28-20-05 
 JH151F11222P5C223  Odyssey     2010  29642  44825  Young, Bryan            Sun, Mar 25, 2013       D28-20-04 
 JH15AS1162X682555  Odyssey     2010  18944  29375  Young, Bryan            Tue, Mar 20, 2013       D28-20-04 
 JD138FU1444818BB7  CR-Z        2012  22987  27705  Young, Bryan            Sun, Mar 25, 2013       D28-20-04 
 JJ16AF1193X2X7AA9  Pilot       2011  30542  41970  Sullivan, Jorge         Thu, Mar 22, 2013       D28-20-02 
 JK168F31422471581  Ridgeline   2010  30704  47750  Young, Bryan            Fri, Mar 23, 2013       D28-20-04 
 JH156S3145113A143  Odyssey      2013  28147  30375  White, Ana              Fri, Mar 23, 2013       D28-20-03 
 JG148F1171156X475  Insight     2009  15121  24390  Young, Bryan            Mon, Mar 19, 2013       D28-20-04 
 JG148F11642418C27  Insight     2012  20052  24390  Stephens, Christy       Mon, Mar 19, 2013       D28-20-06 
 JB127S13023429X39  Civic       2010  11107  16655  Gregory, Brad           Mon, Mar 19, 2013       D28-20-05 
