Dealer Name: Adams Honda
Address:     4008 Lee Road
             Louderdale, FL
Dealer ID:   32
Owner:       Adams, Jon
Date:        Mon, Mar 19, 2013 thru Sun, Mar 25, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S1335124CB56  Civic        2013  15337  16655  Freeman, Arthur         Sun, Mar 25, 2013       D32-28-05 
 JH153FU125124CB58  Odyssey      2013  41617  45825  Anderson, Brad          Tue, Mar 20, 2013       D32-28-03 
 JA1X2F1285125XC7X  Accord       2013  30671  33030  Bryant, Raul            Fri, Mar 23, 2013       D32-28-04 
 JE143FU17512X8722  Crosstour    2013  39868  40640  Hicks, Andre            Sun, Mar 25, 2013       D32-28-01 
 JB127S13751219834  Civic        2013  15510  16655  Anderson, Brad          Thu, Mar 22, 2013       D32-28-03 
 JB121S123512832A6  Civic        2013  16530  16455  Hicks, Andre            Mon, Mar 19, 2013       D32-28-01 
 JA112F1315125XC78  Accord       2013  31084  32930  Anderson, Brad          Mon, Mar 19, 2013       D32-28-03 
 JD136F1115121984X  CR-Z         2013  22334  24705  Bryant, Raul            Sat, Mar 24, 2013       D32-28-04 
 JB127S1315124CB72  Civic        2013  16290  16655  Spencer, Sean           Tue, Mar 20, 2013       D32-28-02 
 JB125G160512721A4  Civic        2013  27866  28505  Freeman, Arthur         Sat, Mar 24, 2013       D32-28-05 
 JB121S1285124CB76  Civic        2013  16016  16455  Hicks, Andre            Mon, Mar 19, 2013       D32-28-01 
 JE141F1115125XC88  Crosstour    2013  36782  37640  Freeman, Arthur         Wed, Mar 21, 2013       D32-28-05 
 JJ16AF11751261XAX  Pilot        2013  38593  41970  Bryant, Raul            Wed, Mar 21, 2013       D32-28-04 
 JA12AF434512721B2  Accord       2013  39409  41930  Freeman, Arthur         Thu, Mar 22, 2013       D32-28-05 
 JK165F118512X8744  Ridgeline    2013  42445  46750  Bryant, Raul            Sun, Mar 25, 2013       D32-28-04 
 JH151F11551261XA6  Odyssey      2013  41177  44825  Freeman, Arthur         Sat, Mar 24, 2013       D32-28-05 
 JA116FU3151219858  Accord       2013  33493  35930  Freeman, Arthur         Sat, Mar 24, 2013       D32-28-05 
 JG148F1185121986X  Insight      2013  23185  24390  Anderson, Brad          Wed, Mar 21, 2013       D32-28-03 
 JA1X1S1265123BA82  Accord       2013  22287  24089  Anderson, Brad          Tue, Mar 20, 2013       D32-28-03 
 JD136F119512721C4  CR-Z         2013  23730  24705  Hicks, Andre            Sun, Mar 25, 2013       D32-28-01 
 JF146S113512X8756  Fit          2013  16032  16025  Bryant, Raul            Sat, Mar 24, 2013       D32-28-04 
 JH154SU1751261XB8  Odyssey      2013  31397  32375  Freeman, Arthur         Wed, Mar 21, 2013       D32-28-05 
 JA1X1S12A5124CBAX  Accord       2013  23649  24089  Bryant, Raul            Wed, Mar 21, 2013       D32-28-04 
 JG148F11451283212  Insight      2013  23059  24390  Spencer, Sean           Sat, Mar 24, 2013       D32-28-02 
 JD136F1135123BA94  CR-Z         2013  23095  24705  Bryant, Raul            Mon, Mar 19, 2013       D32-28-04 
 JB129S1475123BA96  Civic        2013  23018  23055  Anderson, Brad          Thu, Mar 22, 2013       D32-28-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH154SU132126X5B3  Odyssey     2010  21450  32375  Anderson, Brad          Sat, Mar 24, 2013       D32-28-03 
 JH153FU162296X5B5  Odyssey     2010  30300  45825  Bryant, Raul            Mon, Mar 19, 2013       D32-28-04 
 JH156S317213716C7  Odyssey     2010  20134  30375  Freeman, Arthur         Wed, Mar 21, 2013       D32-28-05 
 JA111S13A1195C4A9  Accord      2009  13937  22480  Anderson, Brad          Fri, Mar 23, 2013       D32-28-03 
 JE141F116X27716X1  Crosstour   2007  14876  37640  Freeman, Arthur         Fri, Mar 23, 2013       D32-28-05 
 JB123H1523255C4B3  Civic       2011  20588  27600  Freeman, Arthur         Fri, Mar 23, 2013       D32-28-05 
 JH153FU15Y14X7C65  Odyssey     2008  21660  45825  Anderson, Brad          Mon, Mar 19, 2013       D32-28-03 
 JE144F31022982717  Crosstour   2010  24873  38640  Freeman, Arthur         Thu, Mar 22, 2013       D32-28-05 
 JJ16AF11622718X79  Pilot       2010  26245  41970  Bryant, Raul            Tue, Mar 20, 2013       D32-28-04 
 JD139F31921618X81  CR-Z        2010  17061  25705  Anderson, Brad          Sun, Mar 25, 2013       D32-28-03 
 JD136F1154323A2A3  CR-Z        2012  20557  24705  Anderson, Brad          Sat, Mar 24, 2013       D32-28-03 
 JH152SU1421671615  Odyssey     2010  20134  30375  Hicks, Andre            Wed, Mar 21, 2013       D32-28-01 
 JC132FU163X218X87  CR-V        2011  23814  31995  Hicks, Andre            Fri, Mar 23, 2013       D32-28-01 
 JG148F114X3282729  Insight     2007  10294  24390  Spencer, Sean           Thu, Mar 22, 2013       D32-28-02 
 JB123H1523255C4X1  Civic       2011  20588  27600  Freeman, Arthur         Sun, Mar 25, 2013       D32-28-05 
 JH151F1193343A2B3  Odyssey     2011  32598  44825  Hicks, Andre            Wed, Mar 21, 2013       D32-28-01 
 JC131F118327291A5  CR-V        2011  23080  30995  Hicks, Andre            Fri, Mar 23, 2013       D32-28-01 
 JE144F3122X518X97  Crosstour   2010  25573  38640  Anderson, Brad          Tue, Mar 20, 2013       D32-28-03 
 JH152SU1AYX782739  Odyssey     2008  26984  30375  Hicks, Andre            Sat, Mar 24, 2013       D32-28-01 
 JC135F41221971631  CR-V        2010  26464  39995  Bryant, Raul            Wed, Mar 21, 2013       D32-28-04 
 JE142FU1212818XA3  Crosstour   2009  23184  38640  Bryant, Raul            Wed, Mar 21, 2013       D32-28-04 
 JH158S41525271635  Odyssey     2010  25875  41375  Bryant, Raul            Wed, Mar 21, 2013       D32-28-04 
 JH155FU122345C417  Odyssey     2010  30752  47825  Bryant, Raul            Thu, Mar 22, 2013       D32-28-04 
 JB129S14114118XA9  Civic       2009  14294  23055  Hicks, Andre            Tue, Mar 20, 2013       D32-28-01 
 JB121S12744118XB1  Civic       2012  13875  16455  Freeman, Arthur         Thu, Mar 22, 2013       D32-28-05 
 JD136F11421671643  CR-Z        2010  16403  24705  Spencer, Sean           Fri, Mar 23, 2013       D32-28-02 
 JB121S1254316X535  Civic       2012  13875  16455  Freeman, Arthur         Tue, Mar 20, 2013       D32-28-05 
