Dealer Name: Kaplan Honda
Address:     1605 Nebraska Blvd
             East Valley, FL
Dealer ID:   38
Owner:       Kaplan, Edward
Date:        Mon, Mar 19, 2013 thru Sun, Mar 25, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S1305122AB7X  Civic        2013  16376  16655  Murphy, Roger           Mon, Mar 19, 2013       D38-34-01 
 JA1X1S121512723C2  Accord       2013  22782  24089  Henry, Courtney         Sun, Mar 25, 2013       D38-34-05 
 JA1X6FU23512612B4  Accord       2013  34869  36030  Lee, Jason              Fri, Mar 23, 2013       D38-34-03 
 JD138FU115124CX96  CR-Z         2013  26109  27705  Rice, Ruth              Wed, Mar 21, 2013       D38-34-06 
 JB129S148512X8958  Civic        2013  21712  23055  Alvarez, Bill           Mon, Mar 19, 2013       D38-34-02 
 JD136F11A5128341X  CR-Z         2013  23603  24705  Murphy, Roger           Sun, Mar 25, 2013       D38-34-01 
 JD136F11A512X8962  CR-Z         2013  24111  24705  Murphy, Roger           Fri, Mar 23, 2013       D38-34-01 
 JB121S1265124CXA4  Civic        2013  15759  16455  Murphy, Roger           Wed, Mar 21, 2013       D38-34-01 
 JE141F1175123BC96  Crosstour    2013  34483  37640  Alvarez, Darrell        Wed, Mar 21, 2013       D38-34-04 
 JB127S133512612C8  Civic        2013  16030  16655  Henry, Courtney         Fri, Mar 23, 2013       D38-34-05 
 JE143FU115127231X  Crosstour    2013  38216  40640  Henry, Courtney         Tue, Mar 20, 2013       D38-34-05 
 JA111S133512X8972  Accord       2013  22228  22480  Lee, Jason              Mon, Mar 19, 2013       D38-34-03 
 JH151F1135122AB94  Odyssey      2013  40950  44825  Rice, Ruth              Wed, Mar 21, 2013       D38-34-06 
 JA1X5SU215123BCA6  Accord       2013  24848  27089  Rice, Ruth              Wed, Mar 21, 2013       D38-34-06 
 JB124HU56512X8978  Civic        2013  27912  28400  Rice, Ruth              Wed, Mar 21, 2013       D38-34-06 
 JH151F11651219A9X  Odyssey      2013  40722  44825  Henry, Courtney         Sat, Mar 24, 2013       D38-34-05 
 JC133FU165123BCB2  CR-V         2013  32069  33995  Alvarez, Darrell        Sun, Mar 25, 2013       D38-34-04 
 JA1X5SU28512X8984  Accord       2013  26098  27089  Lee, Jason              Sun, Mar 25, 2013       D38-34-03 
 JB127S13451261216  Civic        2013  15510  16655  Lee, Jason              Fri, Mar 23, 2013       D38-34-03 
 JB127S1365122ABA8  Civic        2013  15943  16655  Rice, Ruth              Thu, Mar 22, 2013       D38-34-06 
 JA115SU315125X11X  Accord       2013  23408  25480  Lee, Jason              Fri, Mar 23, 2013       D38-34-03 
 JB129S1415125X112  Civic        2013  22187  23055  Henry, Courtney         Thu, Mar 22, 2013       D38-34-05 
 JA1X3SU23512X8994  Accord       2013  23187  25089  Alvarez, Bill           Sat, Mar 24, 2013       D38-34-02 
 JH15AS1195124CXX6  Odyssey      2013  27646  29375  Murphy, Roger           Sun, Mar 25, 2013       D38-34-01 
 JH156S3125122ABB8  Odyssey      2013  28100  30375  Rice, Ruth              Fri, Mar 23, 2013       D38-34-06 
 JB129S1485126123X  Civic        2013  21594  23055  Murphy, Roger           Sat, Mar 24, 2013       D38-34-01 
 JB127S13251261232  Civic        2013  15423  16655  Rice, Ruth              Sat, Mar 24, 2013       D38-34-06 
 JA116FU395124CX14  Accord       2013  34225  35930  Alvarez, Bill           Sun, Mar 25, 2013       D38-34-02 
 JB121S12151283456  Civic        2013  15845  16455  Henry, Courtney         Sat, Mar 24, 2013       D38-34-05 
 JD138FU155123BCX8  CR-Z         2013  27386  27705  Murphy, Roger           Fri, Mar 23, 2013       D38-34-01 
 JB122SU295123BX4X  Civic        2013  16674  17255  Alvarez, Darrell        Tue, Mar 20, 2013       D38-34-04 
 JB127S1315123BX42  Civic        2013  16376  16655  Alvarez, Darrell        Thu, Mar 22, 2013       D38-34-04 
 JG149FU1351272484  Insight      2013  24442  25190  Lee, Jason              Sun, Mar 25, 2013       D38-34-03 
 JH15AS1135122AC36  Odyssey      2013  27796  29375  Rice, Ruth              Thu, Mar 22, 2013       D38-34-06 
 JG148F1105124C158  Insight      2013  24187  24390  Alvarez, Bill           Wed, Mar 21, 2013       D38-34-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JK168F3153452A667  Ridgeline   2011  35378  47750  Murphy, Roger           Sun, Mar 25, 2013       D38-34-01 
 JJ16AF110X2772BB9  Pilot       2007  16608  41970  Rice, Ruth              Sun, Mar 25, 2013       D38-34-06 
 JB129S1412X72A671  Civic       2010  15318  23055  Lee, Jason              Fri, Mar 23, 2013       D38-34-03 
 JB127S1312293B783  Civic       2010  11107  16655  Rice, Ruth              Tue, Mar 20, 2013       D38-34-06 
 JB127S13644283CX5  Civic       2012  14037  16655  Alvarez, Bill           Mon, Mar 19, 2013       D38-34-02 
 JG148F11823661AB7  Insight     2010  15753  24390  Lee, Jason              Thu, Mar 22, 2013       D38-34-03 
 JD136F1192365X9A9  CR-Z        2010  15955  24705  Alvarez, Bill           Fri, Mar 23, 2013       D38-34-02 
 JB127S1382345X9B1  Civic       2010  11107  16655  Alvarez, Bill           Wed, Mar 21, 2013       D38-34-02 
 JD138FU13Y3961AC3  CR-Z        2008  14427  27705  Rice, Ruth              Sat, Mar 24, 2013       D38-34-06 
 JH152SU1A2454C8A5  Odyssey     2010  27540  30375  Alvarez, Darrell        Fri, Mar 23, 2013       D38-34-04 
 JK166FU101253B797  Ridgeline   2009  27694  47750  Alvarez, Bill           Sun, Mar 25, 2013       D38-34-02 
