Dealer Name: Lakeside Honda
Address:     6205 Meridian Road
             East Valley, FL
Dealer ID:   39
Owner:       Isern, Mareen
Date:        Mon, Mar 19, 2013 thru Sun, Mar 25, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JG148F11A512X8A2X  Insight      2013  22683  24390  Adams, Danny            Mon, Mar 19, 2013       D39-20-05 
 JB127S133512X8A22  Civic        2013  15423  16655  Adams, Danny            Sat, Mar 24, 2013       D39-20-05 
 JB129S148512835A4  Civic        2013  21357  23055  Rivera, Jesus           Tue, Mar 20, 2013       D39-20-03 
 JC131F117512835A6  CR-V         2013  30086  30995  Lynch, Stacey           Fri, Mar 23, 2013       D39-20-04 
 JC131F1175123BX58  CR-V         2013  28661  30995  Rivera, Jesus           Sat, Mar 24, 2013       D39-20-03 
 JB127S1315126139X  Civic        2013  15943  16655  Medina, Jamie           Sat, Mar 24, 2013       D39-20-02 
 JH159F4155125X282  Odyssey      2013  51175  56825  Rivera, Jesus           Tue, Mar 20, 2013       D39-20-03 
 JE141F113512835B4  Crosstour    2013  35824  37640  Lynch, Stacey           Sat, Mar 24, 2013       D39-20-04 
 JA1X3SU2A512724A6  Accord       2013  22929  25089  Rivera, Jesus           Thu, Mar 22, 2013       D39-20-03 
 JB121S12451219B48  Civic        2013  16359  16455  Edwards, Julio          Sun, Mar 25, 2013       D39-20-01 
 JJ163F3125123BX7X  Pilot        2013  41680  42970  Rivera, Jesus           Thu, Mar 22, 2013       D39-20-03 
 JH15AS1125124C182  Odyssey      2013  27646  29375  Rivera, Jesus           Wed, Mar 21, 2013       D39-20-03 
 JF146S11A512835C4  Fit          2013  15614  16025  Evans, Violet           Wed, Mar 21, 2013       D39-20-06 
 JD139F3195125X296  CR-Z         2013  25061  25705  Medina, Jamie           Wed, Mar 21, 2013       D39-20-02 
 JB129S148512613A8  Civic        2013  21001  23055  Medina, Jamie           Thu, Mar 22, 2013       D39-20-02 
 JC131F110512724CX  CR-V         2013  29928  30995  Edwards, Julio          Sun, Mar 25, 2013       D39-20-01 
 JE141F112512613B2  Crosstour    2013  34291  37640  Adams, Danny            Thu, Mar 22, 2013       D39-20-05 
 JA117S33A5124C194  Accord       2013  22947  23480  Evans, Violet           Wed, Mar 21, 2013       D39-20-06 
 JB129S1495122AC76  Civic        2013  23018  23055  Edwards, Julio          Fri, Mar 23, 2013       D39-20-01 
 JE141F1125123BX88  Crosstour    2013  36590  37640  Adams, Danny            Wed, Mar 21, 2013       D39-20-05 
 JC132FU10512724XX  CR-V         2013  28749  31995  Medina, Jamie           Sun, Mar 25, 2013       D39-20-02 
 JB127S130512724X2  Civic        2013  16116  16655  Rivera, Jesus           Sun, Mar 25, 2013       D39-20-03 
 JB127S1355125X2B4  Civic        2013  15770  16655  Lynch, Stacey           Tue, Mar 20, 2013       D39-20-04 
 JG148F119512X8A66  Insight      2013  22433  24390  Medina, Jamie           Sat, Mar 24, 2013       D39-20-02 
 JB129S141512X8A68  Civic        2013  21950  23055  Evans, Violet           Sun, Mar 25, 2013       D39-20-06 
 JB127S1335124C1BX  Civic        2013  15250  16655  Adams, Danny            Mon, Mar 19, 2013       D39-20-05 
 JA117S3365123BXA2  Accord       2013  22343  23480  Adams, Danny            Wed, Mar 21, 2013       D39-20-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH151F11831619579  Odyssey     2011  33231  44825  Evans, Violet           Mon, Mar 19, 2013       D39-20-06 
 JH152SU172145X9C1  Odyssey     2010  20134  30375  Lynch, Stacey           Fri, Mar 23, 2013       D39-20-04 
 JJ161FU1814419583  Pilot       2009  24922  42970  Lynch, Stacey           Tue, Mar 20, 2013       D39-20-04 
 JB129S148Y3183C25  Civic       2008  11415  23055  Evans, Violet           Sat, Mar 24, 2013       D39-20-06 
 JH159F41425283C27  Odyssey     2010  37538  56825  Rivera, Jesus           Sun, Mar 25, 2013       D39-20-03 
 JB127S1342442A699  Civic       2010  11107  16655  Rivera, Jesus           Thu, Mar 22, 2013       D39-20-03 
 JB129S14813861A11  Civic       2009  14294  23055  Adams, Danny            Tue, Mar 20, 2013       D39-20-05 
 JJ162FU192233B7B3  Pilot       2010  28111  44970  Lynch, Stacey           Tue, Mar 20, 2013       D39-20-04 
 JK167FU14Y4461A15  Ridgeline   2008  26000  49750  Adams, Danny            Sun, Mar 25, 2013       D39-20-05 
 JH152SU1425183C37  Odyssey     2010  19584  30375  Medina, Jamie           Sun, Mar 25, 2013       D39-20-02 
 JD137FU1AX282A6A9  CR-Z        2007  10102  25705  Medina, Jamie           Tue, Mar 20, 2013       D39-20-02 
 JB127S13A5X672B31  Civic        2013  15887  16655  Rivera, Jesus           Mon, Mar 19, 2013       D39-20-03 
 JD136F115312X8493  CR-Z        2011  18463  24705  Medina, Jamie           Sun, Mar 25, 2013       D39-20-02 
 JC133FU113444C8X5  CR-V        2011  24800  33995  Medina, Jamie           Wed, Mar 21, 2013       D39-20-02 
 JH159F41A2X683C47  Odyssey     2010  36512  56825  Medina, Jamie           Wed, Mar 21, 2013       D39-20-02 
 JC131F11323283C49  CR-V        2010  20542  30995  Adams, Danny            Sun, Mar 25, 2013       D39-20-05 
 JH154SU1A2215X921  Odyssey     2010  20864  32375  Rivera, Jesus           Wed, Mar 21, 2013       D39-20-03 
