Dealer Name: Sally's Honda Plus
Address:     8187 Kline Ave
             Clarksville, NC
Dealer ID:   1
Owner:       Walker, Sally
Date:        Mon, Apr 16, 2013 thru Sun, Apr 22, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA111S13151629538  Accord       2013  21071  22480  Jennings, Terry         Sun, Apr 22, 2013       D01-01-02 
 JJ163F3195162954X  Pilot        2013  40371  42970  Wood, Lloyd             Mon, Apr 16, 2013       D01-01-04 
 JC131F11851629542  CR-V         2013  30561  30995  Jennings, Terry         Wed, Apr 18, 2013       D01-01-02 
 JG148F11751629544  Insight      2013  23686  24390  Jennings, Terry         Sat, Apr 21, 2013       D01-01-02 
 JJ16AF11651671A96  Pilot        2013  41152  41970  King, Michelle          Sun, Apr 22, 2013       D01-01-03 
 JB129S1415165C878  Civic        2013  21712  23055  Harper, Freddie         Sun, Apr 22, 2013       D01-01-05 
 JC131F1155163A66X  CR-V         2013  30719  30995  Ryan, Margie            Sun, Apr 22, 2013       D01-01-06 
 JB128SU365165C882  Civic        2013  16226  17455  Ryan, Margie            Sat, Apr 21, 2013       D01-01-06 
 JH152SU19516X7334  Odyssey      2013  29808  30375  Russell, Connie         Mon, Apr 16, 2013       D01-01-01 
 JA1X6FU21516X7336  Accord       2013  32483  36030  Wood, Lloyd             Mon, Apr 16, 2013       D01-01-04 
 JB121S12051682BB8  Civic        2013  15502  16455  Jennings, Terry         Mon, Apr 16, 2013       D01-01-02 
 JJ161FU1451671ABX  Pilot        2013  40153  42970  Harper, Freddie         Fri, Apr 20, 2013       D01-01-05 
 JB129S14A5164B782  Civic        2013  21950  23055  Russell, Connie         Fri, Apr 20, 2013       D01-01-01 
 JG148F118516X7344  Insight      2013  23310  24390  Wood, Lloyd             Sat, Apr 21, 2013       D01-01-04 
 JB121S12151618456  Civic        2013  16273  16455  Wood, Lloyd             Fri, Apr 20, 2013       D01-01-04 
 JA1X1S12A51682BC8  Accord       2013  23649  24089  Russell, Connie         Thu, Apr 19, 2013       D01-01-01 
 JB127S13351682BXX  Civic        2013  15770  16655  Jennings, Terry         Wed, Apr 18, 2013       D01-01-02 
 JH154SU1651618462  Odyssey      2013  29910  32375  Russell, Connie         Sun, Apr 22, 2013       D01-01-01 
 JA1X2F12351671AC4  Accord       2013  30840  33030  Russell, Connie         Tue, Apr 17, 2013       D01-01-01 
 JB127S1375163A686  Civic        2013  16203  16655  Ryan, Margie            Wed, Apr 18, 2013       D01-01-06 
 JB127S130516X7358  Civic        2013  16376  16655  King, Michelle          Sun, Apr 22, 2013       D01-01-03 
 JD138FU125164B7AX  CR-Z         2013  26819  27705  Ryan, Margie            Sat, Apr 21, 2013       D01-01-06 
 JB127S13851682B12  Civic        2013  16723  16655  Harper, Freddie         Thu, Apr 19, 2013       D01-01-05 
 JG148F11151671AX4  Insight      2013  23185  24390  Harper, Freddie         Sun, Apr 22, 2013       D01-01-05 
 JH156S31851629586  Odyssey      2013  28876  30375  Harper, Freddie         Sun, Apr 22, 2013       D01-01-05 
 JA113SU3151671AX8  Accord       2013  22101  23480  Russell, Connie         Sat, Apr 21, 2013       D01-01-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH155FU1A11529539  Odyssey     2009  29651  47825  Ryan, Margie            Tue, Apr 17, 2013       D01-01-06 
 JJ161FU101185C871  Pilot       2009  26641  42970  Wood, Lloyd             Fri, Apr 20, 2013       D01-01-04 
 JC135F4134276X983  CR-V        2012  32942  39995  Wood, Lloyd             Sat, Apr 21, 2013       D01-01-04 
 JG148F1103286X985  Insight     2011  17884  24390  Ryan, Margie            Sun, Apr 22, 2013       D01-01-06 
 JD139F3162193A657  CR-Z        2010  17061  25705  King, Michelle          Fri, Apr 20, 2013       D01-01-03 
 JE142FU1521382BA9  Crosstour   2010  24873  38640  Wood, Lloyd             Thu, Apr 19, 2013       D01-01-04 
 JD136F115Y2271AA1  CR-Z        2008  12240  24705  Harper, Freddie         Fri, Apr 20, 2013       D01-01-05 
 JC131F11613P71AA3  CR-V        2009  19216  30995  Ryan, Margie            Fri, Apr 20, 2013       D01-01-06 
 JF147SU151X74B775  Fit         2009  10095  16825  King, Michelle          Tue, Apr 17, 2013       D01-01-03 
 JH157F31321PX7337  Odyssey     2010  30300  45825  Harper, Freddie         Sat, Apr 21, 2013       D01-01-05 
 JH156S31921871AA9  Odyssey     2010  19584  30375  Russell, Connie         Mon, Apr 16, 2013       D01-01-01 
 JC131F118326X7341  CR-V        2011  23080  30995  Jennings, Terry         Sun, Apr 22, 2013       D01-01-02 
 JH151F1143443A673  Odyssey     2011  33231  44825  Harper, Freddie         Tue, Apr 17, 2013       D01-01-05 
 JC131F11013P6X9A5  CR-V        2009  19216  30995  Harper, Freddie         Sun, Apr 22, 2013       D01-01-05 
 JK167FU153X85C897  Ridgeline   2011  36144  49750  Ryan, Margie            Wed, Apr 18, 2013       D01-01-06 
