Dealer Name: Value Honda
Address:     6846 Harrison Ave
             West Junction, AL
Dealer ID:   7
Owner:       Walker, Shelly
Date:        Mon, Apr 16, 2013 thru Sun, Apr 22, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JJ16AF11A51671XA8  Pilot        2013  39020  41970  Chavez, Joy             Mon, Apr 16, 2013       D07-07-05 
 JC132FU1A516821CX  CR-V         2013  29566  31995  Caldwell, Wade          Fri, Apr 20, 2013       D07-07-04 
 JA111S1355165CB92  Accord       2013  20607  22480  Schmidt, Phillip        Sun, Apr 22, 2013       D07-07-01 
 JB129S1485163A974  Civic        2013  21475  23055  Mills, Naomi            Sun, Apr 22, 2013       D07-07-06 
 JH153FU12516821C6  Odyssey      2013  43710  45825  Patterson, Hilda        Fri, Apr 20, 2013       D07-07-08 
 JB125G1625165CB98  Civic        2013  28158  28505  Green, Francis          Sat, Apr 21, 2013       D07-07-02 
 JB121S1275161876X  Civic        2013  15502  16455  Soto, Victor            Fri, Apr 20, 2013       D07-07-07 
 JA119S432516X7652  Accord       2013  29100  31480  Meyer, Vincent          Wed, Apr 18, 2013       D07-07-03 
 JB121S123516X7654  Civic        2013  16187  16455  Soto, Victor            Sun, Apr 22, 2013       D07-07-07 
 JA113SU38516821X6  Accord       2013  21981  23480  Mills, Naomi            Tue, Apr 17, 2013       D07-07-06 
 JC134F3135165CBA8  CR-V         2013  31036  31995  Soto, Victor            Wed, Apr 18, 2013       D07-07-07 
 JD14AF4165166XCCX  CR-Z         2013  31113  33705  Green, Francis          Thu, Apr 19, 2013       D07-07-02 
 JB127S13851629882  Civic        2013  16376  16655  Meyer, Vincent          Thu, Apr 19, 2013       D07-07-03 
 JE141F11451618774  Crosstour    2013  34483  37640  Patterson, Hilda        Fri, Apr 20, 2013       D07-07-08 
 JH153FU115166XCC6  Odyssey      2013  44872  45825  Soto, Victor            Sun, Apr 22, 2013       D07-07-07 
 JB128SU395166XCC8  Civic        2013  16951  17455  Meyer, Vincent          Mon, Apr 16, 2013       D07-07-03 
 JB121S124516X767X  Civic        2013  15502  16455  Mills, Naomi            Wed, Apr 18, 2013       D07-07-06 
 JA1X1S12651629892  Accord       2013  22782  24089  Mills, Naomi            Sun, Apr 22, 2013       D07-07-06 
 JE141F1145165CBC4  Crosstour    2013  34291  37640  Mills, Naomi            Mon, Apr 16, 2013       D07-07-06 
 JA119S43651682126  Accord       2013  29261  31480  Schmidt, Phillip        Sun, Apr 22, 2013       D07-07-01 
 JB128SU315165CBC8  Civic        2013  16226  17455  Meyer, Vincent          Sun, Apr 22, 2013       D07-07-03 
 JB127S1365161879X  Civic        2013  16463  16655  Meyer, Vincent          Sat, Apr 21, 2013       D07-07-03 
 JH153FU1A5163A9B2  Odyssey      2013  44175  45825  Green, Francis          Mon, Apr 16, 2013       D07-07-02 
 JB127S1385163A9B4  Civic        2013  15510  16655  Meyer, Vincent          Fri, Apr 20, 2013       D07-07-03 
 JC132FU1551618796  CR-V         2013  29239  31995  Caldwell, Wade          Thu, Apr 19, 2013       D07-07-04 
 JB123H1545166XC18  Civic        2013  26295  27600  Schmidt, Phillip        Sat, Apr 21, 2013       D07-07-01 
 JB122SU245163A9CX  Civic        2013  16047  17255  Schmidt, Phillip        Thu, Apr 19, 2013       D07-07-01 
 JC131F117516187A2  CR-V         2013  29928  30995  Mills, Naomi            Fri, Apr 20, 2013       D07-07-06 
 JA111S1375166XC24  Accord       2013  21534  22480  Chavez, Joy             Mon, Apr 16, 2013       D07-07-05 
 JH153FU14516X7696  Odyssey      2013  41385  45825  Schmidt, Phillip        Wed, Apr 18, 2013       D07-07-01 
 JH155FU1A5166XC28  Odyssey      2013  46560  47825  Schmidt, Phillip        Tue, Apr 17, 2013       D07-07-01 
 JA113SU385166XC3X  Accord       2013  23188  23480  Soto, Victor            Mon, Apr 16, 2013       D07-07-07 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
