Dealer Name: King Honda
Address:     9974 Brooklin Ave
             Port Kiln, SC
Dealer ID:   12
Owner:       King, Carl
Date:        Mon, Apr 16, 2013 thru Sun, Apr 22, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB13ASU4A5165C188  Civic        2013  23303  23855  Graves, Edwin           Mon, Apr 16, 2013       D12-11-01 
 JE141F1125165C19X  Crosstour    2013  34291  37640  Carroll, Judith         Wed, Apr 18, 2013       D12-11-02 
 JD136F1125163AC72  CR-Z         2013  23222  24705  Graves, Edwin           Sat, Apr 21, 2013       D12-11-01 
 JB127S132516X7944  Civic        2013  16550  16655  Graves, Edwin           Fri, Apr 20, 2013       D12-11-01 
 JE141F115516X7946  Crosstour    2013  35632  37640  Carroll, Judith         Sun, Apr 22, 2013       D12-11-02 
 JB123H1545164BX88  Civic        2013  26719  27600  Carroll, Judith         Sat, Apr 21, 2013       D12-11-02 
 JH15AS11451629B7X  Odyssey      2013  27345  29375  Carroll, Judith         Sat, Apr 21, 2013       D12-11-02 
 JD136F118516824X2  CR-Z         2013  23222  24705  Carroll, Judith         Sat, Apr 21, 2013       D12-11-02 
 JA111S132516824X4  Accord       2013  20723  22480  Carroll, Judith         Sat, Apr 21, 2013       D12-11-02 
 JB127S13451618A66  Civic        2013  16376  16655  Carroll, Judith         Sat, Apr 21, 2013       D12-11-02 
 JC134F31A5166X2B8  CR-V         2013  29403  31995  Carroll, Judith         Tue, Apr 17, 2013       D12-11-02 
 JH151F11A516713XX  Odyssey      2013  42087  44825  Carroll, Judith         Thu, Apr 19, 2013       D12-11-02 
 JB121S12551629B82  Civic        2013  15417  16455  Carroll, Judith         Sun, Apr 22, 2013       D12-11-02 
 JA111S1325163AC94  Accord       2013  22344  22480  Carroll, Judith         Sat, Apr 21, 2013       D12-11-02 
 JG148F1195164BXA6  Insight      2013  23185  24390  Carroll, Judith         Tue, Apr 17, 2013       D12-11-02 
 JH151F1155163AC98  Odyssey      2013  43907  44825  Carroll, Judith         Mon, Apr 16, 2013       D12-11-02 
 JH152SU1251618A8X  Odyssey      2013  29652  30375  Carroll, Judith         Fri, Apr 20, 2013       D12-11-02 
 JC131F1195164BXB2  CR-V         2013  30086  30995  Carroll, Judith         Tue, Apr 17, 2013       D12-11-02 
 JA1X5SU2851629B94  Accord       2013  25681  27089  Graves, Edwin           Sun, Apr 22, 2013       D12-11-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC131F11744682XX7  CR-V        2012  25652  30995  Graves, Edwin           Mon, Apr 16, 2013       D12-11-01 
 JC131F1163364B999  CR-V        2011  23080  30995  Carroll, Judith         Sat, Apr 21, 2013       D12-11-02 
 JB127S139Y29X7561  Civic       2008  8625   16655  Graves, Edwin           Sun, Apr 22, 2013       D12-11-01 
 JD137FU181523A893  CR-Z        2009  15423  25705  Carroll, Judith         Fri, Apr 20, 2013       D12-11-02 
 JC132FU19Y174B9A5  CR-V        2008  16679  31995  Carroll, Judith         Fri, Apr 20, 2013       D12-11-02 
 JH153FU161243A897  Odyssey     2009  28411  45825  Carroll, Judith         Sat, Apr 21, 2013       D12-11-02 
 JD136F1192445CAB9  CR-Z        2010  16403  24705  Graves, Edwin           Tue, Apr 17, 2013       D12-11-01 
 JB129S1431275CAC1  Civic       2009  14294  23055  Graves, Edwin           Sun, Apr 22, 2013       D12-11-01 
 JB121S1272433A8A3  Civic       2010  10975  16455  Carroll, Judith         Sat, Apr 21, 2013       D12-11-02 
 JG148F11933982X25  Insight     2011  17884  24390  Graves, Edwin           Sun, Apr 22, 2013       D12-11-01 
 JH157F316Y236XBX7  Odyssey     2008  23940  45825  Graves, Edwin           Fri, Apr 20, 2013       D12-11-01 
 JB127S13844671C19  Civic       2012  14037  16655  Carroll, Judith         Fri, Apr 20, 2013       D12-11-02 
 JB121S1233155CAX1  Civic       2011  12408  16455  Carroll, Judith         Fri, Apr 20, 2013       D12-11-02 
 JD136F1114X571C23  CR-Z        2012  20557  24705  Carroll, Judith         Wed, Apr 18, 2013       D12-11-02 
 JH157F3121226XB15  Odyssey     2009  28411  45825  Carroll, Judith         Tue, Apr 17, 2013       D12-11-02 
 JJ161FU11X254B9C7  Pilot       2007  18283  42970  Carroll, Judith         Wed, Apr 18, 2013       D12-11-02 
 JH156S31344971C29  Odyssey     2012  24529  30375  Carroll, Judith         Thu, Apr 19, 2013       D12-11-02 
 JC135F419141186A1  CR-V        2009  23997  39995  Carroll, Judith         Thu, Apr 19, 2013       D12-11-02 
 JH152SU171245CA13  Odyssey     2009  18225  30375  Graves, Edwin           Wed, Apr 18, 2013       D12-11-01 
 JB127S131X1871C35  Civic       2007  6968   16655  Graves, Edwin           Fri, Apr 20, 2013       D12-11-01 
 JH151F1142X63A8C7  Odyssey     2010  40545  44825  Carroll, Judith         Tue, Apr 17, 2013       D12-11-02 
 JJ161FU16128X7599  Pilot       2009  25782  42970  Graves, Edwin           Sun, Apr 22, 2013       D12-11-01 
 JH152SU11336186B1  Odyssey     2011  22625  30375  Graves, Edwin           Fri, Apr 20, 2013       D12-11-01 
 JC131F11451P3A8X3  CR-V         2013  28864  30995  Graves, Edwin           Thu, Apr 19, 2013       D12-11-01 
 JB129S14A4256XB35  Civic       2012  18984  23055  Carroll, Judith         Mon, Apr 16, 2013       D12-11-02 
 JD136F117111X75A7  CR-Z        2009  14823  24705  Carroll, Judith         Sat, Apr 21, 2013       D12-11-02 
 JG148F1103183A8X9  Insight     2011  17884  24390  Graves, Edwin           Wed, Apr 18, 2013       D12-11-01 
 JE143FU1024171X81  Crosstour   2010  26889  40640  Carroll, Judith         Wed, Apr 18, 2013       D12-11-02 
