Dealer Name: Olson Honda
Address:     3074 Davison Highway
             Norbert, FL
Dealer ID:   15
Owner:       Olson, Howard
Date:        Mon, Apr 16, 2013 thru Sun, Apr 22, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA112F13951618B5X  Accord       2013  31252  32930  Hall, Willie            Mon, Apr 16, 2013       D15-14-08 
 JJ16AF110516714B2  Pilot        2013  38806  41970  Gardner, Joan           Fri, Apr 20, 2013       D15-14-09 
 JG148F110516X7A44  Insight      2013  22433  24390  Ramos, Maxine           Sun, Apr 22, 2013       D15-14-05 
 JD136F1175166X3A6  CR-Z         2013  23095  24705  Ramos, Maxine           Tue, Apr 17, 2013       D15-14-05 
 JJ16AF118516825C8  Pilot        2013  38593  41970  Bowman, Joan            Sat, Apr 21, 2013       D15-14-03 
 JA1X3SU2A516X7A5X  Accord       2013  24604  25089  Murphy, Kelly           Mon, Apr 16, 2013       D15-14-07 
 JA111S138516714C2  Accord       2013  20376  22480  Murphy, Kelly           Sun, Apr 22, 2013       D15-14-07 
 JB127S13A5166X3B4  Civic        2013  15597  16655  Elliott, Jacqueline     Thu, Apr 19, 2013       D15-14-01 
 JF146S1165165C2A6  Fit          2013  14946  16025  Elliott, Jacqueline     Fri, Apr 20, 2013       D15-14-01 
 JH153FU125166X3B8  Odyssey      2013  42082  45825  Ramos, Maxine           Fri, Apr 20, 2013       D15-14-05 
 JB125G1615166X3CX  Civic        2013  25824  28505  Ramos, Maxine           Thu, Apr 19, 2013       D15-14-05 
 JA1X4FU255164B1A2  Accord       2013  33143  34030  Gardner, Joan           Mon, Apr 16, 2013       D15-14-09 
 JH153FU1851682514  Odyssey      2013  44175  45825  Elliott, Jacqueline     Mon, Apr 16, 2013       D15-14-01 
 JE144F31451618B76  Crosstour    2013  37349  38640  Hall, Willie            Sun, Apr 22, 2013       D15-14-08 
 JB121S1265163AX98  Civic        2013  15759  16455  Hall, Willie            Wed, Apr 18, 2013       D15-14-08 
 JA113SU345167141X  Accord       2013  22947  23480  Gonzales, Natalie       Sun, Apr 22, 2013       D15-14-04 
