Dealer Name: Newton Honda
Address:     4893 Brooklin Ave
             Granger, AL
Dealer ID:   34
Owner:       Newton, Robert
Date:        Mon, Apr 16, 2013 thru Sun, Apr 22, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S1305163BB5X  Civic        2013  16290  16655  Rodriquez, Jorge        Tue, Apr 17, 2013       D34-30-04 
 JC132FU15516X8822  CR-V         2013  31363  31995  Jensen, Bill            Mon, Apr 16, 2013       D34-30-06 
 JA114FU3051619934  Accord       2013  32701  33930  Rodriquez, Jorge        Fri, Apr 20, 2013       D34-30-04 
 JC131F11351672296  CR-V         2013  30403  30995  Rice, Georgia           Thu, Apr 19, 2013       D34-30-03 
 JB127S1395164CC68  Civic        2013  16030  16655  Bennett, Michele        Sun, Apr 22, 2013       D34-30-05 
 JB121S1295166119X  Civic        2013  16530  16455  Rodriquez, Jorge        Mon, Apr 16, 2013       D34-30-04 
 JK166FU105162AA52  Ridgeline    2013  43824  47750  Rodriquez, Jorge        Tue, Apr 17, 2013       D34-30-04 
 JA1X7S32A51619944  Accord       2013  23574  25089  Rice, Georgia           Mon, Apr 16, 2013       D34-30-03 
 JB122SU24516833B6  Civic        2013  16585  17255  Bennett, Michele        Mon, Apr 16, 2013       D34-30-05 
 JJ162FU175163BB68  Pilot        2013  42449  44970  Jensen, Bill            Mon, Apr 16, 2013       D34-30-06 
 JA111S1345161995X  Accord       2013  22228  22480  Jensen, Bill            Mon, Apr 16, 2013       D34-30-06 
 JE141F1135165XX92  Crosstour    2013  37165  37640  Bennett, Michele        Wed, Apr 18, 2013       D34-30-05 
 JA114FU355163BB74  Accord       2013  33047  33930  Bennett, Michele        Mon, Apr 16, 2013       D34-30-05 
 JH153FU11516611A6  Odyssey      2013  43012  45825  Jensen, Bill            Mon, Apr 16, 2013       D34-30-06 
 JA113SU3951619958  Accord       2013  22584  23480  Torres, Caroline        Wed, Apr 18, 2013       D34-30-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH152SU1832561999  Odyssey     2011  22625  30375  Rodriquez, Jorge        Wed, Apr 18, 2013       D34-30-04 
 JH156S31043283BC1  Odyssey     2012  25150  30375  Torres, Caroline        Wed, Apr 18, 2013       D34-30-01 
 JC131F114Y2919453  CR-V        2008  16154  30995  Jensen, Bill            Mon, Apr 16, 2013       D34-30-06 
 JB121S12114683BC5  Civic       2009  10202  16455  Webb, Ken               Thu, Apr 19, 2013       D34-30-02 
 JG148F11124PX8347  Insight     2010  15753  24390  Rodriquez, Jorge        Fri, Apr 20, 2013       D34-30-04 
 JH152SU1222P19459  Odyssey     2010  19584  30375  Jensen, Bill            Mon, Apr 16, 2013       D34-30-06 
 JH155FU1242172AC1  Odyssey     2012  38800  47825  Rodriquez, Jorge        Sun, Apr 22, 2013       D34-30-04 
 JC133FU12Y1472AC3  CR-V        2008  17729  33995  Webb, Ken               Fri, Apr 20, 2013       D34-30-02 
 JB127S1372X619465  Civic       2010  11107  16655  Rice, Georgia           Tue, Apr 17, 2013       D34-30-03 
 JG148F11923619467  Insight     2010  16196  24390  Rodriquez, Jorge        Sun, Apr 22, 2013       D34-30-04 
 JH155FU172232A579  Odyssey     2010  30752  47825  Bennett, Michele        Tue, Apr 17, 2013       D34-30-05 
 JC132FU1515272AX1  CR-V        2009  19836  31995  Rice, Georgia           Mon, Apr 16, 2013       D34-30-03 
 JB121S12A1435X8B3  Civic       2009  10202  16455  Rodriquez, Jorge        Sun, Apr 22, 2013       D34-30-04 
