Dealer Name: Your Honda
Address:     3145 Brooklin Ave
             West Junction, AL
Dealer ID:   6
Owner:       Frederick, Ted
Date:        Mon, Apr 23, 2013 thru Sun, Apr 29, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB129S14451782X32  Civic        2013  21238  23055  Wagner, Ramon           Fri, Apr 27, 2013       D06-06-01 
 JD136F11051771C24  CR-Z         2013  22588  24705  Dixon, Leslie           Fri, Apr 27, 2013       D06-06-04 
 JB121S12A5174B9C6  Civic        2013  15160  16455  Torres, Rose            Mon, Apr 23, 2013       D06-06-02 
 JD136F11551782X38  CR-Z         2013  23349  24705  Torres, Rose            Fri, Apr 27, 2013       D06-06-02 
 JE141F116517186AX  Crosstour    2013  36590  37640  Day, Veronica           Tue, Apr 24, 2013       D06-06-05 
 JA1X1S12A517X7592  Accord       2013  23773  24089  Fuller, Terri           Thu, Apr 26, 2013       D06-06-08 
 JC131F11951771C34  CR-V         2013  29453  30995  Dixon, Leslie           Mon, Apr 23, 2013       D06-06-04 
 JB121S1265173A8C6  Civic        2013  16273  16455  Wagner, Ramon           Wed, Apr 25, 2013       D06-06-01 
 JB125G1695174B9X8  Civic        2013  26991  28505  Torres, Rose            Mon, Apr 23, 2013       D06-06-02 
 JC131F1115173A8XX  CR-V         2013  28344  30995  Hall, Francis           Sun, Apr 29, 2013       D06-06-06 
 JB127S1315176XB32  Civic        2013  15597  16655  Wagner, Ramon           Wed, Apr 25, 2013       D06-06-01 
 JH151F11A51782X54  Odyssey      2013  42542  44825  Porter, Ronnie          Wed, Apr 25, 2013       D06-06-07 
 JJ161FU175175CA26  Pilot        2013  39935  42970  Day, Veronica           Wed, Apr 25, 2013       D06-06-05 
 JH154SU175174B918  Odyssey      2013  31562  32375  Rivera, Greg            Sun, Apr 29, 2013       D06-06-03 
 JG148F1165174BA5X  Insight      2013  22307  24390  Torres, Rose            Wed, Apr 25, 2013       D06-06-02 
 JB129S14051718722  Civic        2013  21475  23055  Hall, Francis           Wed, Apr 25, 2013       D06-06-06 
 JC131F1115176XC74  CR-V         2013  30719  30995  Hall, Francis           Tue, Apr 24, 2013       D06-06-06 
 JB121S12851771X86  Civic        2013  16102  16455  Dixon, Leslie           Sat, Apr 28, 2013       D06-06-04 
 JC133FU115173A948  CR-V         2013  32936  33995  Day, Veronica           Fri, Apr 27, 2013       D06-06-05 
 JB121S1275173A95X  Civic        2013  15759  16455  Wagner, Ramon           Thu, Apr 26, 2013       D06-06-01 
 JB127S1395175CB72  Civic        2013  16550  16655  Rivera, Greg            Sat, Apr 28, 2013       D06-06-03 
 JC131F116517821A4  CR-V         2013  30086  30995  Hall, Francis           Wed, Apr 25, 2013       D06-06-06 
 JC131F1185176XC86  CR-V         2013  29136  30995  Wagner, Ramon           Wed, Apr 25, 2013       D06-06-01 
 JE141F1195173A958  Crosstour    2013  33908  37640  Hall, Francis           Mon, Apr 23, 2013       D06-06-06 
 JK166FU185172985X  Ridgeline    2013  46003  47750  Torres, Rose            Tue, Apr 24, 2013       D06-06-02 
 JH15AS1135175CB82  Odyssey      2013  29148  29375  Torres, Rose            Fri, Apr 27, 2013       D06-06-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
