Dealer Name: Superior Honda
Address:     8799 Dixie Highway
             Louderdale, FL
Dealer ID:   31
Owner:       Griner, Thomas
Date:        Mon, May 14, 2013 thru Sun, May 20, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA111S13852P4CAB6  Accord       2013  21186  22480  Knight, Sean            Sun, May 20, 2013       D31-27-04 
 JH152SU1652PX8678  Odyssey      2013  29342  30375  Wells, Bobby            Wed, May 16, 2013       D31-27-03 
 JC132FU1752PX868X  CR-V         2013  31036  31995  Berry, Gerald           Tue, May 15, 2013       D31-27-02 
 JH157F31552PX8682  Odyssey      2013  43012  45825  Knight, Sean            Mon, May 14, 2013       D31-27-04 
 JA1X1S12652P72X24  Accord       2013  22659  24089  Wells, Bobby            Sun, May 20, 2013       D31-27-03 
 JB127S13252P19796  Civic        2013  15510  16655  Harvey, Joseph          Tue, May 15, 2013       D31-27-01 
 JC131F11952P2A8A8  CR-V         2013  28978  30995  Wells, Bobby            Tue, May 15, 2013       D31-27-03 
 JA111S13552P2A8BX  Accord       2013  21534  22480  Berry, Gerald           Thu, May 17, 2013       D31-27-02 
 JB127S13A52PX8692  Civic        2013  16723  16655  Berry, Gerald           Tue, May 15, 2013       D31-27-02 
 JB121S12352P83144  Civic        2013  15417  16455  Wells, Bobby            Thu, May 17, 2013       D31-27-03 
 JA1X7S32952P83146  Accord       2013  23187  25089  Knight, Sean            Wed, May 16, 2013       D31-27-04 
 JC131F11252P72X38  CR-V         2013  28186  30995  Harvey, Joseph          Wed, May 16, 2013       D31-27-01 
 JD136F11952P8315X  CR-Z         2013  22715  24705  Knight, Sean            Tue, May 15, 2013       D31-27-04 
 JB121S12A52P4CA12  Civic        2013  16187  16455  Burns, Laura            Mon, May 14, 2013       D31-27-05 
 JA1X6FU2652P72X44  Accord       2013  34502  36030  Wells, Bobby            Sat, May 19, 2013       D31-27-03 
 JJ16AF11852PX86A6  Pilot        2013  39446  41970  Berry, Gerald           Sat, May 19, 2013       D31-27-02 
 JC132FU1852P3B9X8  CR-V         2013  28912  31995  Burns, Laura            Sat, May 19, 2013       D31-27-05 
 JE145F41652P8329X  Crosstour    2013  45185  46640  Harvey, Joseph          Thu, May 17, 2013       D31-27-01 
 JB122SU2852P19822  Civic        2013  16585  17255  Burns, Laura            Thu, May 17, 2013       D31-27-05 
 JB13ASU4252PX8714  Civic        2013  23671  23855  Harvey, Joseph          Mon, May 14, 2013       D31-27-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JD136F115Y3P18CA9  CR-Z        2008  12240  24705  Harvey, Joseph          Wed, May 16, 2013       D31-27-01 
 JH157F31011729XC1  Odyssey     2009  26578  45825  Knight, Sean            Sun, May 20, 2013       D31-27-04 
 JE144F31432429XC3  Crosstour   2011  28144  38640  Berry, Gerald           Thu, May 17, 2013       D31-27-02 
 JJ16AF11A2X982655  Pilot       2010  27004  41970  Wells, Bobby            Sat, May 19, 2013       D31-27-03 
 JB123H15A2X7X7BA7  Civic       2010  18308  27600  Knight, Sean            Tue, May 15, 2013       D31-27-04 
 JE145F41231671549  Crosstour   2011  33904  46640  Knight, Sean            Sun, May 20, 2013       D31-27-04 
 JB121S1221X63A241  Civic       2009  10202  16455  Burns, Laura            Mon, May 14, 2013       D31-27-05 
 JH157F3132135C463  Odyssey     2010  29472  45825  Wells, Bobby            Sun, May 20, 2013       D31-27-03 
 JE142FU1823871685  Crosstour   2010  24873  38640  Knight, Sean            Mon, May 14, 2013       D31-27-04 
 JB126GU652376X577  Civic       2010  19430  29305  Harvey, Joseph          Sat, May 19, 2013       D31-27-01 
 JB129S14124729139  Civic       2010  14899  23055  Wells, Bobby            Sat, May 19, 2013       D31-27-03 
 JA1X2F121Y1271691  Accord      2008  17222  33030  Berry, Gerald           Thu, May 17, 2013       D31-27-02 
 JB122SU2014318X33  Civic       2009  10698  17255  Burns, Laura            Wed, May 16, 2013       D31-27-05 
 JK166FU1221118X35  Ridgeline   2010  29840  47750  Burns, Laura            Thu, May 17, 2013       D31-27-05 
 JK167FU1A21118X37  Ridgeline   2010  31984  49750  Wells, Bobby            Wed, May 16, 2013       D31-27-03 
 JB127S1372446X589  Civic       2010  11107  16655  Knight, Sean            Mon, May 14, 2013       D31-27-04 
 JH152SU182496X591  Odyssey     2010  19584  30375  Burns, Laura            Mon, May 14, 2013       D31-27-05 
 JB121S1272236X593  Civic       2010  10975  16455  Berry, Gerald           Fri, May 18, 2013       D31-27-02 
 JH156S315Y223A265  Odyssey     2008  15828  30375  Berry, Gerald           Tue, May 15, 2013       D31-27-02 
 JB127S1323154B377  Civic       2011  12555  16655  Harvey, Joseph          Fri, May 18, 2013       D31-27-01 
 JD136F112Y443A269  CR-Z        2008  12240  24705  Berry, Gerald           Thu, May 17, 2013       D31-27-02 
 JB123H154YX7827C1  Civic       2008  14371  27600  Knight, Sean            Sat, May 19, 2013       D31-27-04 
 JE142FU134175C493  Crosstour   2012  31452  38640  Burns, Laura            Fri, May 18, 2013       D31-27-05 
 JH154SU13YX36X5A5  Odyssey     2008  16878  32375  Burns, Laura            Mon, May 14, 2013       D31-27-05 
