Dealer Name: Adams Honda
Address:     4008 Lee Road
             Louderdale, FL
Dealer ID:   32
Owner:       Adams, Jon
Date:        Mon, May 14, 2013 thru Sun, May 20, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH152SU1352P2A936  Odyssey      2013  28100  30375  Hicks, Andre            Fri, May 18, 2013       D32-28-01 
 JK169F41552P61X78  Ridgeline    2013  55859  58750  Freeman, Arthur         Tue, May 15, 2013       D32-28-05 
 JH153FU1752P1983X  Odyssey      2013  41617  45825  Bryant, Raul            Thu, May 17, 2013       D32-28-04 
 JC131F11452P19832  CR-V         2013  29453  30995  Hicks, Andre            Sat, May 19, 2013       D32-28-01 
 JB129S14452PX8724  Civic        2013  21831  23055  Hicks, Andre            Thu, May 17, 2013       D32-28-01 
 JE141F11452P4CB66  Crosstour    2013  36207  37640  Bryant, Raul            Wed, May 16, 2013       D32-28-04 
 JH152SU1652P72198  Odyssey      2013  29963  30375  Spencer, Sean           Tue, May 15, 2013       D32-28-02 
 JD136F11652P2A95X  CR-Z         2013  23476  24705  Spencer, Sean           Wed, May 16, 2013       D32-28-02 
 JH158S41352P4CB72  Odyssey      2013  37424  41375  Freeman, Arthur         Tue, May 15, 2013       D32-28-05 
 JA1X1S12552P61X94  Accord       2013  23401  24089  Spencer, Sean           Sun, May 20, 2013       D32-28-02 
 JH157F31052P19846  Odyssey      2013  41850  45825  Bryant, Raul            Mon, May 14, 2013       D32-28-04 
 JA1X2F12152P2A958  Accord       2013  31345  33030  Hicks, Andre            Tue, May 15, 2013       D32-28-01 
 JB127S13452P721BX  Civic        2013  16290  16655  Hicks, Andre            Mon, May 14, 2013       D32-28-01 
 JC132FU1452P2A962  CR-V         2013  30383  31995  Anderson, Brad          Sat, May 19, 2013       D32-28-03 
 JA1X3SU2552P5XC94  Accord       2013  23574  25089  Spencer, Sean           Tue, May 15, 2013       D32-28-02 
 JG148F11A52P721B6  Insight      2013  23811  24390  Spencer, Sean           Mon, May 14, 2013       D32-28-02 
 JE141F11352P4CB88  Crosstour    2013  33717  37640  Bryant, Raul            Thu, May 17, 2013       D32-28-04 
 JH154SU1352P2A97X  Odyssey      2013  31397  32375  Hicks, Andre            Sat, May 19, 2013       D32-28-01 
 JA117S33A52P61XB2  Accord       2013  23309  23480  Anderson, Brad          Sat, May 19, 2013       D32-28-03 
 JD137FU1552P4CB94  CR-Z         2013  25588  25705  Freeman, Arthur         Sun, May 20, 2013       D32-28-05 
 JG148F11752P832X6  Insight      2013  23059  24390  Spencer, Sean           Sat, May 19, 2013       D32-28-02 
 JB127S13152P19868  Civic        2013  16636  16655  Anderson, Brad          Mon, May 14, 2013       D32-28-03 
 JG148F11552P2A98X  Insight      2013  24062  24390  Anderson, Brad          Wed, May 16, 2013       D32-28-03 
 JB127S13452P4CBA2  Civic        2013  16030  16655  Bryant, Raul            Sun, May 20, 2013       D32-28-04 
