Dealer Name: Newton Honda
Address:     4893 Brooklin Ave
             Granger, AL
Dealer ID:   34
Owner:       Newton, Robert
Date:        Mon, May 21, 2013 thru Sun, May 27, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH151F1175214CC54  Odyssey      2013  43452  44825  Jensen, Bill            Tue, May 22, 2013       D34-30-06 
 JB127S1395215XX66  Civic        2013  15770  16655  Jensen, Bill            Sat, May 26, 2013       D34-30-06 
 JB121S1215215XX68  Civic        2013  16102  16455  Rodriquez, Jorge        Mon, May 21, 2013       D34-30-04 
 JB127S1325214CC6X  Civic        2013  15337  16655  Jensen, Bill            Mon, May 21, 2013       D34-30-06 
 JB121S1225214CC62  Civic        2013  15245  16455  Jensen, Bill            Thu, May 24, 2013       D34-30-06 
 JH15AS11552172294  Odyssey      2013  28547  29375  Torres, Caroline        Wed, May 23, 2013       D34-30-01 
 JA113SU385212AA46  Accord       2013  21739  23480  Webb, Ken               Thu, May 24, 2013       D34-30-02 
 JA115SU38521X8828  Accord       2013  24847  25480  Rice, Georgia           Mon, May 21, 2013       D34-30-03 
 JE141F110521X883X  Crosstour    2013  34866  37640  Rodriquez, Jorge        Tue, May 22, 2013       D34-30-04 
 JD136F114521722A2  CR-Z         2013  23730  24705  Torres, Caroline        Tue, May 22, 2013       D34-30-01 
 JB121S12A5215XX84  Civic        2013  15074  16455  Jensen, Bill            Wed, May 23, 2013       D34-30-06 
 JA112F137521722A6  Accord       2013  29572  32930  Rice, Georgia           Thu, May 24, 2013       D34-30-03 
 JA112F1325213BB68  Accord       2013  31924  32930  Jensen, Bill            Mon, May 21, 2013       D34-30-06 
 JB129S14A521611AX  Civic        2013  21238  23055  Bennett, Michele        Fri, May 25, 2013       D34-30-05 
 JB121S126521833C2  Civic        2013  15160  16455  Torres, Caroline        Sun, May 27, 2013       D34-30-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S1224X4X8333  Civic       2012  13875  16455  Rice, Georgia           Thu, May 24, 2013       D34-30-03 
 JC132FU10228X8335  CR-V        2010  20620  31995  Webb, Ken               Fri, May 25, 2013       D34-30-02 
 JB127S13244819447  Civic       2012  14037  16655  Rodriquez, Jorge        Mon, May 21, 2013       D34-30-04 
 JE141F1122165X889  Crosstour   2010  24233  37640  Jensen, Bill            Fri, May 25, 2013       D34-30-06 
 JH156S314YX7619A1  Odyssey     2008  14321  30375  Jensen, Bill            Fri, May 25, 2013       D34-30-06 
 JC131F117112X8343  CR-V        2009  19216  30995  Rodriquez, Jorge        Thu, May 24, 2013       D34-30-04 
 JH158S410221X8345  Odyssey     2010  27372  41375  Jensen, Bill            Sat, May 26, 2013       D34-30-06 
 JH153FU1922672AB7  Odyssey     2010  30300  45825  Webb, Ken               Sat, May 26, 2013       D34-30-02 
 JC131F1114264C789  CR-V        2012  25652  30995  Bennett, Michele        Mon, May 21, 2013       D34-30-05 
 JC131F114212X8351  CR-V        2010  19980  30995  Torres, Caroline        Fri, May 25, 2013       D34-30-01 
 JB121S126221X8353  Civic       2010  10975  16455  Rice, Georgia           Thu, May 24, 2013       D34-30-03 
 JB121S1271X4X8355  Civic       2009  10202  16455  Jensen, Bill            Sun, May 27, 2013       D34-30-06 
 JH157F3172475X8A7  Odyssey     2010  30300  45825  Jensen, Bill            Thu, May 24, 2013       D34-30-06 
