Dealer Name: Sally's Honda Plus
Address:     8187 Kline Ave
             Clarksville, NC
Dealer ID:   1
Owner:       Walker, Sally
Date:        Mon, Jun 11, 2013 thru Sun, Jun 17, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA111S1385243A646  Accord       2013  21418  22480  Ryan, Margie            Sat, Jun 16, 2013       D01-01-06 
 JH157F31352482B98  Odyssey      2013  43012  45825  King, Michelle          Tue, Jun 12, 2013       D01-01-03 
 JH155FU145244B76X  Odyssey      2013  43165  47825  King, Michelle          Tue, Jun 12, 2013       D01-01-03 
 JB127S13052471A92  Civic        2013  16030  16655  Russell, Connie         Fri, Jun 15, 2013       D01-01-01 
 JA1X1S12A52471A94  Accord       2013  23773  24089  King, Michelle          Sat, Jun 16, 2013       D01-01-03 
 JB127S13A5244B766  Civic        2013  15943  16655  Russell, Connie         Thu, Jun 14, 2013       D01-01-01 
 JB121S12052429548  Civic        2013  16444  16455  Harper, Freddie         Tue, Jun 12, 2013       D01-01-05 
 JB127S1325242955X  Civic        2013  15770  16655  Ryan, Margie            Sun, Jun 17, 2013       D01-01-06 
 JG148F116524X7332  Insight      2013  23686  24390  King, Michelle          Wed, Jun 13, 2013       D01-01-03 
 JH157F3175244B774  Odyssey      2013  43710  45825  Jennings, Terry         Mon, Jun 11, 2013       D01-01-02 
 JG148F11A5244B776  Insight      2013  23310  24390  Wood, Lloyd             Thu, Jun 14, 2013       D01-01-04 
 JA113SU325246X998  Accord       2013  21860  23480  Harper, Freddie         Sun, Jun 17, 2013       D01-01-05 
 JB129S14A5245C89X  Civic        2013  22543  23055  Ryan, Margie            Fri, Jun 15, 2013       D01-01-06 
 JB125G16352418452  Civic        2013  27866  28505  Russell, Connie         Sat, Jun 16, 2013       D01-01-01 
 JD136F111524X7344  CR-Z         2013  24364  24705  Russell, Connie         Fri, Jun 15, 2013       D01-01-01 
 JB121S12852471AB6  Civic        2013  16359  16455  Russell, Connie         Wed, Jun 13, 2013       D01-01-01 
 JC132FU13524X7348  CR-V         2013  29729  31995  Ryan, Margie            Thu, Jun 14, 2013       D01-01-06 
 JB121S12752482BXX  Civic        2013  15245  16455  Jennings, Terry         Wed, Jun 13, 2013       D01-01-02 
 JB121S1215246X9B2  Civic        2013  15930  16455  Jennings, Terry         Sun, Jun 17, 2013       D01-01-02 
 JB127S13652418464  Civic        2013  16376  16655  Russell, Connie         Fri, Jun 15, 2013       D01-01-01 
 JJ163F315524X7356  Pilot        2013  42117  42970  Harper, Freddie         Mon, Jun 11, 2013       D01-01-05 
 JB123H1515244B798  Civic        2013  27002  27600  King, Michelle          Sun, Jun 17, 2013       D01-01-03 
 JH158S419524X736X  Odyssey      2013  39316  41375  Ryan, Margie            Tue, Jun 12, 2013       D01-01-06 
 JH153FU1752429582  Odyssey      2013  41850  45825  Wood, Lloyd             Mon, Jun 11, 2013       D01-01-04 
 JB121S12452429584  Civic        2013  16016  16455  Russell, Connie         Mon, Jun 11, 2013       D01-01-01 
 JB127S13952429586  Civic        2013  16290  16655  Wood, Lloyd             Tue, Jun 12, 2013       D01-01-04 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA117S33625P71A87  Accord      2010  15597  23480  King, Michelle          Wed, Jun 13, 2013       D01-01-03 
 JB127S13844171A89  Civic       2012  14037  16655  King, Michelle          Tue, Jun 12, 2013       D01-01-03 
 JB128SU32Y425C871  Civic       2008  9045   17455  Russell, Connie         Thu, Jun 14, 2013       D01-01-01 
 JC133FU1131582BA3  CR-V        2011  25282  33995  King, Michelle          Thu, Jun 14, 2013       D01-01-03 
 JH155FU14Y2129545  Odyssey     2008  22610  47825  Wood, Lloyd             Thu, Jun 14, 2013       D01-01-04 
 JC133FU154464B767  CR-V        2012  27736  33995  Wood, Lloyd             Wed, Jun 13, 2013       D01-01-04 
 JH152SU103454B769  Odyssey     2011  22625  30375  Ryan, Margie            Mon, Jun 11, 2013       D01-01-06 
 JB127S13323371AA1  Civic       2010  11107  16655  Russell, Connie         Thu, Jun 14, 2013       D01-01-01 
 JE141F11812171AA3  Crosstour   2009  22584  37640  Russell, Connie         Sun, Jun 17, 2013       D01-01-01 
 JH159F413X3418445  Odyssey     2007  22550  56825  Wood, Lloyd             Sun, Jun 17, 2013       D01-01-04 
 JH157F31821282BB7  Odyssey     2010  28643  45825  Ryan, Margie            Wed, Jun 13, 2013       D01-01-06 
 JB123H15A3X94B779  Civic       2011  20588  27600  Ryan, Margie            Fri, Jun 15, 2013       D01-01-06 
 JH153FU19231X7341  Odyssey     2010  30300  45825  Jennings, Terry         Sun, Jun 17, 2013       D01-01-02 
 JH153FU1022482BC3  Odyssey     2010  30300  45825  Ryan, Margie            Thu, Jun 14, 2013       D01-01-06 
 JD136F1121356X9A5  CR-Z        2009  14823  24705  Ryan, Margie            Sun, Jun 17, 2013       D01-01-06 
