Dealer Name: King Honda
Address:     9974 Brooklin Ave
             Port Kiln, SC
Dealer ID:   12
Owner:       King, Carl
Date:        Mon, Jun 11, 2013 thru Sun, Jun 17, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA117S3365245C186  Accord       2013  21618  23480  Carroll, Judith         Sat, Jun 16, 2013       D12-11-02 
 JA1X1S1245243AC68  Accord       2013  22039  24089  Carroll, Judith         Thu, Jun 14, 2013       D12-11-02 
 JC133FU19524824CX  CR-V         2013  32936  33995  Graves, Edwin           Sat, Jun 16, 2013       D12-11-01 
 JA111S13252429B62  Accord       2013  21534  22480  Carroll, Judith         Wed, Jun 13, 2013       D12-11-02 
 JB127S1385246X2A4  Civic        2013  15943  16655  Carroll, Judith         Fri, Jun 15, 2013       D12-11-02 
 JB13ASU455243AC76  Civic        2013  21954  23855  Graves, Edwin           Tue, Jun 12, 2013       D12-11-01 
 JH151F1145243AC78  Odyssey      2013  40950  44825  Carroll, Judith         Mon, Jun 11, 2013       D12-11-02 
 JH159F4135246X2BX  Odyssey      2013  53187  56825  Graves, Edwin           Mon, Jun 11, 2013       D12-11-01 
 JC132FU17524824X2  CR-V         2013  31199  31995  Carroll, Judith         Fri, Jun 15, 2013       D12-11-02 
 JH153FU1A5244BX94  Odyssey      2013  44407  45825  Graves, Edwin           Mon, Jun 11, 2013       D12-11-01 
 JH151F1105244BX96  Odyssey      2013  41405  44825  Carroll, Judith         Sun, Jun 17, 2013       D12-11-02 
 JC132FU18524824X8  CR-V         2013  29239  31995  Carroll, Judith         Tue, Jun 12, 2013       D12-11-02 
 JB127S1395246X2CX  Civic        2013  15943  16655  Graves, Edwin           Sun, Jun 17, 2013       D12-11-01 
 JB127S132524713X2  Civic        2013  16030  16655  Graves, Edwin           Thu, Jun 14, 2013       D12-11-01 
 JA1X3SU20524X7964  Accord       2013  24218  25089  Carroll, Judith         Sat, Jun 16, 2013       D12-11-02 
 JB127S13852429B86  Civic        2013  15423  16655  Graves, Edwin           Tue, Jun 12, 2013       D12-11-01 
 JB129S1435243AC98  Civic        2013  21001  23055  Carroll, Judith         Fri, Jun 15, 2013       D12-11-02 
 JB127S1335243ACAX  Civic        2013  15510  16655  Graves, Edwin           Fri, Jun 15, 2013       D12-11-01 
 JH159F4115243ACA2  Odyssey      2013  52325  56825  Graves, Edwin           Fri, Jun 15, 2013       D12-11-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S128331X7555  Civic       2011  12408  16455  Graves, Edwin           Thu, Jun 14, 2013       D12-11-01 
 JC131F11212671CC7  CR-V        2009  19216  30995  Carroll, Judith         Sun, Jun 17, 2013       D12-11-02 
 JJ161FU112X629779  Pilot       2010  28422  42970  Carroll, Judith         Fri, Jun 15, 2013       D12-11-02 
 JC132FU163476XBC1  CR-V        2011  29362  31995  Carroll, Judith         Mon, Jun 11, 2013       D12-11-02 
 JE142FU1611882X13  Crosstour   2009  23184  38640  Graves, Edwin           Sun, Jun 17, 2013       D12-11-01 
 JJ162FU153483A895  Pilot       2011  33338  44970  Graves, Edwin           Wed, Jun 13, 2013       D12-11-01 
 JH159F4153166XBC7  Odyssey     2011  42039  56825  Carroll, Judith         Thu, Jun 14, 2013       D12-11-02 
 JC131F114Y5PX7569  CR-V        2008  16154  30995  Carroll, Judith         Mon, Jun 11, 2013       D12-11-02 
 JG148F1102396XBX1  Insight     2010  16196  24390  Carroll, Judith         Tue, Jun 12, 2013       D12-11-02 
 JH153FU1A411X7573  Odyssey     2012  37665  45825  Carroll, Judith         Wed, Jun 13, 2013       D12-11-02 
 JG148F1163225CAC5  Insight     2011  17884  24390  Graves, Edwin           Sun, Jun 17, 2013       D12-11-01 
 JE145F4102X94B9B7  Crosstour   2010  29993  46640  Graves, Edwin           Thu, Jun 14, 2013       D12-11-01 
 JD136F1134X471C19  CR-Z        2012  20304  24705  Carroll, Judith         Sun, Jun 17, 2013       D12-11-02 
 JJ164F4153384B9C1  Pilot       2011  39182  53970  Graves, Edwin           Wed, Jun 13, 2013       D12-11-01 
 JH156S3101116XB13  Odyssey     2009  17617  30375  Carroll, Judith         Wed, Jun 13, 2013       D12-11-02 
 JC131F117Y1P5CAX5  CR-V        2008  15385  30995  Graves, Edwin           Mon, Jun 11, 2013       D12-11-01 
 JE142FU1A23171C27  Crosstour   2010  25573  38640  Carroll, Judith         Sun, Jun 17, 2013       D12-11-02 
 JH153FU172X66XB19  Odyssey     2010  29472  45825  Graves, Edwin           Mon, Jun 11, 2013       D12-11-01 
 JH153FU1022P4B9X1  Odyssey     2010  30300  45825  Graves, Edwin           Tue, Jun 12, 2013       D12-11-01 
 JH15AS11621882X43  Odyssey     2010  19476  29375  Graves, Edwin           Wed, Jun 13, 2013       D12-11-01 
 JJ161FU10147186A5  Pilot       2009  25782  42970  Graves, Edwin           Sun, Jun 17, 2013       D12-11-01 
 JB129S144Y1P4B9X7  Civic       2008  11985  23055  Graves, Edwin           Fri, Jun 15, 2013       D12-11-01 
 JB123H1523X66XB29  Civic       2011  20588  27600  Carroll, Judith         Mon, Jun 11, 2013       D12-11-02 
