Dealer Name: Olson Honda
Address:     3074 Davison Highway
             Norbert, FL
Dealer ID:   15
Owner:       Olson, Howard
Date:        Mon, Jun 11, 2013 thru Sun, Jun 17, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S13052418B48  Civic        2013  15510  16655  Ramos, Maxine           Mon, Jun 11, 2013       D15-14-05 
 JB121S120524714BX  Civic        2013  16530  16455  Murphy, Kelly           Fri, Jun 15, 2013       D15-14-07 
 JB121S12852429C62  Civic        2013  16444  16455  Hall, Willie            Sat, Jun 16, 2013       D15-14-08 
 JB126GU6552429C64  Civic        2013  26982  29305  Elliott, Jacqueline     Fri, Jun 15, 2013       D15-14-01 
 JA111S1325246X3A6  Accord       2013  21765  22480  Murphy, Kelly           Sat, Jun 16, 2013       D15-14-07 
 JC131F1195244B188  CR-V         2013  28503  30995  Ramos, Maxine           Sat, Jun 16, 2013       D15-14-05 
 JH15AS116524714CX  Odyssey      2013  27345  29375  Gonzales, Natalie       Mon, Jun 11, 2013       D15-14-04 
 JB122SU25524X7A52  Civic        2013  17123  17255  Hall, Willie            Wed, Jun 13, 2013       D15-14-08 
 JE141F11852418B64  Crosstour    2013  36782  37640  Murphy, Kelly           Fri, Jun 15, 2013       D15-14-07 
 JC131F114524714C6  CR-V         2013  28186  30995  Shelton, Monica         Sun, Jun 17, 2013       D15-14-06 
 JH155FU13524825X8  Odyssey      2013  44377  47825  Hall, Willie            Sun, Jun 17, 2013       D15-14-08 
 JB121S12652418B7X  Civic        2013  16102  16455  Hall, Willie            Thu, Jun 14, 2013       D15-14-08 
 JG148F1105246X3C2  Insight      2013  22683  24390  Murphy, Kelly           Sat, Jun 16, 2013       D15-14-07 
 JC132FU155243AX94  CR-V         2013  30056  31995  Gardner, Joan           Sat, Jun 16, 2013       D15-14-09 
 JB127S1345244B1A6  Civic        2013  16203  16655  Ramos, Maxine           Sun, Jun 17, 2013       D15-14-05 
 JB127S1345246X3C8  Civic        2013  15943  16655  Ramos, Maxine           Wed, Jun 13, 2013       D15-14-05 
 JB129S14652418B8X  Civic        2013  22899  23055  Hall, Willie            Tue, Jun 12, 2013       D15-14-08 
 JH152SU1152418B82  Odyssey      2013  28100  30375  Bowman, Joan            Thu, Jun 14, 2013       D15-14-03 
 JC135F4115245C2C4  CR-V         2013  39043  39995  Hall, Willie            Mon, Jun 11, 2013       D15-14-08 
 JA1X1S12A52429C96  Accord       2013  23897  24089  Gonzales, Natalie       Sat, Jun 16, 2013       D15-14-04 
 JA115SU30524X7A78  Accord       2013  24324  25480  Ramos, Maxine           Sun, Jun 17, 2013       D15-14-05 
 JD138FU1352429CAX  CR-Z         2013  26393  27705  Woods, Tommy            Sun, Jun 17, 2013       D15-14-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB129S1413135CBC7  Civic       2011  17252  23055  Ramos, Maxine           Wed, Jun 13, 2013       D15-14-05 
 JG148F1102X282129  Insight     2010  16196  24390  Elliott, Jacqueline     Tue, Jun 12, 2013       D15-14-01 
 JB121S125Y4218791  Civic       2008  8520   16455  Shelton, Monica         Sat, Jun 16, 2013       D15-14-06 
 JC131F1122X682133  CR-V        2010  19980  30995  Gardner, Joan           Thu, Jun 14, 2013       D15-14-09 
 JE142FU1723718795  Crosstour   2010  24873  38640  Elliott, Jacqueline     Sun, Jun 17, 2013       D15-14-01 
 JD137FU134245CBX7  CR-Z        2012  21367  25705  Elliott, Jacqueline     Tue, Jun 12, 2013       D15-14-01 
 JH154SU15228298A9  Odyssey     2010  21450  32375  Ramos, Maxine           Thu, Jun 14, 2013       D15-14-05 
 JB121S1241X2X7691  Civic       2009  10202  16455  Murphy, Kelly           Wed, Jun 13, 2013       D15-14-07 
 JH15AS118251X7693  Odyssey     2010  19476  29375  Shelton, Monica         Wed, Jun 13, 2013       D15-14-06 
 JB127S133213298B5  Civic       2010  10803  16655  Bowman, Joan            Thu, Jun 14, 2013       D15-14-03 
 JG148F11924571X37  Insight     2010  15753  24390  Elliott, Jacqueline     Wed, Jun 13, 2013       D15-14-01 
 JG148F11235171X39  Insight     2011  17884  24390  Woods, Tommy            Wed, Jun 13, 2013       D15-14-02 
 JH153FU173264BA11  Odyssey     2011  32670  45825  Bowman, Joan            Sat, Jun 16, 2013       D15-14-03 
 JD137FU14Y363A9X3  CR-Z        2008  12740  25705  Hall, Willie            Sat, Jun 16, 2013       D15-14-08 
 JB127S138231298C5  Civic       2010  11107  16655  Ramos, Maxine           Sat, Jun 16, 2013       D15-14-05 
 JH159F413246X76A7  Odyssey     2010  37538  56825  Elliott, Jacqueline     Fri, Jun 15, 2013       D15-14-01 
 JB127S13041PX76A9  Civic       2012  14037  16655  Ramos, Maxine           Sun, Jun 17, 2013       D15-14-05 
 JB129S1403X418821  Civic       2011  17252  23055  Ramos, Maxine           Fri, Jun 15, 2013       D15-14-05 
 JH151F11812418823  Odyssey     2009  27791  44825  Bowman, Joan            Thu, Jun 14, 2013       D15-14-03 
 JA117S337YX918825  Accord      2008  12208  23480  Elliott, Jacqueline     Thu, Jun 14, 2013       D15-14-01 
 JA111S131Y283AA47  Accord      2008  11683  22480  Hall, Willie            Fri, Jun 15, 2013       D15-14-08 
 JH153FU1A3276XX79  Odyssey     2011  33965  45825  Murphy, Kelly           Sat, Jun 16, 2013       D15-14-07 
