Dealer Name: Your Honda
Address:     3145 Brooklin Ave
             West Junction, AL
Dealer ID:   6
Owner:       Frederick, Ted
Date:        Mon, Jul 23, 2013 thru Sun, Jul 29, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA1X1S12553P82X36  Accord       2013  22906  24089  Wagner, Ramon           Tue, Jul 24, 2013       D06-06-01 
 JG148F11253P18698  Insight      2013  23059  24390  Fuller, Terri           Fri, Jul 27, 2013       D06-06-08 
 JC131F11553P3A8CX  CR-V         2013  29294  30995  Fuller, Terri           Sat, Jul 28, 2013       D06-06-08 
 JH15AS11A53P71C32  Odyssey      2013  27495  29375  Wagner, Ramon           Tue, Jul 24, 2013       D06-06-01 
 JH154SU1053P297B4  Odyssey      2013  30901  32375  Wagner, Ramon           Tue, Jul 24, 2013       D06-06-01 
 JD136F11853P3A8C6  CR-Z         2013  24618  24705  Torres, Rose            Thu, Jul 26, 2013       D06-06-02 
 JB121S12353P6XB28  Civic        2013  15331  16455  Wagner, Ramon           Sat, Jul 28, 2013       D06-06-01 
 JC132FU1853P82X5X  CR-V         2013  29076  31995  Day, Veronica           Mon, Jul 23, 2013       D06-06-05 
 JH158S41953P5CA22  Odyssey      2013  38475  41375  Day, Veronica           Sun, Jul 29, 2013       D06-06-05 
 JG148F11653P186B4  Insight      2013  23686  24390  Fuller, Terri           Thu, Jul 26, 2013       D06-06-08 
 JB122SU2053P3A8X6  Civic        2013  16226  17255  Hall, Francis           Sat, Jul 28, 2013       D06-06-06 
 JC132FU1753P186B8  CR-V         2013  30709  31995  Dixon, Leslie           Thu, Jul 26, 2013       D06-06-04 
 JH15AS11553P4BA5X  Odyssey      2013  28096  29375  Day, Veronica           Fri, Jul 27, 2013       D06-06-05 
 JB121S12A53PX7612  Civic        2013  15245  16455  Rivera, Greg            Mon, Jul 23, 2013       D06-06-03 
 JG148F11653P29834  Insight      2013  23185  24390  Torres, Rose            Thu, Jul 26, 2013       D06-06-02 
 JC131F11A53P3A946  CR-V         2013  27869  30995  Hall, Francis           Wed, Jul 25, 2013       D06-06-06 
 JH151F11453P6XC78  Odyssey      2013  43907  44825  Day, Veronica           Sun, Jul 29, 2013       D06-06-05 
 JC134F31953P5CB7X  CR-V         2013  30383  31995  Hall, Francis           Sat, Jul 28, 2013       D06-06-06 
 JH153FU1953PX7622  Odyssey      2013  42315  45825  Porter, Ronnie          Sun, Jul 29, 2013       D06-06-07 
 JB122SU2A53P29844  Civic        2013  15868  17255  Wagner, Ramon           Thu, Jul 26, 2013       D06-06-01 
 JC131F11253P6XC86  CR-V         2013  28819  30995  Porter, Ronnie          Tue, Jul 24, 2013       D06-06-07 
 JC131F11A53P4BA68  CR-V         2013  29294  30995  Rivera, Greg            Thu, Jul 26, 2013       D06-06-03 
 JA111S13253P6XC9X  Accord       2013  20492  22480  Day, Veronica           Thu, Jul 26, 2013       D06-06-05 
 JA1X2F12653P3A962  Accord       2013  32188  33030  Day, Veronica           Mon, Jul 23, 2013       D06-06-05 
 JE145F41953P6XC94  Crosstour    2013  44476  46640  Fuller, Terri           Thu, Jul 26, 2013       D06-06-08 
 JG148F11053P6XC96  Insight      2013  24187  24390  Porter, Ronnie          Tue, Jul 24, 2013       D06-06-07 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
