Dealer Name: Jones Honda Dealer
Address:     6957 Davison Highway
             Clarksville, NC
Dealer ID:   3
Owner:       Jones, Kelly
Date:        Mon, Aug 13, 2013 thru Sun, Aug 19, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S13953318546  Civic        2013  16810  16655  Mitchell, Sue           Sun, Aug 19, 2013       D03-03-01 
 JB123H1545336XA98  Civic        2013  25306  27600  Herrera, Julian         Sun, Aug 19, 2013       D03-03-03 
 JH155FU105335C99X  Odyssey      2013  43407  47825  Graham, Jeffery         Mon, Aug 13, 2013       D03-03-06 
 JH156S3155336XAA2  Odyssey      2013  29652  30375  Smith, Maria            Wed, Aug 15, 2013       D03-03-04 
 JC132FU1953318554  CR-V         2013  30056  31995  Graham, Jeffery         Sun, Aug 19, 2013       D03-03-06 
 JH155FU115336XAA6  Odyssey      2013  45832  47825  Graham, Jeffery         Mon, Aug 13, 2013       D03-03-06 
 JC131F1115335C998  CR-V         2013  29928  30995  Mitchell, Sue           Sat, Aug 18, 2013       D03-03-01 
 JA113SU3253382CXX  Accord       2013  21981  23480  Smith, Maria            Mon, Aug 13, 2013       D03-03-04 
 JA111S13053382CX2  Accord       2013  21418  22480  Herrera, Julian         Sat, Aug 18, 2013       D03-03-03 
 JB127S13753382CX4  Civic        2013  16463  16655  Larson, Sonia           Sat, Aug 18, 2013       D03-03-05 
 JH151F1195333A786  Odyssey      2013  41405  44825  Graham, Jeffery         Wed, Aug 15, 2013       D03-03-06 
 JF146S11753382CX8  Fit          2013  15781  16025  Smith, Maria            Mon, Aug 13, 2013       D03-03-04 
 JB129S14253382C1X  Civic        2013  21238  23055  Taylor, Billie          Sun, Aug 19, 2013       D03-03-02 
 JB129S1485333A792  Civic        2013  22543  23055  Larson, Sonia           Mon, Aug 13, 2013       D03-03-05 
 JH151F118533X7464  Odyssey      2013  40267  44825  Larson, Sonia           Tue, Aug 14, 2013       D03-03-05 
 JC131F1195335C9B6  CR-V         2013  30244  30995  Taylor, Billie          Wed, Aug 15, 2013       D03-03-02 
 JA1X1S128533X7468  Accord       2013  22535  24089  Taylor, Billie          Tue, Aug 14, 2013       D03-03-02 
 JA1X5SU225336XAXX  Accord       2013  24848  27089  Smith, Maria            Tue, Aug 14, 2013       D03-03-04 
 JA111S13653329692  Accord       2013  22460  22480  Graham, Jeffery         Mon, Aug 13, 2013       D03-03-06 
 JA1X7S3275335C9C4  Accord       2013  23960  25089  Herrera, Julian         Fri, Aug 17, 2013       D03-03-03 
 JB121S1245336XAX6  Civic        2013  15160  16455  Taylor, Billie          Thu, Aug 16, 2013       D03-03-02 
 JD136F1175333A7A8  CR-Z         2013  23984  24705  Mitchell, Sue           Tue, Aug 14, 2013       D03-03-01 
 JA1X1S1285335C9XX  Accord       2013  23154  24089  Taylor, Billie          Sun, Aug 19, 2013       D03-03-02 
 JA11AF421533296A2  Accord       2013  39715  42030  Graham, Jeffery         Sun, Aug 19, 2013       D03-03-06 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH152SU134X35C811  Odyssey     2012  27945  30375  Larson, Sonia           Wed, Aug 15, 2013       D03-03-05 
 JH155FU19235295B3  Odyssey     2010  29887  47825  Larson, Sonia           Wed, Aug 15, 2013       D03-03-05 
 JH155FU14Y14184A5  Odyssey     2008  23800  47825  Taylor, Billie          Fri, Aug 17, 2013       D03-03-02 
 JH156S3181343A6C7  Odyssey     2009  18832  30375  Herrera, Julian         Tue, Aug 14, 2013       D03-03-03 
 JH15AS11151PX7399  Odyssey      2013  27398  29375  Mitchell, Sue           Thu, Aug 16, 2013       D03-03-01 
 JC131F11212982B51  CR-V        2009  19216  30995  Mitchell, Sue           Sat, Aug 18, 2013       D03-03-01 
 JH153FU16X2PX73A3  Odyssey     2007  40610  45825  Graham, Jeffery         Fri, Aug 17, 2013       D03-03-06 
 JH15AS1162X7295C5  Odyssey     2010  19476  29375  Smith, Maria            Thu, Aug 16, 2013       D03-03-04 
 JA113SU30518X73A7  Accord       2013  22063  23480  Graham, Jeffery         Wed, Aug 15, 2013       D03-03-06 
 JE141F1194494B719  Crosstour   2012  31035  37640  Herrera, Julian         Sun, Aug 19, 2013       D03-03-03 
 JH153FU1624129631  Odyssey     2010  29472  45825  Herrera, Julian         Sat, Aug 18, 2013       D03-03-03 
 JH157F3132435C963  Odyssey     2010  30300  45825  Smith, Maria            Sun, Aug 19, 2013       D03-03-04 
 JA114FU3224171B85  Accord      2010  22473  33930  Mitchell, Sue           Mon, Aug 13, 2013       D03-03-01 
 JH155FU1221171B87  Odyssey     2010  31616  47825  Herrera, Julian         Fri, Aug 17, 2013       D03-03-03 
 JH155FU1222429639  Odyssey     2010  29887  47825  Herrera, Julian         Wed, Aug 15, 2013       D03-03-03 
 JB121S128439X7421  Civic       2012  13875  16455  Larson, Sonia           Thu, Aug 16, 2013       D03-03-05 
 JB129S1492X118533  Civic       2010  15318  23055  Taylor, Billie          Mon, Aug 13, 2013       D03-03-02 
 JH15AS11325118535  Odyssey     2010  19476  29375  Mitchell, Sue           Mon, Aug 13, 2013       D03-03-01 
 JB127S13433429647  Civic       2011  12315  16655  Larson, Sonia           Mon, Aug 13, 2013       D03-03-05 
 JE141F119217X7429  Crosstour   2010  24915  37640  Taylor, Billie          Sun, Aug 19, 2013       D03-03-02 
 JJ16AF11822P3A761  Pilot       2010  26245  41970  Herrera, Julian         Fri, Aug 17, 2013       D03-03-03 
 JB121S12932882CB3  Civic       2011  12408  16455  Mitchell, Sue           Sun, Aug 19, 2013       D03-03-01 
 JC132FU122285C985  CR-V        2010  20620  31995  Herrera, Julian         Sat, Aug 18, 2013       D03-03-03 
 JH155FU1122882CB7  Odyssey     2010  30752  47825  Smith, Maria            Sun, Aug 19, 2013       D03-03-04 
 JA113SU3113P5C989  Accord      2009  14557  23480  Smith, Maria            Tue, Aug 14, 2013       D03-03-04 
