Dealer Name: Yancy Honda
Address:     351 Washington St
             West Junction, AL
Dealer ID:   8
Owner:       Yancy, Clark
Date:        Mon, Sep 10, 2013 thru Sun, Sep 16, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB129S1495374BA1X  Civic        2013  22306  23055  Parker, Tracy           Thu, Sep 13, 2013       D08-08-01 
 JA12AF4385375CB22  Accord       2013  41113  41930  Rogers, Donna           Wed, Sep 12, 2013       D08-08-02 
 JA1X8F3295375CB24  Accord       2013  31234  34030  Rogers, Donna           Fri, Sep 14, 2013       D08-08-02 
 JB121S1255373A9X6  Civic        2013  16616  16455  Parker, Tracy           Fri, Sep 14, 2013       D08-08-01 
 JA113SU36537298C8  Accord       2013  22222  23480  Parker, Tracy           Sun, Sep 16, 2013       D08-08-01 
 JH154SU115375CC6X  Odyssey      2013  31728  32375  Parker, Tracy           Tue, Sep 11, 2013       D08-08-01 
 JD137FU1A53771182  CR-Z         2013  23214  25705  Parker, Tracy           Tue, Sep 11, 2013       D08-08-01 
 JB123H15253729934  Civic        2013  26437  27600  Parker, Tracy           Tue, Sep 11, 2013       D08-08-01 
 JH155FU155376XX76  Odyssey      2013  46560  47825  Rogers, Donna           Sun, Sep 16, 2013       D08-08-02 
 JB128SU315373AA48  Civic        2013  16317  17455  Rogers, Donna           Fri, Sep 14, 2013       D08-08-02 
 JB123H1505372994X  Civic        2013  25306  27600  Parker, Tracy           Tue, Sep 11, 2013       D08-08-01 
 JB127S1385376XX82  Civic        2013  15510  16655  Rogers, Donna           Sat, Sep 15, 2013       D08-08-02 
 JB123H1545374BB64  Civic        2013  25164  27600  Rogers, Donna           Sun, Sep 16, 2013       D08-08-02 
 JA1X3SU225375CC76  Accord       2013  22929  25089  Rogers, Donna           Thu, Sep 13, 2013       D08-08-02 
 JB129S14453771198  Civic        2013  21119  23055  Rogers, Donna           Tue, Sep 11, 2013       D08-08-02 
 JA111S13A5374BB7X  Accord       2013  21881  22480  Rogers, Donna           Sat, Sep 15, 2013       D08-08-02 
 JB125G16153718842  Civic        2013  25970  28505  Parker, Tracy           Sat, Sep 15, 2013       D08-08-01 
 JA1X3SU2653729954  Accord       2013  22929  25089  Parker, Tracy           Fri, Sep 14, 2013       D08-08-01 
 JH153FU125375CC86  Odyssey      2013  41385  45825  Parker, Tracy           Sat, Sep 15, 2013       D08-08-01 
 JB121S1235374BB78  Civic        2013  15673  16455  Parker, Tracy           Sat, Sep 15, 2013       D08-08-01 
 JC132FU165374BB8X  CR-V         2013  30383  31995  Parker, Tracy           Sat, Sep 15, 2013       D08-08-01 
 JB127S132537X7742  Civic        2013  16030  16655  Parker, Tracy           Thu, Sep 13, 2013       D08-08-01 
 JC132FU105374BB84  CR-V         2013  31199  31995  Parker, Tracy           Tue, Sep 11, 2013       D08-08-01 
 JG148F119537822C6  Insight      2013  23059  24390  Parker, Tracy           Tue, Sep 11, 2013       D08-08-01 
 JG148F116537711B8  Insight      2013  23059  24390  Parker, Tracy           Sat, Sep 15, 2013       D08-08-01 
 JA114FU365373AA8X  Accord       2013  31144  33930  Parker, Tracy           Thu, Sep 13, 2013       D08-08-01 
 JA1X1S1265375CCA2  Accord       2013  23278  24089  Parker, Tracy           Mon, Sep 10, 2013       D08-08-01 
 JB129S1415376XXB4  Civic        2013  21238  23055  Parker, Tracy           Wed, Sep 12, 2013       D08-08-01 
 JC134F3125374BB96  CR-V         2013  29893  31995  Rogers, Donna           Tue, Sep 11, 2013       D08-08-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH153FU141X4185A9  Odyssey     2009  28411  45825  Rogers, Donna           Tue, Sep 11, 2013       D08-08-02 
