Dealer Name: Superior Honda
Address:     8799 Dixie Highway
             Louderdale, FL
Dealer ID:   31
Owner:       Griner, Thomas
Date:        Mon, Sep 10, 2013 thru Sun, Sep 16, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA1X3SU27537X8676  Accord       2013  22801  25089  Burns, Laura            Sat, Sep 15, 2013       D31-27-05 
 JG148F11A537X8678  Insight      2013  22307  24390  Knight, Sean            Sun, Sep 16, 2013       D31-27-04 
 JA113SU325372A8AX  Accord       2013  23068  23480  Harvey, Joseph          Sat, Sep 15, 2013       D31-27-01 
 JB129S14353761C12  Civic        2013  21357  23055  Berry, Gerald           Sat, Sep 15, 2013       D31-27-02 
 JH155FU185375XBX4  Odyssey      2013  46317  47825  Wells, Bobby            Mon, Sep 10, 2013       D31-27-03 
 JD137FU17537X8686  CR-Z         2013  25192  25705  Harvey, Joseph          Sun, Sep 16, 2013       D31-27-01 
 JC133FU1A537X8688  CR-V         2013  32936  33995  Berry, Gerald           Thu, Sep 13, 2013       D31-27-02 
 JC133FU1353761C2X  CR-V         2013  33109  33995  Wells, Bobby            Tue, Sep 11, 2013       D31-27-03 
 JA1X5SU205375XB12  Accord       2013  25542  27089  Burns, Laura            Thu, Sep 13, 2013       D31-27-05 
 JB121S12A53772X34  Civic        2013  15759  16455  Knight, Sean            Wed, Sep 12, 2013       D31-27-04 
 JE141F113537X8696  Crosstour    2013  35058  37640  Harvey, Joseph          Fri, Sep 14, 2013       D31-27-01 
 JB121S1245374CAX8  Civic        2013  16273  16455  Berry, Gerald           Sat, Sep 15, 2013       D31-27-02 
 JA111S1345374CA1X  Accord       2013  20955  22480  Burns, Laura            Sun, Sep 16, 2013       D31-27-05 
 JB127S1395372A8C2  Civic        2013  15856  16655  Wells, Bobby            Tue, Sep 11, 2013       D31-27-03 
 JG148F1195375XB24  Insight      2013  22809  24390  Burns, Laura            Mon, Sep 10, 2013       D31-27-05 
 JD136F1115374CA16  CR-Z         2013  22588  24705  Harvey, Joseph          Tue, Sep 11, 2013       D31-27-01 
 JG148F11853772X48  Insight      2013  23435  24390  Knight, Sean            Mon, Sep 10, 2013       D31-27-04 
 JB129S144537X871X  Civic        2013  22424  23055  Burns, Laura            Mon, Sep 10, 2013       D31-27-05 
 JB127S1365373BA42  Civic        2013  16376  16655  Berry, Gerald           Sun, Sep 16, 2013       D31-27-02 
 JB123H15053719824  Civic        2013  26578  27600  Burns, Laura            Sat, Sep 15, 2013       D31-27-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JE141F1141X318CA9  Crosstour   2009  22584  37640  Burns, Laura            Wed, Sep 12, 2013       D31-27-05 
 JH155FU11Y4382651  Odyssey     2008  42602  47825  Wells, Bobby            Sat, Sep 15, 2013       D31-27-03 
 JE141F113X4318CB3  Crosstour   2007  14876  37640  Berry, Gerald           Tue, Sep 11, 2013       D31-27-02 
 JC132FU112X64B215  CR-V        2010  20620  31995  Harvey, Joseph          Tue, Sep 11, 2013       D31-27-01 
 JD136F1143X271547  CR-Z        2011  18463  24705  Harvey, Joseph          Tue, Sep 11, 2013       D31-27-01 
 JH152SU174433A1X9  Odyssey     2012  24840  30375  Knight, Sean            Thu, Sep 13, 2013       D31-27-04 
 JH152SU1011718X21  Odyssey     2009  18832  30375  Berry, Gerald           Tue, Sep 11, 2013       D31-27-02 
 JG148F1152396X573  Insight     2010  16196  24390  Knight, Sean            Tue, Sep 11, 2013       D31-27-04 
 JB127S1312X1X7C15  Civic       2010  11107  16655  Burns, Laura            Sat, Sep 15, 2013       D31-27-05 
 JC131F1193X56X577  CR-V        2011  23080  30995  Knight, Sean            Fri, Sep 14, 2013       D31-27-04 
 JH153FU1733971689  Odyssey     2011  33318  45825  Berry, Gerald           Mon, Sep 10, 2013       D31-27-02 
 JE142FU1111729141  Crosstour   2009  23184  38640  Berry, Gerald           Wed, Sep 12, 2013       D31-27-02 
 JD14AF41025P6X583  CR-Z        2010  22325  33705  Berry, Gerald           Mon, Sep 10, 2013       D31-27-02 
 JG148F11721429145  Insight     2010  16196  24390  Burns, Laura            Sun, Sep 16, 2013       D31-27-05 
 JB121S1221X73A257  Civic       2009  10202  16455  Harvey, Joseph          Tue, Sep 11, 2013       D31-27-01 
 JH152SU1621718X39  Odyssey     2010  20134  30375  Harvey, Joseph          Mon, Sep 10, 2013       D31-27-01 
 JB129S1483X73A261  Civic       2011  17252  23055  Wells, Bobby            Tue, Sep 11, 2013       D31-27-03 
 JH151F11AY11716A3  Odyssey     2008  22300  44825  Berry, Gerald           Sat, Sep 15, 2013       D31-27-02 
 JC131F11021218X45  CR-V        2010  19980  30995  Berry, Gerald           Sun, Sep 16, 2013       D31-27-02 
 JC132FU1023418X47  CR-V        2010  21200  31995  Berry, Gerald           Wed, Sep 12, 2013       D31-27-02 
 JH152SU122376X599  Odyssey     2010  20134  30375  Harvey, Joseph          Sat, Sep 15, 2013       D31-27-01 
 JJ161FU113496X5A1  Pilot       2011  31262  42970  Harvey, Joseph          Sat, Sep 15, 2013       D31-27-01 
 JH159F4133X14B383  Odyssey     2011  42039  56825  Burns, Laura            Wed, Sep 12, 2013       D31-27-05 
 JC132FU121X5827C5  CR-V        2009  19197  31995  Wells, Bobby            Mon, Sep 10, 2013       D31-27-03 
 JE142FU154514B387  Crosstour   2012  31452  38640  Harvey, Joseph          Thu, Sep 13, 2013       D31-27-01 
 JH154SU15Y1829169  Odyssey     2008  16878  32375  Knight, Sean            Tue, Sep 11, 2013       D31-27-04 
 JB122SU211183A281  Civic       2009  10698  17255  Harvey, Joseph          Tue, Sep 11, 2013       D31-27-01 
