Dealer Name: Jones Honda Dealer
Address:     6957 Davison Highway
             Clarksville, NC
Dealer ID:   3
Owner:       Jones, Kelly
Date:        Mon, Sep 24, 2013 thru Sun, Sep 30, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S1285394B878  Civic        2013  15759  16455  Graham, Jeffery         Fri, Sep 28, 2013       D03-03-06 
 JH157F3145395C99X  Odyssey      2013  44640  45825  Taylor, Billie          Mon, Sep 24, 2013       D03-03-02 
 JC133FU145396XAA2  CR-V         2013  30856  33995  Smith, Maria            Wed, Sep 26, 2013       D03-03-04 
 JA1X2F1285393A774  Accord       2013  31345  33030  Herrera, Julian         Mon, Sep 24, 2013       D03-03-03 
 JB127S1315393A776  Civic        2013  16376  16655  Graham, Jeffery         Sun, Sep 30, 2013       D03-03-06 
 JB121S1205394B888  Civic        2013  16102  16455  Herrera, Julian         Mon, Sep 24, 2013       D03-03-03 
 JC131F1145394B89X  CR-V         2013  29611  30995  Herrera, Julian         Mon, Sep 24, 2013       D03-03-03 
 JA111S13953982CX2  Accord       2013  20955  22480  Taylor, Billie          Wed, Sep 26, 2013       D03-03-02 
 JB129S1475393A784  Civic        2013  21831  23055  Smith, Maria            Tue, Sep 25, 2013       D03-03-04 
 JB127S1305394B896  Civic        2013  15597  16655  Smith, Maria            Tue, Sep 25, 2013       D03-03-04 
 JB127S1335396XAB8  Civic        2013  15423  16655  Taylor, Billie          Sat, Sep 29, 2013       D03-03-02 
 JB127S139539X746X  Civic        2013  15337  16655  Smith, Maria            Sun, Sep 30, 2013       D03-03-04 
 JH153FU1A53929682  Odyssey      2013  44640  45825  Graham, Jeffery         Tue, Sep 25, 2013       D03-03-06 
 JB127S13853929684  Civic        2013  16636  16655  Mitchell, Sue           Thu, Sep 27, 2013       D03-03-01 
 JB127S13153929686  Civic        2013  16463  16655  Taylor, Billie          Tue, Sep 25, 2013       D03-03-02 
 JB13ASU485393A798  Civic        2013  21831  23855  Smith, Maria            Fri, Sep 28, 2013       D03-03-04 
 JH153FU195394B8BX  Odyssey      2013  43245  45825  Herrera, Julian         Sun, Sep 30, 2013       D03-03-03 
 JE143FU1953929692  Crosstour    2013  39249  40640  Smith, Maria            Sun, Sep 30, 2013       D03-03-04 
 JH15AS1115396XAX4  Odyssey      2013  27796  29375  Taylor, Billie          Sat, Sep 29, 2013       D03-03-02 
 JH153FU1A53929696  Odyssey      2013  41385  45825  Larson, Sonia           Thu, Sep 27, 2013       D03-03-05 
 JB121S1205395C9C8  Civic        2013  15502  16455  Smith, Maria            Sun, Sep 30, 2013       D03-03-04 
 JE141F1195393A7BX  Crosstour    2013  35058  37640  Graham, Jeffery         Wed, Sep 26, 2013       D03-03-06 
 JH15AS11653971B22  Odyssey      2013  27646  29375  Mitchell, Sue           Tue, Sep 25, 2013       D03-03-01 
 JD136F11053982C34  CR-Z         2013  22334  24705  Smith, Maria            Tue, Sep 25, 2013       D03-03-04 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH153FU17Y24X7393  Odyssey     2008  23940  45825  Herrera, Julian         Tue, Sep 25, 2013       D03-03-03 
 JB129S1421X582B45  Civic       2009  13833  23055  Graham, Jeffery         Fri, Sep 28, 2013       D03-03-06 
 JB123H15623P4B7X7  Civic       2010  18308  27600  Mitchell, Sue           Sun, Sep 30, 2013       D03-03-01 
