Dealer Name: Honda Importers
Address:     8826 Escanaba Drive
             Grand Traverse, AL
Dealer ID:   22
Owner:       Isern, Mareen
Date:        Mon, Sep 24, 2013 thru Sun, Sep 30, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC132FU1753983BB6  CR-V         2013  28912  31995  Thompson, Gail          Sun, Sep 30, 2013       D22-20-03 
 JB13ASU475395X888  Civic        2013  21831  23855  Nichols, Colleen        Tue, Sep 25, 2013       D22-20-04 
 JB129S1475395X89X  Civic        2013  21594  23055  Romero, Gladys          Sun, Sep 30, 2013       D22-20-08 
 JB121S120539619A2  Civic        2013  15331  16455  Nichols, Colleen        Thu, Sep 27, 2013       D22-20-04 
 JH15AS11753983BC4  Odyssey      2013  28547  29375  Morrison, Irene         Sat, Sep 29, 2013       D22-20-07 
 JK167FU1553983BC6  Ridgeline    2013  44374  49750  Watson, Lori            Fri, Sep 28, 2013       D22-20-01 
 JA113SU365393B678  Accord       2013  22343  23480  Romero, Gladys          Thu, Sep 27, 2013       D22-20-08 
 JB127S1395395X8AX  Civic        2013  16203  16655  Tucker, Ann             Mon, Sep 24, 2013       D22-20-02 
 JC135F4165394C792  CR-V         2013  39246  39995  Watson, Lori            Sat, Sep 29, 2013       D22-20-01 
 JH154SU1853919464  Odyssey      2013  31397  32375  Thompson, Gail          Sat, Sep 29, 2013       D22-20-03 
 JB121S120539619B6  Civic        2013  15417  16455  Young, Carlos           Wed, Sep 26, 2013       D22-20-05 
 JA1X6FU2753919468  Accord       2013  34502  36030  Watson, Lori            Wed, Sep 26, 2013       D22-20-01 
 JG148F11253983B1X  Insight      2013  23561  24390  Tucker, Ann             Sun, Sep 30, 2013       D22-20-02 
 JA119S4345394C7A2  Accord       2013  28778  31480  Thompson, Gail          Wed, Sep 26, 2013       D22-20-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JJ162FU152X129AA9  Pilot       2010  28924  44970  Tucker, Ann             Wed, Sep 26, 2013       D22-20-02 
 JC135F417Y52X7891  CR-V        2008  19885  39995  Romero, Gladys          Sat, Sep 29, 2013       D22-20-08 
 JC132FU193396X123  CR-V        2011  23814  31995  Tucker, Ann             Thu, Sep 27, 2013       D22-20-02 
 JG148F11A2X271235  Insight     2010  16196  24390  Romero, Gladys          Fri, Sep 28, 2013       D22-20-08 
 JH151F11A21729AB7  Odyssey     2010  29642  44825  Young, Carlos           Mon, Sep 24, 2013       D22-20-05 
 JB129S14AXX229AB9  Civic       2007  9720   23055  Romero, Gladys          Fri, Sep 28, 2013       D22-20-08 
 JK165F1183X94BC11  Ridgeline   2011  33323  46750  Tucker, Ann             Wed, Sep 26, 2013       D22-20-02 
 JJ16AF1151X8X78A3  Pilot       2009  26021  41970  Morrison, Irene         Fri, Sep 28, 2013       D22-20-07 
 JH154SU1723382355  Odyssey     2010  20864  32375  Nichols, Colleen        Tue, Sep 25, 2013       D22-20-04 
 JH151F1143X56X137  Odyssey     2011  33231  44825  Soto, Roger             Thu, Sep 27, 2013       D22-20-06 
 JB122SU253326X139  Civic       2011  12995  17255  Thompson, Gail          Tue, Sep 25, 2013       D22-20-03 
 JB129S14324929B31  Civic       2010  15318  23055  Young, Carlos           Mon, Sep 24, 2013       D22-20-05 
 JJ16AF11134929B33  Pilot       2011  29948  41970  Romero, Gladys          Fri, Sep 28, 2013       D22-20-08 
 JB123H1514115C165  Civic       2012  22902  27600  Morrison, Irene         Wed, Sep 26, 2013       D22-20-07 
 JG148F1133234BX57  Insight     2011  17884  24390  Soto, Roger             Tue, Sep 25, 2013       D22-20-06 
 JD136F1192293AC49  CR-Z        2010  15955  24705  Tucker, Ann             Sat, Sep 29, 2013       D22-20-02 
 JK166FU1112329B41  Ridgeline   2009  29605  47750  Thompson, Gail          Mon, Sep 24, 2013       D22-20-03 
