Dealer Name: Moosebury Honda
Address:     7343 Washington St
             East Valley, FL
Dealer ID:   37
Owner:       Moosebury, Hank
Date:        Mon, Oct 15, 2013 thru Sun, Oct 21, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JE143FU145422AAC4  Crosstour    2013  39455  40640  Gonzales, Maureen       Sun, Oct 21, 2013       D37-33-03 
 JB124HU5754261136  Civic        2013  26312  28400  Pearson, Albert         Mon, Oct 15, 2013       D37-33-05 
 JB127S137542199B8  Civic        2013  15683  16655  Craig, Terri            Thu, Oct 18, 2013       D37-33-06 
 JA1X1S1255425X16X  Accord       2013  22163  24089  Craig, Terri            Sun, Oct 21, 2013       D37-33-06 
 JA1X1S12054261272  Accord       2013  22906  24089  Pearson, Albert         Thu, Oct 18, 2013       D37-33-05 
 JB121S1235425X164  Civic        2013  15845  16455  Pearson, Albert         Tue, Oct 16, 2013       D37-33-05 
 JA1X1S124542X8916  Accord       2013  23030  24089  Gonzales, Maureen       Tue, Oct 16, 2013       D37-33-03 
 JA111S13554219A28  Accord       2013  21186  22480  Hudson, Roger           Mon, Oct 15, 2013       D37-33-02 
 JC131F11054219A3X  CR-V         2013  28344  30995  Pearson, Albert         Thu, Oct 18, 2013       D37-33-05 
 JE141F1145422AB42  Crosstour    2013  34291  37640  Pearson, Albert         Wed, Oct 17, 2013       D37-33-05 
 JB127S1325424CX64  Civic        2013  15943  16655  Castro, Jenny           Sat, Oct 20, 2013       D37-33-01 
 JB125G167542834A6  Civic        2013  28304  28505  Crawford, Katrina       Mon, Oct 15, 2013       D37-33-04 
 JB13ASU4854219A38  Civic        2013  23303  23855  Craig, Terri            Sat, Oct 20, 2013       D37-33-06 
 JD138FU195426129X  CR-Z         2013  26535  27705  Pearson, Albert         Wed, Oct 17, 2013       D37-33-05 
 JC131F114542723A2  CR-V         2013  29294  30995  Pearson, Albert         Fri, Oct 19, 2013       D37-33-05 
 JA1X7S321542X8934  Accord       2013  23831  25089  Pearson, Albert         Mon, Oct 15, 2013       D37-33-05 
 JC131F1105424CX76  CR-V         2013  28661  30995  Crawford, Katrina       Fri, Oct 19, 2013       D37-33-04 
 JA111S1345425X188  Accord       2013  21534  22480  Pearson, Albert         Mon, Oct 15, 2013       D37-33-05 
 JB127S13A5422AB6X  Civic        2013  15943  16655  Gonzales, Maureen       Tue, Oct 16, 2013       D37-33-03 
 JB129S141542723B2  Civic        2013  22424  23055  Pearson, Albert         Tue, Oct 16, 2013       D37-33-05 
 JA1X1S120542834C4  Accord       2013  23897  24089  Pearson, Albert         Tue, Oct 16, 2013       D37-33-05 
 JH153FU115425X196  Odyssey      2013  44872  45825  Hudson, Roger           Tue, Oct 16, 2013       D37-33-02 
 JA111S1355423BC78  Accord       2013  20376  22480  Hudson, Roger           Sun, Oct 21, 2013       D37-33-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC131F11222861933  CR-V        2010  20542  30995  Gonzales, Maureen       Thu, Oct 18, 2013       D37-33-03 
 JC131F11115P194B5  CR-V        2009  19216  30995  Pearson, Albert         Wed, Oct 17, 2013       D37-33-05 
 JB121S1221412A5C7  Civic       2009  10202  16455  Crawford, Katrina       Mon, Oct 15, 2013       D37-33-04 
 JA111S13A429194B9  Accord      2012  18755  22480  Castro, Jenny           Mon, Oct 15, 2013       D37-33-01 
 JB129S1431355X961  Civic       2009  14294  23055  Gonzales, Maureen       Sat, Oct 20, 2013       D37-33-03 
 JH155FU19Y31X8413  Odyssey     2008  23800  47825  Castro, Jenny           Sat, Oct 20, 2013       D37-33-01 
 JH155FU10427X8415  Odyssey     2012  39285  47825  Craig, Terri            Mon, Oct 15, 2013       D37-33-06 
 JJ161FU1825183C97  Pilot       2010  26867  42970  Hudson, Roger           Sun, Oct 21, 2013       D37-33-02 
 JH153FU1A3X4X8419  Odyssey     2011  33965  45825  Crawford, Katrina       Fri, Oct 19, 2013       D37-33-04 
 JH155FU162154C861  Odyssey     2010  31616  47825  Gonzales, Maureen       Tue, Oct 16, 2013       D37-33-03 
 JJ161FU1923361A83  Pilot       2010  28422  42970  Craig, Terri            Sun, Oct 21, 2013       D37-33-06 
 JH152SU142322A645  Odyssey     2010  19584  30375  Pearson, Albert         Mon, Oct 15, 2013       D37-33-05 
 JH153FU101X461A87  Odyssey     2009  27495  45825  Pearson, Albert         Wed, Oct 17, 2013       D37-33-05 
 JC134F314Y484C869  CR-V        2008  15885  31995  Castro, Jenny           Tue, Oct 16, 2013       D37-33-01 
 JB129S14821419541  Civic       2010  15318  23055  Gonzales, Maureen       Sat, Oct 20, 2013       D37-33-03 
 JH154SU14311X8433  Odyssey     2011  23634  32375  Pearson, Albert         Wed, Oct 17, 2013       D37-33-05 
 JC131F1173X63B765  CR-V        2011  22640  30995  Craig, Terri            Wed, Oct 17, 2013       D37-33-06 
 JE141F1162525X987  Crosstour   2010  24915  37640  Hudson, Roger           Fri, Oct 19, 2013       D37-33-02 
 JB121S12411261A99  Civic       2009  10202  16455  Pearson, Albert         Fri, Oct 19, 2013       D37-33-05 
 JD136F11811283CC1  CR-Z        2009  14823  24705  Craig, Terri            Fri, Oct 19, 2013       D37-33-06 
 JC131F11123961AA3  CR-V        2010  19980  30995  Hudson, Roger           Wed, Oct 17, 2013       D37-33-02 
 JD136F1161X1X8445  CR-Z        2009  14823  24705  Pearson, Albert         Tue, Oct 16, 2013       D37-33-05 
