Dealer Name: Lakeside Honda
Address:     6205 Meridian Road
             East Valley, FL
Dealer ID:   39
Owner:       Isern, Mareen
Date:        Mon, Oct 15, 2013 thru Sun, Oct 21, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA111S1385426138X  Accord       2013  21071  22480  Lynch, Stacey           Mon, Oct 15, 2013       D39-20-04 
 JE141F114542X8A22  Crosstour    2013  35058  37640  Evans, Violet           Thu, Oct 18, 2013       D39-20-06 
 JA1X1S1285422AC44  Accord       2013  22906  24089  Adams, Danny            Sat, Oct 20, 2013       D39-20-05 
 JD136F11554261386  CR-Z         2013  23857  24705  Edwards, Julio          Sat, Oct 20, 2013       D39-20-01 
 JB127S1385425X278  Civic        2013  16723  16655  Lynch, Stacey           Thu, Oct 18, 2013       D39-20-04 
 JD136F111542724AX  CR-Z         2013  22968  24705  Medina, Jamie           Tue, Oct 16, 2013       D39-20-02 
 JB127S13654219B42  Civic        2013  15856  16655  Medina, Jamie           Tue, Oct 16, 2013       D39-20-02 
 JB127S131542X8A34  Civic        2013  16116  16655  Lynch, Stacey           Fri, Oct 19, 2013       D39-20-04 
 JC131F111542835B6  CR-V         2013  28186  30995  Adams, Danny            Thu, Oct 18, 2013       D39-20-05 
 JB127S139542X8A38  Civic        2013  15423  16655  Adams, Danny            Wed, Oct 17, 2013       D39-20-05 
 JH153FU165423BX7X  Odyssey      2013  44872  45825  Lynch, Stacey           Fri, Oct 19, 2013       D39-20-04 
 JJ162FU145425X292  Pilot        2013  43362  44970  Medina, Jamie           Sun, Oct 21, 2013       D39-20-02 
 JH15AS114542724B4  Odyssey      2013  27646  29375  Adams, Danny            Tue, Oct 16, 2013       D39-20-05 
 JB125G1635425X296  Civic        2013  27866  28505  Adams, Danny            Wed, Oct 17, 2013       D39-20-05 
 JB121S122542613A8  Civic        2013  15673  16455  Adams, Danny            Thu, Oct 18, 2013       D39-20-05 
 JB129S147542724CX  Civic        2013  21357  23055  Adams, Danny            Fri, Oct 19, 2013       D39-20-05 
 JH159F41954219B62  Odyssey      2013  50887  56825  Adams, Danny            Wed, Oct 17, 2013       D39-20-05 
 JB121S126542X8A54  Civic        2013  15502  16455  Medina, Jamie           Mon, Oct 15, 2013       D39-20-02 
 JB127S132542613B6  Civic        2013  15770  16655  Adams, Danny            Mon, Oct 15, 2013       D39-20-05 
 JB121S125542613B8  Civic        2013  15502  16455  Lynch, Stacey           Fri, Oct 19, 2013       D39-20-04 
 JK166FU115428351X  Ridgeline    2013  43824  47750  Medina, Jamie           Mon, Oct 15, 2013       D39-20-02 
 JB127S1335424C1A2  Civic        2013  15856  16655  Lynch, Stacey           Mon, Oct 15, 2013       D39-20-04 
 JB121S1265424C1A4  Civic        2013  16530  16455  Rivera, Jesus           Sun, Oct 21, 2013       D39-20-03 
 JA1X9S42A542724X6  Accord       2013  31231  33089  Lynch, Stacey           Sat, Oct 20, 2013       D39-20-04 
 JH157F3165423BX98  Odyssey      2013  43477  45825  Edwards, Julio          Thu, Oct 18, 2013       D39-20-01 
 JC131F1175425X2CX  CR-V         2013  29928  30995  Lynch, Stacey           Sat, Oct 20, 2013       D39-20-04 
 JC131F11854272412  CR-V         2013  28819  30995  Adams, Danny            Sat, Oct 20, 2013       D39-20-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC134F31723919579  CR-V        2010  20620  31995  Lynch, Stacey           Fri, Oct 19, 2013       D39-20-04 
 JG148F1133195X9C1  Insight     2011  17884  24390  Lynch, Stacey           Tue, Oct 16, 2013       D39-20-04 
 JH153FU1A451X8473  Odyssey     2012  37665  45825  Rivera, Jesus           Wed, Oct 17, 2013       D39-20-03 
 JH156S3121442A695  Odyssey     2009  18832  30375  Rivera, Jesus           Mon, Oct 15, 2013       D39-20-03 
 JD14AF4115194C8B7  CR-Z         2013  31317  33705  Medina, Jamie           Thu, Oct 18, 2013       D39-20-02 
 JB124HU5AY2483C29  Civic       2008  14791  28400  Medina, Jamie           Sun, Oct 21, 2013       D39-20-02 
 JC135F4123374C8C1  CR-V        2011  29686  39995  Edwards, Julio          Fri, Oct 19, 2013       D39-20-01 
 JB128SU301382A6A3  Civic       2009  10473  17455  Medina, Jamie           Wed, Oct 17, 2013       D39-20-02 
 JH155FU152X82A6A5  Odyssey     2010  31616  47825  Rivera, Jesus           Mon, Oct 15, 2013       D39-20-03 
 JH153FU141244C8C7  Odyssey     2009  27495  45825  Rivera, Jesus           Fri, Oct 19, 2013       D39-20-03 
 JH157F3125394C8C9  Odyssey      2013  41818  45825  Edwards, Julio          Sun, Oct 21, 2013       D39-20-01 
 JB129S1412272A6B1  Civic       2010  15318  23055  Lynch, Stacey           Thu, Oct 18, 2013       D39-20-04 
 JH156S31324872B33  Odyssey     2010  19584  30375  Edwards, Julio          Wed, Oct 17, 2013       D39-20-01 
 JC131F112Y1P83C45  CR-V        2008  16154  30995  Adams, Danny            Mon, Oct 15, 2013       D39-20-05 
 JB121S129441X8497  Civic       2012  13875  16455  Medina, Jamie           Thu, Oct 18, 2013       D39-20-02 
 JE142FU1024361A29  Crosstour   2010  25573  38640  Rivera, Jesus           Fri, Oct 19, 2013       D39-20-03 
 JB121S1292395X921  Civic       2010  10975  16455  Medina, Jamie           Thu, Oct 18, 2013       D39-20-02 
