Dealer Name: Thomas Team Honda
Address:     2825 Kline Ave
             Grayland, TN
Dealer ID:   19
Owner:       Thomas, Phil
Date:        Mon, Nov 12, 2013 thru Sun, Nov 18, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB128SU375463A288  Civic        2013  17042  17455  Daniels, Ernest         Sun, Nov 18, 2013       D19-18-04 
 JC131F111546716XX  CR-V         2013  28978  30995  Hernandez, Jeanne       Tue, Nov 13, 2013       D19-18-03 
 JA111S131546X7C62  Accord       2013  20723  22480  Rodriguez, Marc         Sun, Nov 18, 2013       D19-18-02 
 JC132FU145463A294  CR-V         2013  29076  31995  Daniels, Ernest         Wed, Nov 14, 2013       D19-18-04 
 JC131F11254618X76  CR-V         2013  30403  30995  Rodriguez, Marc         Wed, Nov 14, 2013       D19-18-02 
 JB127S1305463A298  Civic        2013  15597  16655  Hughes, Hazel           Thu, Nov 15, 2013       D19-18-01 
 JA1X1S121546X7C7X  Accord       2013  23525  24089  Graham, Keith           Thu, Nov 15, 2013       D19-18-06 
 JA1X3SU2454618X82  Accord       2013  23316  25089  Graham, Keith           Thu, Nov 15, 2013       D19-18-06 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH153FU10Y2529A55  Odyssey     2008  23940  45825  Rice, Joann             Thu, Nov 15, 2013       D19-18-07 
