Dealer Name: Carter Honda
Address:     2499 Bob Jones St
             Louderdale, FL
Dealer ID:   29
Owner:       Carter, Jimmy
Date:        Mon, Nov 12, 2013 thru Sun, Nov 18, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S13054661B24  Civic        2013  15423  16655  Rodriguez, Leonard      Fri, Nov 16, 2013       D29-25-01 
 JH154SU13546196A6  Odyssey      2013  30075  32375  Lucas, Jose             Sun, Nov 18, 2013       D29-25-06 
 JH157F3115465XA18  Odyssey      2013  42315  45825  Lawson, Carolyn         Wed, Nov 14, 2013       D29-25-02 
 JB121S12454672C4X  Civic        2013  15588  16455  Lawson, Carolyn         Mon, Nov 12, 2013       D29-25-02 
 JD137FU105465XA22  CR-Z         2013  24797  25705  Lawson, Carolyn         Tue, Nov 13, 2013       D29-25-02 
 JH153FU1554672C44  Odyssey      2013  43245  45825  Graham, Sheila          Sat, Nov 17, 2013       D29-25-03 
 JD137FU195462A7C6  CR-Z         2013  24533  25705  Coleman, Arnold         Sun, Nov 18, 2013       D29-25-05 
 JA1X3SU2A5463B8X8  Accord       2013  23831  25089  Coleman, Arnold         Fri, Nov 16, 2013       D29-25-05 
 JB129S1455464CA5X  Civic        2013  22306  23055  Graham, Sheila          Mon, Nov 12, 2013       D29-25-03 
 JH155FU1454672X82  Odyssey      2013  46317  47825  Lawson, Carolyn         Fri, Nov 16, 2013       D29-25-02 
 JA111S13554619724  Accord       2013  20839  22480  Lawson, Carolyn         Tue, Nov 13, 2013       D29-25-02 
 JB121S122546X8616  Civic        2013  15331  16455  Coleman, Arnold         Fri, Nov 16, 2013       D29-25-05 
 JB129S1435463B948  Civic        2013  22187  23055  Graham, Sheila          Fri, Nov 16, 2013       D29-25-03 
 JA112F1335462A84X  Accord       2013  31420  32930  Coleman, Arnold         Wed, Nov 14, 2013       D29-25-05 
 JB121S12654661C82  Civic        2013  15502  16455  Coleman, Arnold         Wed, Nov 14, 2013       D29-25-05 
 JB127S1365464CA64  Civic        2013  16723  16655  Graham, Sheila          Wed, Nov 14, 2013       D29-25-03 
 JB127S13A5465XB76  Civic        2013  15683  16655  Graham, Sheila          Thu, Nov 15, 2013       D29-25-03 
 JH157F3115465XB78  Odyssey      2013  41152  45825  Rodriguez, Leonard      Sat, Nov 17, 2013       D29-25-01 
 JB129S147546X863X  Civic        2013  22306  23055  Lucas, Jose             Sat, Nov 17, 2013       D29-25-06 
 JH154SU135465XB82  Odyssey      2013  31232  32375  Graham, Sheila          Fri, Nov 16, 2013       D29-25-03 
 JB124HU545463B964  Civic        2013  26894  28400  Coleman, Arnold         Wed, Nov 14, 2013       D29-25-05 
 JG148F11454619746  Insight      2013  22683  24390  Graham, Sheila          Sun, Nov 18, 2013       D29-25-03 
 JC132FU175465XB88  CR-V         2013  30546  31995  Graham, Sheila          Sat, Nov 17, 2013       D29-25-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH152SU121356X479  Odyssey     2009  18225  30375  Walker, Roland          Sat, Nov 17, 2013       D29-25-04 
 JB129S14522471591  Civic       2010  15318  23055  Graham, Sheila          Thu, Nov 15, 2013       D29-25-03 
 JC131F110Y184B263  CR-V        2008  16154  30995  Graham, Sheila          Mon, Nov 12, 2013       D29-25-03 
 JH152SU181X26X485  Odyssey     2009  18225  30375  Lawson, Carolyn         Fri, Nov 16, 2013       D29-25-02 
 JH15AS1154X3X7B27  Odyssey     2012  24340  29375  Graham, Sheila          Fri, Nov 16, 2013       D29-25-03 
 JC131F11A2526X489  CR-V        2010  20542  30995  Rodriguez, Leonard      Fri, Nov 16, 2013       D29-25-01 
 JB128SU3834P5C381  Civic       2011  13142  17455  Rodriguez, Leonard      Thu, Nov 15, 2013       D29-25-01 
 JC135F4103246X493  CR-V        2011  29686  39995  Graham, Sheila          Sat, Nov 17, 2013       D29-25-03 
 JC132FU1231P29X55  CR-V        2011  23814  31995  Lucas, Jose             Mon, Nov 12, 2013       D29-25-06 
 JH153FU152X3X7B37  Odyssey     2010  30300  45825  Lawson, Carolyn         Sat, Nov 17, 2013       D29-25-02 
 JH154SU18448X7B39  Odyssey     2012  26770  32375  Coleman, Arnold         Fri, Nov 16, 2013       D29-25-05 
 JH153FU142X618C51  Odyssey     2010  30300  45825  Coleman, Arnold         Tue, Nov 13, 2013       D29-25-05 
 JD136F1112184B283  CR-Z        2010  16403  24705  Lawson, Carolyn         Tue, Nov 13, 2013       D29-25-02 
 JH15AS1153315C395  Odyssey     2011  21891  29375  Graham, Sheila          Wed, Nov 14, 2013       D29-25-03 
 JC131F111246X7B47  CR-V        2010  20542  30995  Lawson, Carolyn         Sun, Nov 18, 2013       D29-25-02 
 JH155FU161354B289  Odyssey     2009  28695  47825  Lucas, Jose             Wed, Nov 14, 2013       D29-25-06 
 JJ161FU15X3729X71  Pilot       2007  18283  42970  Graham, Sheila          Thu, Nov 15, 2013       D29-25-03 
