Dealer Name: Honda Pro
Address:     923 Green St
             Brookland, GA
Dealer ID:   27
Owner:       Palmer, John
Date:        Mon, Nov 19, 2013 thru Sun, Nov 25, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JD136F116547X8518  CR-Z         2013  23603  24705  Scott, Samuel           Sun, Nov 25, 2013       D27-24-06 
 JB121S1265474C96X  Civic        2013  15845  16455  Howard, Samantha        Thu, Nov 22, 2013       D27-24-05 
 JB127S13A54719632  Civic        2013  16550  16655  Scott, Samuel           Thu, Nov 22, 2013       D27-24-06 
 JH151F11554783XA4  Odyssey      2013  41632  44825  Scott, Samuel           Thu, Nov 22, 2013       D27-24-06 
 JB121S12654761B86  Civic        2013  16273  16455  Scott, Samuel           Wed, Nov 21, 2013       D27-24-06 
 JE143FU185475XA78  Crosstour    2013  38009  40640  Howard, Samantha        Tue, Nov 20, 2013       D27-24-05 
 JB127S13154761B9X  Civic        2013  16116  16655  Shelton, Regina         Mon, Nov 19, 2013       D27-24-02 
 JE141F11054783XB2  Crosstour    2013  35058  37640  Perkins, Pearl          Thu, Nov 22, 2013       D27-24-03 
 JD138FU17547X8534  CR-Z         2013  26109  27705  Wright, Marion          Tue, Nov 20, 2013       D27-24-04 
 JB13ASU4754719646  Civic        2013  23548  23855  Hill, Rita              Sun, Nov 25, 2013       D27-24-01 
 JB121S124547X8538  Civic        2013  15930  16455  Shelton, Regina         Tue, Nov 20, 2013       D27-24-02 
 JC131F11554783XCX  CR-V         2013  30403  30995  Scott, Samuel           Mon, Nov 19, 2013       D27-24-06 
 JC135F4125475XA92  CR-V         2013  38229  39995  Howard, Samantha        Tue, Nov 20, 2013       D27-24-05 
 JA112F13254772CB4  Accord       2013  31756  32930  Wright, Marion          Wed, Nov 21, 2013       D27-24-04 
 JJ16AF11054761BA6  Pilot        2013  40725  41970  Shelton, Regina         Sat, Nov 24, 2013       D27-24-02 
 JH153FU1154719658  Odyssey      2013  44872  45825  Scott, Samuel           Sat, Nov 24, 2013       D27-24-06 
 JC131F1105473B88X  CR-V         2013  30561  30995  Scott, Samuel           Sun, Nov 25, 2013       D27-24-06 
 JH15AS1185474C992  Odyssey      2013  26744  29375  Scott, Samuel           Fri, Nov 23, 2013       D27-24-06 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH155FU1221429C55  Odyssey     2010  30752  47825  Howard, Samantha        Sun, Nov 25, 2013       D27-24-05 
 JK167FU1723P5C287  Ridgeline   2010  31984  49750  Hill, Rita              Fri, Nov 23, 2013       D27-24-01 
 JA117S3332363AX69  Accord      2010  15597  23480  Scott, Samuel           Tue, Nov 20, 2013       D27-24-06 
 JA1X1S121Y27X7A41  Accord      2008  12528  24089  Wright, Marion          Wed, Nov 21, 2013       D27-24-04 
 JC133FU19425X7A43  CR-V        2012  28082  33995  Shelton, Regina         Thu, Nov 22, 2013       D27-24-02 
 JB125G1672365C295  Civic       2010  18904  28505  Howard, Samantha        Sun, Nov 25, 2013       D27-24-05 
 JH153FU1442P29C67  Odyssey     2012  37200  45825  Shelton, Regina         Sun, Nov 25, 2013       D27-24-02 
 JD136F11112P4B189  CR-Z        2009  14823  24705  Howard, Samantha        Sat, Nov 24, 2013       D27-24-05 
 JJ162FU14223714C1  Pilot       2010  28924  44970  Howard, Samantha        Thu, Nov 22, 2013       D27-24-05 
 JH151F11951429C73  Odyssey      2013  41381  44825  Scott, Samuel           Sun, Nov 25, 2013       D27-24-06 
 JC133FU164235C2A5  CR-V        2012  28082  33995  Scott, Samuel           Mon, Nov 19, 2013       D27-24-06 
 JH15AS113242714C7  Odyssey     2010  19476  29375  Scott, Samuel           Sun, Nov 25, 2013       D27-24-06 
 JA1X5SU2813329C79  Accord      2009  16795  27089  Perkins, Pearl          Wed, Nov 21, 2013       D27-24-03 
 JB128SU39143714X1  Civic       2009  10473  17455  Wright, Marion          Mon, Nov 19, 2013       D27-24-04 
 JH153FU112313AX93  Odyssey     2010  29472  45825  Perkins, Pearl          Wed, Nov 21, 2013       D27-24-03 
 JA117S33A43P82515  Accord      2012  19565  23480  Wright, Marion          Tue, Nov 20, 2013       D27-24-04 
